FileName_Orig,FileName,Date,Timepoint,Treatment,Tank_ID,Plug,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes,,,,,
IMG_4423,MON_P3_H2,20250702,3,heat,Tank_3,1536,245.29,202.98,217.48,162.39,118.43,44.09,,,,,,
IMG_4424,MON_R3_H2,20250702,3,heat,Tank_3,2063,241.59,192.32,210.74,165.02,121.78,57.77,,,,,,
IMG_4425,MON_S3_H2,20250702,3,heat,Tank_3,1650,243.06,198.3,214.85,180.69,136.08,65.55,,,,,,
IMG_4426,MON_P3_C1,20250702,3,control,Tank_1,1057,242.96,200.85,217.64,157.96,118.69,53.82,,,,,,
IMG_4427,MON_R3_C1,20250702,3,control,Tank_1,1767,245.5,206.41,219.9,150.31,103.87,31.53,,,,,,
IMG_4428,MON_S3_C1,20250702,3,control,Tank_1,2979,246.55,213.07,227.26,130.01,87.6,34.36,,,,,,
IMG_4430,MON_P12_C1,20250702,12,control,Tank_1,2526,248.75,217.8,219.58,192.27,145.15,51.76,coral frag blur. Flash intensity high,,,,,
IMG_4431,MON_R12_C1,20250702,12,control,Tank_1,1728,248.96,220.22,224.5,166.77,117.92,31.93,,,,,,
IMG_4432,MON_S12_C1,20250702,12,control,Tank_1,2743,245.59,213.72,219.68,150.47,108.18,32.38,coral frag blur. Flash intensity high,,,,,
IMG_4433,MON_P12_H3,20250702,12,heat,Tank_5,1499,245.6,215.51,221.74,187.75,140.95,53.84,coral frag blur. Flash intensity high,,,,,
IMG_4434,MON_R12_H3,20250702,12,heat,Tank_5,1409,248.7,222.5,226.84,210.34,171.34,97.2,coral frag slightly visible. Flash intensity high,,,,,
IMG_4435,MON_S12_H3,20250702,12,heat,Tank_5,1826,247.65,219.36,225.13,182.23,138.87,48.43, ,,,,,
IMG_4436,MON_P12_H1,20250702,12,heat,Tank_2,1716,243.06,208.56,215.66,189.97,149.4,72.32,coral frag blur. Flash intensity high,,,,,
IMG_4437,MON_R12_H1,20250702,12,heat,Tank_2,1105,222.73,179.79,192.96,156.06,118.13,50.47,,,,,,
IMG_4438,MON_S12_H1,20250702,12,heat,Tank_2,2297,247.89,218.45,222.5,185.55,139.57,49.5,,  ,,,,
IMG_4439,MON_P12_C2,20250702,12,control,Tank_4,1573,48.65,219.45,224.89,174.22,126.66,50.03,coral frag blur. Flash intensity high,,,,,
IMG_4440,MON_R12_C2,20250702,12,control,Tank_4,1774,249.38,224.34,229.82,180.67,130.84,42.11,coral frag blur. Flash intensity high,,,,,
IMG_4441,MON_S12_C2,20250702,12,control,Tank_4,1578,249.41,224.4,228.44,190.48,139.55,46.76,coral frag blur. Flash intensity high,,,,,
IMG_4442,MON_P12_C3,20250702,12,control,Tank_6,2168,248.85,221.01,225.59,179.94,127.72,41.13,coral frag blur. Flash intensity high,,,,,
IMG_4443,MON_R12_C3,20250702,12,control,Tank_6,1238,249.9,228.84,231.25,201.36,152.83,57.75,coral frag blur. Flash intensity high,,,,,
IMG_4444,MON_S12_C3,20250702,12,control,Tank_6,1572,246.98,212.91,216.91,168.47,117.92,23.47,coral frag slightly visible. Flash intensity high,,,,,
IMG_4445,MON_P12_H2,20250702,12,heat,Tank_3,1488,247.99,217.4,222.23,209.27,168.98,83.35,coral frag blur. Flash intensity high,,,,,
IMG_4446,MON_R12_H2,20250702,12,heat,Tank_3,1226,249,220.96,223.82,188.07,137.91,37.55,coral frag blur. Flash intensity high,,,,,
IMG_4447,MON_S12_H2,20250702,12,heat,Tank_3,2853,246.98,211.76,216.33,214.08,169.76,84.88,coral frag blur. Flash intensity high,,,,,
IMG_4449,MON_P24_C2,20250703,24,control,Tank_4,1342,248.96,220.8,222.2,140.2,94.19,27.48,,,,,,
IMG_4450,MON_R24_C2,20250703,24,control,Tank_4,1706,248.9,218.21,222.73,179.28,134.29,53.96,,,,,,
IMG_4451,MON_S24_C2,20250703,24,control,Tank_4,1483,246.86,217.1,222.61,184.36,135.24,47.95,,,,,,
IMG_4452,MON_P24_H2,20250703,24,heat,Tank_3,1154,249.24,220.93,223.71,177.8,132.09,62.68,,,,,,
IMG_4453,MON_R24_H2,20250703,24,heat,Tank_3,1652,249.63,215.28,222.08,214.61,174.93,103.19,,,,,,
IMG_4454,MON_S24_H2,20250703,24,heat,Tank_3,2520,249.16,218.94,223.27,206.3,164.89,98.73,,,,,,
IMG_4455,MON_P24_H3,20250703,24,heat,Tank_5,1088,248.91,217.69,223.61,183.59,138.49,71.87,,,,,,
IMG_4456,MON_R24_H3,20250703,24,heat,Tank_5,2860,244.53,209.11,217.39,200.46,159.51,96.49,,,,,,
IMG_4457,MON_S24_H3,20250703,24,heat,Tank_5,2082,241.52,205.17,214.9,204.79,158.7,67.75,,,,,,
IMG_4458,MON_P24_C3,20250703,24,control,Tank_6,1280,247.9,217.08,223.41,165.44,117.35,32.27,,,,,,
IMG_4459,MON_R24_C3,20250703,24,control,Tank_6,1214,245.1,211.38,218.12,198.3,151.93,75.34,,,,,,
IMG_4460,MON_S24_C3,20250703,24,control,Tank_6,1620,235.26,193.99,208.36,161.36,118.72,35.88,,,,,,
IMG_4461,MON_P24_C1,20250703,24,control,Tank_1,2566,246.3,209.63,217.88,178.42,131.97,40.53,,,,,,
IMG_4462,MON_R24_C1,20250703,24,control,Tank_1,2667,244.48,209.19,217.02,144.64,101.75,30.59,,,,,,
IMG_4463,MON_S24_C1,20250703,24,control,Tank_1,2013,246.27,212.06,218.59,202.62,157.83,66.15,,,,,,
IMG_4464,MON_P24_H1,20250703,24,heat,Tank_2,1601,243.55,207.09,217.78,216.01,183.37,136.15,,,,,,
IMG_4465,MON_R24_H1,20250703,24,heat,Tank_2,2529,246.05,214.62,220.78,173.4,130.05,59.27,,,,,,
IMG_4466,MON_S24_H1,20250703,24,heat,Tank_2,1312,246.96,216.37,221.01,200.49,154.58,71.12,,,,,,
IMG_4468,MON_P72_C2,20250705,72,control,Tank_4,1541,246.52,214.83,224.79,186.95,140.35,56.51,,,,,,
IMG_4470,MON_R72_C2,20250705,72,control,Tank_4,1646,231.6,178.52,198.24,142.95,97,12.11,,,,,,
IMG_4472,MON_S72_C2,20250705,72,control,Tank_4,2202,237.63,198.12,211.66,159.47,112.11,28.46,,,,,,
IMG_4474,MON_P72_H2,20250705,72,heat,Tank_3,2086,241.68,202.48,215.3,186.96,162.58,125.4,,,,,,
IMG_4480,MON_R72_H2,20250705,72,heat,Tank_3,2068,243.41,207.84,217.69,220.77,198.67,143.38,,,,,,
IMG_4484,MON_S72_H2,20250705,72,heat,Tank_3,2002,233.08,182.45,203.09,167.29,137.15,72.79,,,,,,
IMG_4489,MON_P72_C3,20250705,72,control,Tank_6,1731,243.58,190.96,207.82,136.96,96.79,26.77,,,,,,
IMG_4492,MON_R72_C3,20250705,72,control,Tank_6,1724,238.97,196.116,210.86,133.79,91.25,17.95,,,,,,
IMG_4496,MON_S72_C3,20250705,72,control,Tank_6,1188,245.51,211.82,223.38,200.66,155.43,77.85,,,,,,
IMG_4499,MON_P72_C1,20250705,72,control,Tank_1,1589,246.15,215.48,225,160.9,117.08,45.1,,,,,,
IMG_4503,MON_R72_C1,20250705,72,control,Tank_1,1687,245.55,213.85,223.09,150.66,106.88,33.91,,,,,,
IMG_4506,MON_S72_C1,20250705,72,control,Tank_1,2523,242.52,202.98,215.1,182.95,130.75,47.67,,,,,,
IMG_4509,MON_P72_H1,20250705,72,heat,Tank_2,1039,245.27,213.24,224.13,192.14,164.99,118.87,,,,,,
IMG_4516,MON_R72_H1,20250705,72,heat,Tank_2,2182,246.93,213.15,222.06,213.08,185.16,135.97,,,,,,
IMG_4520,MON_S72_H1,20250705,72,heat,Tank_2,1324,248.27,218.52,228.14,220.67,197.9,145.29,,,,,,
IMG_4524,MON_P72_H3,20250705,72,heat,Tank_5,1314,246.94,216.18,224.28,202,155.37,74.7,,,,,,
IMG_4527,MON_R72_H3,20250705,72,heat,Tank_5,1596,247.02,216.16,225.79,203.77,163.19,87.33,,,,,,
IMG_4530,MON_S72_H3,20250705,72,heat,Tank_5,2018,248.3,218.57,226.92,208.96,166.12,81.11,,,,,,
IMG_4533,MON_P120_H3,20250707,120,heat,Tank_5,1549,243.11,198.13,211.4,198.87,155.38,98.69,,,,,,
IMG_4534,MON_R120_H3,20250707,120,heat,Tank_5,1636,244.76,198.61,209.59,201.22,161.06,106.73,,,,,,
IMG_4535,MON_S120_H3,20250707,120,heat,Tank_5,1272,240.29,193.59,207.25,169.1,134.26,66.57,,,,,,
IMG_4536,MON_P120_H2,20250707,120,heat,Tank_3,1458,240.04,194.42,209.74,184.66,143.83,77.57,,,,,,
IMG_4537,MON_R120_H2,20250707,120,heat,Tank_3,2512,237.96,193.74,207.88,172.49,131.94,61.56,,,,,,
IMG_4538,MON_S120_H2,20250707,120,heat,Tank_3,1770,244.76,201.25,212.64,171.44,135.79,88.1,,,,,,
IMG_4539,MON_P120_C2,20250707,120,control,Tank_4,2852,245.64,206.26,216.32,163.06,115.75,34.29,,,,,,
IMG_4540,MON_R120_C2,20250707,120,control,Tank_4,1182,245.27,202.25,214.33,151.16,107.93,31.39,,,,,,
IMG_4541,MON_S120_C2,20250707,120,control,Tank_4,1561,235.67,183.69,200.67,98,64.67,19.63,,,,,,
IMG_4542,MON_P120_H1,20250707,120,heat,Tank_2,2084,234.04,188.3,206.52,173.53,131.32,58.66,,,,,,
IMG_4543,MON_R120_H1,20250707,120,heat,Tank_2,1607,237.43,188.03,205.39,181.03,139.96,83.51,,,,,,
IMG_4544,MON_S120_H1,20250707,120,heat,Tank_2,2876,238.16,193.66,211.81,202.05,163.46,115.16,,,,,,
IMG_4545,MON_P120_C3,20250707,120,control,Tank_6,1041,245.44,204.53,217.4,164.42,118.6,40.06,,,,,,
IMG_4546,MON_R120_C3,20250707,120,control,Tank_6,2736,241.71,199.29,213.72,128.97,89.43,17.72,,,,,,
IMG_4547,MON_S120_C3,20250707,120,control,Tank_6,1431,240.74,197.04,211.66,152.03,107.65,28.43,,,,,,
IMG_4548,MON_P120_C1,20250707,120,control,Tank_1,1108,241.66,202.69,216.11,126.25,82.44,23.97,,,,,,
IMG_4549,MON_R120_C1,20250707,120,control,Tank_1,1582,240.07,203.7,217.88,135.14,92.07,25.89,,,,,,
IMG_4550,MON_S120_C1,20250707,120,control,Tank_1,1692,234.96,194.14,210.46,176.32,131.04,55.05,,,,,,
IMG_4551,MON_PAM_1739,20250707,120,control,Tank_1,1739,240.28,198.85,214.02,181.81,140.45,65.91,,,,,,
IMG_4552,MON_PAM_1252,20250707,120,control,Tank_1,1252,240.42,203.19,217.43,177.95,130.74,46.84,,,,,,
IMG_4553,MON_PAM_1250,20250707,120,control,Tank_1,1250,245.67,205.66,220.27,136.92,95.05,28.83,,,,,,
IMG_4554,MON_PAM_1211,20250707,120,heat,Tank_2,1211,231.47,185.42,206.27,199.43,163.03,129.65,,,,,,
IMG_4555,MON_PAM_1248,20250707,120,heat,Tank_2,1248,244.25,201.23,215.22,168.81,127.22,59.86,,,,,,
IMG_4556,MON_PAM_1494,20250707,120,heat,Tank_2,1494,243.85,205.24,218.63,188.44,149.82,84.39,,,,,,
IMG_4557,MON_PAM_1339,20250707,120,heat,Tank_3,1339,239.73,193.14,211.95,199.02,157.21,109.51,,,,,,
IMG_4558,MON_PAM_1113,20250707,120,heat,Tank_3,1113,243.27,203.57,218.54,192.74,162.54,117.26,,,,,,
IMG_4559,MON_PAM_1597,20250707,120,heat,Tank_3,1597,242.66,209.26,222.96,196.13,161.82,125.51,,,,,,
IMG_4560,MON_PAM_1056,20250707,120,control,Tank_4,1056,238.06,200.86,215.44,152.87,110.73,53.39,,,,,,
IMG_4561,MON_PAM_1461,20250707,120,control,Tank_4,1461,242.79,200,215.5,165.09,116.91,35.43,,,,,,
IMG_4562,MON_PAM_2360,20250707,120,control,Tank_4,2360,243.19,203.99,219.63,186.87,142.39,62.25,,,,,,
IMG_4563,MON_PAM_1441,20250707,120,heat,Tank_5,1441,243.37,205.81,221.4,209.48,188.14,141.59,,,,,,
IMG_4564,MON_PAM_1560,20250707,120,heat,Tank_5,1560,244.35,211.09,225.9,187.03,152.16,84.39,,,,,,
IMG_4565,MON_PAM_1086,20250707,120,heat,Tank_5,1086,239.24,189.42,209.18,202.97,172.18,134.49,,,,,,
IMG_4566,MON_PAM_1563,20250707,120,control,Tank_6,1563,239.37,199.08,216.31,193.81,147.29,68.23,,,,,,
IMG_4567,MON_PAM_1631,20250707,120,control,Tank_6,1631,244.36,207.49,220.46,159.62,115.63,37.71,,,,,,
IMG_4568,MON_PAM_1472,20250707,120,control,Tank_6,1472,243.95,206.61,223,152.54,105.23,24.8,,,,,,
