fragment_name,species,t_hours,t_hours,day,time,type,Tank,preservative,Plug #,Genotype,Color_Score_Image,Status,Notes
POR_R1_C3,POR,1,control,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_6,DNA/RNA shield,1566,Unknown,IMG_4247,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R1_C3,POR,1,control,"Wed, Jun 25",10:00 AM,LCM,Tank_6,PAXgene,1566,Unknown,IMG_4247,In flammable fridge in Paxgene Stabilizer,
POR_S1_C3,POR,1,control,"Wed, Jun 25",10:00 AM,spatial,Tank_6,Formalin,2070,Sep2024,IMG_4248,In flammable fridge in 70% ethanol,
POR_P1_H1,POR,1,heat,"Wed, Jun 25",10:00 AM, phys,Tank_2,LN2,2986,Genotype E12,IMG_4249,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R1_H1,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_2,DNA/RNA shield,1175,Genotype E15,IMG_4250,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R1_H1,POR,1,heat,"Wed, Jun 25",10:00 AM,LCM,Tank_2,PAXgene,1175,Genotype E15,IMG_4250,In flammable fridge in Paxgene Stabilizer,
POR_S1_H1,POR,1,heat,"Wed, Jun 25",10:00 AM,spatial,Tank_2,Formalin,2026,Unknown,IMG_4251,In flammable fridge in 70% ethanol,
POR_P1_H2,POR,1,heat,"Wed, Jun 25",10:00 AM, phys,Tank_3,LN2,1429,Unknown,IMG_4252,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R1_H2,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_3,DNA/RNA shield,1554,Genotype E15,IMG_4253,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R1_H2,POR,1,heat,"Wed, Jun 25",10:00 AM,LCM,Tank_3,PAXgene,1554,Genotype E15,IMG_4253,In flammable fridge in Paxgene Stabilizer,
POR_S1_H2,POR,1,heat,"Wed, Jun 25",10:00 AM,spatial,Tank_3,Formalin,2758,Unknown,IMG_4254,In flammable fridge in 70% ethanol,
POR_P1_H3,POR,1,heat,"Wed, Jun 25",10:00 AM, phys,Tank_5,LN2,1283,Genotype E16,IMG_4255,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R1_H3,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_5,DNA/RNA shield,1159,Unknown,IMG_4256,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R1_H3,POR,1,heat,"Wed, Jun 25",10:00 AM,LCM,Tank_5,PAXgene,1159,Unknown,IMG_4256,In flammable fridge in Paxgene Stabilizer,
POR_S1_H3,POR,1,heat,"Wed, Jun 25",10:00 AM,spatial,Tank_5,Formalin,1295,Unknown,IMG_4257,In flammable fridge in 70% ethanol,
POR_P3_C1,POR,3,control,"Wed, Jun 25",12:00 PM, phys,Tank_1,LN2,2755,Unknown,IMG_4258,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R3_C1,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_1,DNA/RNA shield,1306,Unknown,IMG_4259,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R3_C1,POR,3,control,"Wed, Jun 25",12:00 PM,LCM/spatial,Tank_1,PAXgene,1306,Unknown,IMG_4259,"Subsampled; half clipped and put into new Paxgene 20260112, other half decalcified and embedded for ST",
POR_S3_C1,POR,3,control,"Wed, Jun 25",12:00 PM,spatial,Tank_1,Formalin,2060,Unknown,IMG_4260,In flammable fridge in 70% ethanol,
POR_P3_C2,POR,3,control,"Wed, Jun 25",12:00 PM, phys,Tank_4,LN2,2368,Unknown,IMG_4261,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R3_C2,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_4,DNA/RNA shield,1653,Genotype E14,IMG_4262,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R3_C2,POR,3,control,"Wed, Jun 25",12:00 PM,LCM,Tank_4,PAXgene,1653,Genotype E14,IMG_4262,In flammable fridge in Paxgene Stabilizer,
POR_S3_C2,POR,3,control,"Wed, Jun 25",12:00 PM,spatial,Tank_4,Formalin,2879,Unknown,IMG_4263,In flammable fridge in 70% ethanol,
POR_P3_C3,POR,3,control,"Wed, Jun 25",12:00 PM, phys,Tank_6,LN2,2195,Unknown,IMG_4265,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R3_C3,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_6,DNA/RNA shield,1748,Unknown,IMG_4266,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R3_C3,POR,3,control,"Wed, Jun 25",12:00 PM,LCM,Tank_6,PAXgene,1748,Unknown,IMG_4266,In flammable fridge in Paxgene Stabilizer,
POR_S3_C3,POR,3,control,"Wed, Jun 25",12:00 PM,spatial,Tank_6,Formalin,2531,Unknown,IMG_4267,In flammable fridge in 70% ethanol,
POR_P3_H1,POR,3,heat,"Wed, Jun 25",12:00 PM, phys,Tank_2,LN2,2563,Unknown,IMG_4268,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R3_H1,POR,3,heat,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_2,DNA/RNA shield,1164,Unknown,IMG_4269,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R3_H1,POR,3,heat,"Wed, Jun 25",12:00 PM,LCM,Tank_2,PAXgene,1164,Unknown,IMG_4269,In flammable fridge in Paxgene Stabilizer,
POR_S3_H1,POR,3,heat,"Wed, Jun 25",12:00 PM,spatial,Tank_2,Formalin,1180,Genotype E16,IMG_4270,In flammable fridge in 70% ethanol,
POR_P3_H2,POR,3,heat,"Wed, Jun 25",12:00 PM, phys,Tank_3,LN2,1071,Unknown,IMG_4271,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R3_H2,POR,3,heat,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_3,DNA/RNA shield,1412,Sep2024,IMG_4272,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R3_H2,POR,3,heat,"Wed, Jun 25",12:00 PM,LCM,Tank_3,PAXgene,1412,Sep2024,IMG_4272,In flammable fridge in Paxgene Stabilizer,
POR_S3_H2,POR,3,heat,"Wed, Jun 25",12:00 PM,spatial,Tank_3,Formalin,1643,Unknown,IMG_4273,In flammable fridge in 70% ethanol,
POR_P3_H3,POR,3,heat,"Wed, Jun 25",12:00 PM, phys,Tank_5,LN2,1749,Unknown,IMG_4274,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R3_H3,POR,3,heat,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_5,DNA/RNA shield,1218,Unknown,IMG_4275,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R3_H3,POR,3,heat,"Wed, Jun 25",12:00 PM,LCM/spatial,Tank_5,PAXgene,1218,Unknown,IMG_4275,"Subsampled; half clipped and put into new Paxgene 20260112, other half decalcified and embedded for ST",
POR_S3_H3,POR,3,heat,"Wed, Jun 25",12:00 PM,spatial,Tank_5,Formalin,1094,Unknown,IMG_4276,In flammable fridge in 70% ethanol,
POR_P12_C1,POR,12,control,"Wed, Jun 25",9:00 PM, phys,Tank_1,LN2,1059,Unknown,IMG_4278,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R12_C1,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_1,DNA/RNA shield,2378,Unknown,IMG_4279,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R12_C1,POR,12,control,"Wed, Jun 25",9:00 PM,LCM,Tank_1,PAXgene,2378,Unknown,IMG_4279,In flammable fridge in Paxgene Stabilizer,
POR_S12_C1,POR,12,control,"Wed, Jun 25",9:00 PM,spatial,Tank_1,Formalin,2757,Unknown,IMG_4280,In flammable fridge in 70% ethanol,
POR_P12_C2,POR,12,control,"Wed, Jun 25",9:00 PM, phys,Tank_4,LN2,1290,Unknown,IMG_4281,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R12_C2,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_4,DNA/RNA shield,1123,Unknown,IMG_4282,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R12_C2,POR,12,control,"Wed, Jun 25",9:00 PM,LCM,Tank_4,PAXgene,1123,Unknown,IMG_4282,In flammable fridge in Paxgene Stabilizer,
POR_S12_C2,POR,12,control,"Wed, Jun 25",9:00 PM,spatial,Tank_4,Formalin,2380,Unknown,IMG_4283,In flammable fridge in 70% ethanol,
POR_P12_C3,POR,12,control,"Wed, Jun 25",9:00 PM, phys,Tank_6,LN2,1647,Genotype E12,IMG_4284,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R12_C3,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_6,DNA/RNA shield,2073,Unknown,IMG_4285,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R12_C3,POR,12,control,"Wed, Jun 25",9:00 PM,LCM,Tank_6,PAXgene,2073,Unknown,IMG_4285,In flammable fridge in Paxgene Stabilizer,
POR_S12_C3,POR,12,control,"Wed, Jun 25",9:00 PM,spatial,Tank_6,Formalin,2738,Unknown,IMG_4286,In flammable fridge in 70% ethanol,
POR_P12_H1,POR,12,heat,"Wed, Jun 25",9:00 PM, phys,Tank_2,LN2,1824,Unknown,IMG_4287,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R12_H1,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_2,DNA/RNA shield,1616,Unknown,IMG_4288,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R12_H1,POR,12,heat,"Wed, Jun 25",9:00 PM,LCM,Tank_2,PAXgene,1616,Unknown,IMG_4288,In flammable fridge in Paxgene Stabilizer,
POR_S12_H1,POR,12,heat,"Wed, Jun 25",9:00 PM,spatial,Tank_2,Formalin,2008,Unknown,IMG_4289,In flammable fridge in 70% ethanol,
POR_P12_H2,POR,12,heat,"Wed, Jun 25",9:00 PM, phys,Tank_3,LN2,2524,Genotype E12,IMG_4290,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R12_H2,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,Tank_3,DNA/RNA shield,1584,Unknown,IMG_4291,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R12_H2,POR,12,heat,"Wed, Jun 25",9:00 PM,LCM,Tank_3,PAXgene,1584,Unknown,IMG_4291,In flammable fridge in Paxgene Stabilizer,
POR_S12_H2,POR,12,heat,"Wed, Jun 25",9:00 PM,spatial,Tank_3,Formalin,1613,Unknown,IMG_4292,In flammable fridge in 70% ethanol,
POR_R12_H3,POR,12,heat,"Wed, Jun 25",9:00 PM,LCM,Tank_5,PAXgene,1456,Unknown,IMG_4293,In flammable fridge in Paxgene Stabilizer,"Sampled 1st - order messed up, make sure pictures reflect this"
POR_P12_H3,POR,12,heat,"Wed, Jun 25",9:00 PM, phys,Tank_5,LN2,1318,Genotype A13,IMG_4294,In -80 Freezer G Shelf 1; Black mesh bag,"Sampled 2nd - order messed up, make sure pictures reflect this"
