"Timepoint","Estimate (Control-Heat)","SE","t-ratio","p-value","Significant?"
0,0.0088,0.0146,0.6,0.548,""
1,0.0411,0.0149,2.75,0.00783,"**"
3,0.0427,0.0146,2.92,0.00505,"**"
12,0.0518,0.0149,3.47,0.000972,"***"
24,0.0566,0.0146,3.87,0.000285,"***"
36,0.0577,0.0146,3.94,0.000224,"***"
72,0.088,0.0153,5.77,2.6e-07,"***"
96,0.1256,0.0153,8.24,1.33e-11,"***"
