Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MON_R0_C1_S96_R1_001	59.04734295666248	43.0	151.0	18.181818181818183	34559724.0
MON_R0_C1_S96_R2_001	56.75154195788	43.0	151.0	27.27272727272727	34559724.0
MON_R0_C2_S118_R1_001	44.79754837812747	43.0	151.0	9.090909090909092	12219803.0
MON_R0_C2_S118_R2_001	40.87641003186646	43.0	151.0	9.090909090909092	12219803.0
MON_R0_C3_S107_R1_001	45.93382260287891	43.0	151.0	9.090909090909092	13524272.0
MON_R0_C3_S107_R2_001	42.0558952397298	43.0	151.0	9.090909090909092	13524272.0
MON_R0_H1_S89_R1_001	50.801304030551115	45.0	151.0	18.181818181818183	26074354.0
MON_R0_H1_S89_R2_001	48.16312385268997	45.0	151.0	9.090909090909092	26074354.0
MON_R0_H2_S110_R1_001	44.13343137360501	43.0	151.0	9.090909090909092	10765035.0
MON_R0_H2_S110_R2_001	41.015074840544926	43.0	151.0	9.090909090909092	10765035.0
MON_R0_H3_S27_R1_001	44.466934520242496	42.0	151.0	9.090909090909092	17154834.0
MON_R0_H3_S27_R2_001	41.99631164850766	43.0	151.0	9.090909090909092	17154834.0
MON_R120_C1_S72_R1_001	49.73825310075384	43.0	151.0	9.090909090909092	20393993.0
MON_R120_C1_S72_R2_001	46.99558148917193	43.0	151.0	9.090909090909092	20393993.0
MON_R120_C2_S115_R1_001	50.3991522633754	43.0	151.0	18.181818181818183	18599062.0
MON_R120_C2_S115_R2_001	46.783545994034725	44.0	151.0	9.090909090909092	18599062.0
MON_R120_C3_S84_R1_001	15.49303875889953	43.0	151.0	9.090909090909092	304563.0
MON_R120_C3_S84_R2_001	14.223134423875862	43.0	151.0	9.090909090909092	304563.0
MON_R120_H1_S7_R1_001	44.71811146337655	42.0	151.0	9.090909090909092	15587847.0
MON_R120_H1_S7_R2_001	41.7908317198501	42.0	151.0	9.090909090909092	15587847.0
MON_R120_H2_S90_R1_001	55.02828762795765	43.0	151.0	18.181818181818183	28317909.0
MON_R120_H2_S90_R2_001	51.234071101393894	43.0	151.0	18.181818181818183	28317909.0
MON_R120_H3_S113_R1_001	48.79492557445061	42.0	151.0	9.090909090909092	14099609.0
MON_R120_H3_S113_R2_001	45.33676442222407	43.0	151.0	9.090909090909092	14099609.0
MON_R12_C1_S121_R1_001	48.9137158569633	43.0	151.0	9.090909090909092	15180622.0
MON_R12_C1_S121_R2_001	44.22922434630272	43.0	151.0	9.090909090909092	15180622.0
MON_R12_C2_S26_R1_001	44.58815088028485	43.0	151.0	9.090909090909092	15954021.0
MON_R12_C2_S26_R2_001	42.30939845047633	43.0	151.0	9.090909090909092	15954021.0
MON_R12_C3_S16_R1_001	46.448676714228874	43.0	151.0	9.090909090909092	18140126.0
MON_R12_C3_S16_R2_001	43.70419372083746	43.0	151.0	9.090909090909092	18140126.0
MON_R12_H1_S36_R1_001	47.41232079891474	43.0	151.0	9.090909090909092	13995583.0
MON_R12_H1_S36_R2_001	44.81534666196447	43.0	151.0	9.090909090909092	13995583.0
MON_R12_H2_S11_R1_001	49.99150556725503	43.0	151.0	9.090909090909092	16915763.0
MON_R12_H2_S11_R2_001	47.85905329613702	43.0	151.0	9.090909090909092	16915763.0
MON_R12_H3_S43_R1_001	45.761265923474525	42.0	151.0	9.090909090909092	15363615.0
MON_R12_H3_S43_R2_001	43.240802813017694	43.0	151.0	9.090909090909092	15363615.0
MON_R1_C1_S41_R1_001	46.6761395063506	43.0	151.0	9.090909090909092	18285161.0
MON_R1_C1_S41_R2_001	44.72604368413185	43.0	151.0	9.090909090909092	18285161.0
MON_R1_C2_S67_R1_001	52.59396800065945	43.0	151.0	9.090909090909092	18805394.0
