Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR_R24_H3_S95_R2_001	POR_R24_H3_S95_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20916554.0	3.1 Gbp	0.0	151.0	45.0	32.648489393914204	151.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	warn
POR_R3_C1_S30_R1_001	POR_R3_C1_S30_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15543569.0	2.3 Gbp	0.0	151.0	47.0	29.894481157829066	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_C1_S30_R2_001	POR_R3_C1_S30_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15543569.0	2.3 Gbp	0.0	151.0	46.0	30.821971168177758	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_C2_S61_R1_001	POR_R3_C2_S61_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27984.0	4.2 Mbp	0.0	151.0	48.0	49.667667238421956	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	warn
POR_R3_C2_S61_R2_001	POR_R3_C2_S61_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27984.0	4.2 Mbp	0.0	151.0	47.0	49.81775300171527	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_C3_S58_R1_001	POR_R3_C3_S58_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15040627.0	2.2 Gbp	0.0	151.0	49.0	16.073053572238134	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_C3_S58_R2_001	POR_R3_C3_S58_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15040627.0	2.2 Gbp	0.0	151.0	48.0	17.050271647299827	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_H1_S108_R1_001	POR_R3_H1_S108_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10757285.0	1.6 Gbp	0.0	151.0	47.0	29.564731898201245	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_H1_S108_R2_001	POR_R3_H1_S108_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10757285.0	1.6 Gbp	0.0	151.0	46.0	30.841062557076587	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_H2_S82_R1_001	POR_R3_H2_S82_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19721599.0	2.9 Gbp	0.0	151.0	45.0	36.82192345185007	151.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	warn
POR_R3_H2_S82_R2_001	POR_R3_H2_S82_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19721599.0	2.9 Gbp	0.0	151.0	44.0	39.07138972611776	151.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	warn
POR_R3_H3_S33_R1_001	POR_R3_H3_S33_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12925860.0	1.9 Gbp	0.0	151.0	48.0	23.585340155647252	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	warn
POR_R3_H3_S33_R2_001	POR_R3_H3_S33_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12925860.0	1.9 Gbp	0.0	151.0	47.0	24.750979166266365	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR_R72_C1_S5_R1_001	POR_R72_C1_S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15935878.0	2.4 Gbp	0.0	151.0	48.0	15.021305128620616	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	warn
POR_R72_C1_S5_R2_001	POR_R72_C1_S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15935878.0	2.4 Gbp	0.0	151.0	48.0	15.844712160521565	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR_R72_C2_S71_R1_001	POR_R72_C2_S71_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17821962.0	2.6 Gbp	0.0	151.0	47.0	25.60656599949524	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	warn
POR_R72_C2_S71_R2_001	POR_R72_C2_S71_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17821962.0	2.6 Gbp	0.0	151.0	47.0	26.785591829221207	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	warn
POR_R72_C3_S55_R1_001	POR_R72_C3_S55_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15426025.0	2.3 Gbp	0.0	151.0	48.0	30.307198398248648	151.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
POR_R72_C3_S55_R2_001	POR_R72_C3_S55_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15426025.0	2.3 Gbp	0.0	151.0	47.0	31.650354330089854	151.0	pass	pass	fail	pass	warn	pass	pass	pass	fail	warn	fail
POR_R72_H1_S100_R1_001	POR_R72_H1_S100_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10983706.0	1.6 Gbp	0.0	151.0	51.0	7.708593577938841	151.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
