Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon	5_3_bias
POR_R3_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R3_C3_Aligned.sortedByCoord.out.bam	5919770.0	26346022.0	21629442.0	3410.0	0.0	18059583.0	3410.0	16270.0	4696894.0	1641.0	
POR_R3_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R3_H1_Aligned.sortedByCoord.out.bam	8349054.0	33109208.0	24531492.0	10706.0	0.0	45271408.0	10706.0	30234.0	8536730.0	6786.0	
POR_R3_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R3_H2_Aligned.sortedByCoord.out.bam	2751455.0	12269588.0	10086364.0	9310.0	0.0	33722891.0	9310.0	13916.0	2159988.0	4618.0	9.85
POR_R3_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R3_H3_Aligned.sortedByCoord.out.bam	6062157.0	25777438.0	20377754.0	5534.0	0.0	24217444.0	5534.0	16488.0	5377658.0	2703.0	
POR_R72_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R72_C1_Aligned.sortedByCoord.out.bam	6082579.0	27146963.0	22333242.0	4210.0	0.0	19536874.0	4210.0	30762.0	4778737.0	2324.0	
POR_R72_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R72_C2_Aligned.sortedByCoord.out.bam	5121557.0	23018290.0	19041474.0	5714.0	0.0	25198531.0	5714.0	14976.0	3956116.0	3346.0	
POR_R72_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R72_C3_Aligned.sortedByCoord.out.bam	4390739.0	18410356.0	14394618.0	3584.0	0.0	21904016.0	3584.0	9228.0	4002918.0	2079.0	
POR_R72_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R72_H1_Aligned.sortedByCoord.out.bam	6377383.0	28006039.0	22735534.0	1344.0	0.0	18182368.0	1344.0	24606.0	5244519.0	792.0	
POR_R72_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R72_H2_Aligned.sortedByCoord.out.bam	6493591.0	28817628.0	23593372.0	2418.0	0.0	17333985.0	2418.0	37402.0	5184404.0	1390.0	
POR_R72_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R72_H3_Aligned.sortedByCoord.out.bam	2454239.0	11005436.0	9083200.0	5412.0	0.0	27283393.0	5412.0	13646.0	1903170.0	3634.0	11.19
