Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Pocillopora_acuta_HIv2___RNAseq.g12081.t1	0.00703461546470082	0.0251396915008491	-248.61004565297	-256.577120589815	17	12	281.244055137423	0	0	0	0	2.55966057914756e-08	2.43308838672987e-07	8.32872356175614e-07	6.46005852207145e-06	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12082.t1	0.910963499287907	1	-67.5918063785258	-68.3508914868801	17	12	2.13149691862571	0	0	0	0	0.232875771368222	0.379501845408328	0.820282076407734	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12083.t1	0.151624160686674	0.308440089614709	-355.152844085633	-359.195239250473	17	12	2686.71735886869	0	0	0	0	0.105627615678586	0.203761038106726	0.443250396394936	0.743059321401942	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3052.t1	0.388371394422415	0.632681025783681	-337.081715761369	-339.697098497438	17	12	2583.87270419212	0	0	0	0	0.447683807430431	0.619490935729041	0.0179449204812924	0.0531949415701213	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12086.t1	0.983379115718297	1	-53.438974279482	-53.7852117339206	17	12	1.80360012409187	0	0	0	0	0.37653467493664	0.545629062735285	0.991208013071327	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12087.t1	0.043406703281575	0.113440795379107	-259.588624420731	-265.306094886778	17	12	1053.69919155136	0	0	0	0	6.97881154857802e-05	0.000355657771928546	0.00138988203268879	0.00558320773945796	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12088.t1	0.486152054141379	0.744108786924426	-192.327599206313	-194.554263644622	17	12	66.159718419435	0	0	0	0	0.162804388913925	0.288516527153391	0.43886762329296	0.73771999949769	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12089.t1	5.10629437370584e-05	0.000355169311358475	-200.65241728536	-214.275838738875	17	12	112.265890306712	0	0	0	0	0.983779267914213	1	4.61677165964641e-10	5.86176561582367e-09	FALSE	TRUE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12090.t1	9.07901231691669e-05	0.000589510739510641	-212.613490941415	-225.594156991894	17	12	208.775792067936	0	0	0	0	2.82396300903957e-05	0.000156840639699695	0.0974560289720755	0.224315356496129	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3058.t2	0.00068937499868146	0.00344402209240299	-211.987540672013	-222.672741637983	17	12	215.866833159743	0	0	0	0	0.00444157031523032	0.0141969594308482	1.98738580812338e-07	1.70783894331331e-06	FALSE	TRUE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12092.t1	0.191665488399378	0.370973118531665	-268.329394770255	-272.036093682904	17	12	870.383531492524	0	0	0	0	0.0755199115631442	0.155703711639274	0.99727005679477	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g3060.t3	0.0300066387172374	0.0839996620430595	-259.648316491163	-265.83534677525	17	12	1271.29853448112	0	0	0	0	2.17240457508995e-06	1.50064477171469e-05	0.000176182441604666	0.000869927955590566	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12094.t1	0.828915561074211	1	-336.906285829215	-337.97817003252	17	12	5125.13861108194	0	0	0	0	0.204622775742972	0.34347455201835	0.791302568827072	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12095.t1	0.00175605631913481	0.00773194164930515	-291.07461764874	-300.679883320759	17	12	1641.28421018793	0	0	0	0	5.2195943117161e-14	1.07600653229229e-12	0.00231521814904516	0.00882930749610834	TRUE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12096.t1	0.0260550035591672	0.0748111509290901	-243.353684611419	-249.718189278555	17	12	646.910395429524	0	0	0	0	0.481034121011994	0.652652839963225	0.000269941788254583	0.0012819580125135	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12098.t1	0.00750206129437441	0.0265306081397023	-228.776378367934	-236.666220507975	17	12	327.525111692438	0	0	0	0	0.0475050634732548	0.106547474407166	7.56080944874247e-11	1.07634542058041e-09	FALSE	TRUE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g12099.t1	0.000474066720369932	0.00248736676299801	-331.616020871073	-342.72946477425	17	12	2800.15754409978	0	0	0	0	0.000592249624551049	0.00242986591475675	0.00120759757427517	0.00493972550713263	FALSE	FALSE	FALSE
