"","sample_id","total_seq","n_fastqs","total_Mseq"
"226","MON_R120_H2_R2_trim",28172612,1,28.172612
"227","MON_R120_C3_R1_trim",28419957,3,28.419957
"228","MON_R120_C3_R2_trim",28419957,3,28.419957
"229","POC_R1_H1_R1_trim",29405414,3,29.405414
"230","POC_R1_H1_R2_trim",29405414,3,29.405414
"231","POC_R120_C1_R1_trim",29678285,3,29.678285
"232","POC_R120_C1_R2_trim",29678285,3,29.678285
"233","POC_R120_H2_R1_trim",30156569,2,30.156569
"234","POC_R120_H2_R2_trim",30156569,2,30.156569
"235","POR_R3_H1_R1_trim",30984777,3,30.984777
"236","POR_R3_H1_R2_trim",30984777,3,30.984777
"237","POC_R3_H2_R1_trim",31036781,3,31.036781
"238","POC_R3_H2_R2_trim",31036781,3,31.036781
"239","MON_R3_H2_R1_trim",32390672,3,32.390672
"240","MON_R3_H2_R2_trim",32390672,3,32.390672
"241","POR_R120_H1_R1_trim",32803193,3,32.803193
"242","POR_R120_H1_R2_trim",32803193,3,32.803193
"243","MON_R0_H2_R1_trim",32910896,3,32.910896
"244","MON_R0_H2_R2_trim",32910896,3,32.910896
"245","POC_R12_C3_R1_trim",34184331,3,34.184331
"246","POC_R12_C3_R2_trim",34184331,3,34.184331
"247","MON_R0_C1_R1_trim",34387353,1,34.387353
"248","MON_R0_C1_R2_trim",34387353,1,34.387353
"249","POR_R24_C3_R1_trim",37618495,3,37.618495
"250","POR_R24_C3_R2_trim",37618495,3,37.618495
"251","POR_R120_C1_R1_trim",48328377,3,48.328377
"252","POR_R120_C1_R2_trim",48328377,3,48.328377
