Sample	command
MON_R1_C3_S24_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_C3_S24_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_C3_S24_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_C3_S24_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_C3_S24_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_C3_S24_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_C3_S24_fastp.json 
MON_R1_H1_S13_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_H1_S13_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_H1_S13_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_H1_S13_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_H1_S13_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_H1_S13_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_H1_S13_fastp.json 
MON_R1_H2_S38_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_H2_S38_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_H2_S38_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_H2_S38_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_H2_S38_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_H2_S38_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_H2_S38_fastp.json 
MON_R1_H3_S101_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_H3_S101_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R1_H3_S101_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_H3_S101_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R1_H3_S101_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_H3_S101_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R1_H3_S101_fastp.json 
MON_R24_C1_S50_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_C1_S50_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_C1_S50_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_C1_S50_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_C1_S50_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_C1_S50_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_C1_S50_fastp.json 
MON_R24_C2_S25_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_C2_S25_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_C2_S25_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_C2_S25_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_C2_S25_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_C2_S25_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_C2_S25_fastp.json 
MON_R24_C3_S35_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_C3_S35_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_C3_S35_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_C3_S35_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_C3_S35_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_C3_S35_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_C3_S35_fastp.json 
MON_R24_H1_S69_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_H1_S69_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_H1_S69_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_H1_S69_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_H1_S69_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_H1_S69_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_H1_S69_fastp.json 
MON_R24_H2_S98_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_H2_S98_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_H2_S98_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_H2_S98_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_H2_S98_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_H2_S98_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_H2_S98_fastp.json 
MON_R24_H3_S79_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_H3_S79_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R24_H3_S79_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_H3_S79_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R24_H3_S79_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_H3_S79_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R24_H3_S79_fastp.json 
MON_R3_C1_S76_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_C1_S76_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_C1_S76_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_C1_S76_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_C1_S76_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_C1_S76_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_C1_S76_fastp.json 
MON_R3_C2_S99_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_C2_S99_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_C2_S99_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_C2_S99_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_C2_S99_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_C2_S99_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_C2_S99_fastp.json 
MON_R3_C3_S31_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_C3_S31_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_C3_S31_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_C3_S31_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_C3_S31_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_C3_S31_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_C3_S31_fastp.json 
MON_R3_H1_S21_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_H1_S21_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_H1_S21_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_H1_S21_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_H1_S21_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_H1_S21_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_H1_S21_fastp.json 
MON_R3_H2_S94_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_H2_S94_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_H2_S94_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_H2_S94_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_H2_S94_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_H2_S94_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_H2_S94_fastp.json 
MON_R3_H3_S97_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_H3_S97_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R3_H3_S97_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_H3_S97_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R3_H3_S97_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_H3_S97_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R3_H3_S97_fastp.json 
MON_R72_C1_S22_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_C1_S22_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_C1_S22_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_C1_S22_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_C1_S22_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_C1_S22_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_C1_S22_fastp.json 
MON_R72_C2_S68_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_C2_S68_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_C2_S68_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_C2_S68_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_C2_S68_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_C2_S68_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_C2_S68_fastp.json 
MON_R72_C3_S34_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_C3_S34_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_C3_S34_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_C3_S34_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_C3_S34_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_C3_S34_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_C3_S34_fastp.json 
MON_R72_H1_S3_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_H1_S3_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_H1_S3_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_H1_S3_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_H1_S3_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_H1_S3_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_H1_S3_fastp.json 
MON_R72_H2_S4_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_H2_S4_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_H2_S4_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_H2_S4_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_H2_S4_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_H2_S4_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_H2_S4_fastp.json 
MON_R72_H3_S44_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_H3_S44_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/MON_R72_H3_S44_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_H3_S44_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/MON_R72_H3_S44_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_H3_S44_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/MON_R72_H3_S44_fastp.json 
POC_R0_C1_S104_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_C1_S104_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_C1_S104_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_C1_S104_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_C1_S104_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_C1_S104_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_C1_S104_fastp.json 
POC_R0_C2_S37_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_C2_S37_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_C2_S37_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_C2_S37_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_C2_S37_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_C2_S37_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_C2_S37_fastp.json 
POC_R0_C3_S1_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_C3_S1_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_C3_S1_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_C3_S1_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_C3_S1_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_C3_S1_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_C3_S1_fastp.json 
POC_R0_H1_S102_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_H1_S102_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_H1_S102_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_H1_S102_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_H1_S102_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_H1_S102_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_H1_S102_fastp.json 
POC_R0_H2_S52_fastp	fastp --in1 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_H2_S52_R1_001.fastq.gz --in2 /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/data_RNA/POC_R0_H2_S52_R2_001.fastq.gz --out1 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_H2_S52_R1_trim.fastq.gz --out2 /scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/trimmed/POC_R0_H2_S52_R2_trim.fastq.gz --detect_adapter_for_pe --qualified_quality_phred 20 --trim_poly_g --trim_front1 10 --trim_front2 10 --length_required 20 --thread 2 --overrepresentation_analysis --html /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_H2_S52_fastp.html --json /project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/trimmed_qc/POC_R0_H2_S52_fastp.json 
