Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
run-2-MON_R0_C3_S40_R2_trim	run-2-MON_R0_C3_S40_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3963023.0	539 Mbp	0.0	20-141	43.0	74.21240120546105	136.02516790843757	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R0_H2_S43_R1_trim	run-2-MON_R0_H2_S43_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3259087.0	440.4 Mbp	0.0	20-141	42.0	69.43548973320435	135.15278389315782	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R0_H2_S43_R2_trim	run-2-MON_R0_H2_S43_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3259087.0	440.4 Mbp	0.0	20-141	42.0	74.96981403054804	135.14149576246353	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R120_C3_S61_R1_trim	run-2-MON_R120_C3_S61_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8599703.0	1.1 Gbp	0.0	20-141	42.0	50.136383089251225	135.99653418263398	pass	pass	fail	pass	pass	pass	pass	warn	warn	warn	pass
run-2-MON_R120_C3_S61_R2_trim	run-2-MON_R120_C3_S61_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8599703.0	1.1 Gbp	0.0	20-141	42.0	64.90918640812083	135.99065083991854	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R120_H3_S46_R1_trim	run-2-MON_R120_H3_S46_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4584472.0	622.4 Mbp	0.0	20-141	42.0	64.0439736409961	135.7712931827264	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R120_H3_S46_R2_trim	run-2-MON_R120_H3_S46_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4584472.0	622.3 Mbp	0.0	20-141	42.0	70.80499478529633	135.75278243601443	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R12_H1_S26_R1_trim	run-2-MON_R12_H1_S26_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4670584.0	632.4 Mbp	0.0	20-141	42.0	64.52472716835932	135.4048371681143	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R12_H1_S26_R2_trim	run-2-MON_R12_H1_S26_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4670584.0	632.3 Mbp	0.0	20-141	43.0	70.98709548473825	135.39028588287889	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R1_H3_S35_R1_trim	run-2-MON_R1_H3_S35_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3932593.0	534.2 Mbp	0.0	20-141	42.0	67.65380507199256	135.847592924058	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R1_H3_S35_R2_trim	run-2-MON_R1_H3_S35_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3932593.0	534.1 Mbp	0.0	20-141	42.0	73.42666610055942	135.83223257530082	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R24_C3_S25_R1_trim	run-2-MON_R24_C3_S25_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5146719.0	696.2 Mbp	0.0	20-141	42.0	68.4820634308749	135.27770507773982	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R24_C3_S25_R2_trim	run-2-MON_R24_C3_S25_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5146719.0	696.1 Mbp	0.0	20-141	43.0	74.53076640560977	135.26417587593184	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R3_C3_S23_R1_trim	run-2-MON_R3_C3_S23_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4510336.0	610.5 Mbp	0.0	20-141	43.0	68.83601888860471	135.35187799755937	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R3_C3_S23_R2_trim	run-2-MON_R3_C3_S23_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4510336.0	610.4 Mbp	0.0	20-141	43.0	74.54992422417533	135.3380861204132	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-MON_R3_H1_S19_R1_trim	run-2-MON_R3_H1_S19_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5144906.0	694.7 Mbp	0.0	20-141	43.0	61.000115695003	135.0296642931863	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R3_H1_S19_R2_trim	run-2-MON_R3_H1_S19_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5144906.0	694.6 Mbp	0.0	20-141	43.0	67.35012144204887	135.0182856596408	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-MON_R3_H2_S62_R1_trim	run-2-MON_R3_H2_S62_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11138760.0	1.5 Gbp	0.0	20-141	41.0	49.16028535205991	137.86878449665852	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
run-2-MON_R3_H2_S62_R2_trim	run-2-MON_R3_H2_S62_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11138760.0	1.5 Gbp	0.0	20-141	42.0	60.82301158567559	137.85446028103667	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
