FileName_Orig,FileName,Date,Timepoint,Treatment,Tank_ID,Plug,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
IMG_4292,POR_S12_H2,20250625,12,Heat,Tank_3,1613,,,,,,,
IMG_4294,POR_P12_H3,20250625,12,Heat,Tank_5,1318,,,,,,,"Sampled 2nd - order messed up, make sure pictures reflect this"
IMG_4293,POR_R12_H3,20250625,12,Heat,Tank_5,1456,,,,,,,"Sampled 1st - order messed up, make sure pictures reflect this"
IMG_4295,POR_S12_H3,20250625,12,Heat,Tank_5,2376,,,,,,,"Sampled 3rd - order messed up, make sure pictures reflect this"
IMG_4299,POR_P24_C1,20250626,24,Control,Tank_1,2984,,,,,,,
IMG_4300,POR_R24_C1,20250626,24,Control,Tank_1,1298,,,,,,,
IMG_4301,POR_S24_C1,20250626,24,Control,Tank_1,1471,,,,,,,
IMG_4302,POR_P24_C2,20250626,24,Control,Tank_4,1694,,,,,,,
IMG_4303,POR_R24_C2,20250626,24,Control,Tank_4,1254,,,,,,,
IMG_4304,POR_S24_C2,20250626,24,Control,Tank_4,2881,,,,,,,
IMG_4305,POR_P24_C3,20250626,24,Control,Tank_6,1118,,,,,,,
IMG_4306,POR_R24_C3,20250626,24,Control,Tank_6,1140,,,,,,,
IMG_4307,POR_S24_C3,20250626,24,Control,Tank_6,1727,,,,,,,
IMG_4308,POR_P24_H1,20250626,24,Heat,Tank_2,1691,,,,,,,
IMG_4309,POR_R24_H1,20250626,24,Heat,Tank_2,1186,,,,,,,
IMG_4310,POR_S24_H1,20250626,24,Heat,Tank_2,1621,,,,,,,
IMG_4311,POR_P24_H2,20250626,24,Heat,Tank_3,2982,,,,,,,
IMG_4312,POR_R24_H2,20250626,24,Heat,Tank_3,2201,,,,,,,
IMG_4313,POR_S24_H2,20250626,24,Heat,Tank_3,1110,,,,,,,
IMG_4314,POR_P24_H3,20250626,24,Heat,Tank_5,1486,,,,,,,
IMG_4315,POR_R24_H3,20250626,24,Heat,Tank_5,2079,,,,,,,
IMG_4316,POR_S24_H3,20250626,24,Heat,Tank_5,1120,,,,,,,
IMG_4318,POR_P72_C1,20250628,72,Control,Tank_1,2997,,,,,,,
IMG_4320,POR_R72_C1,20250628,72,Control,Tank_1,1439,,,,,,,
IMG_4321,POR_S72_C1,20250628,72,Control,Tank_1,2737,,,,,,,
IMG_4322,POR_P72_C2,20250628,72,Control,Tank_4,1274,,,,,,,
