sample,classification,percent_reads
POC_R3_H1,unclassified,93.96
POC_R3_H1,Bacteria,5.73
POC_R3_H2,unclassified,97.22
POC_R3_H2,Bacteria,2.43
POC_R3_H3,unclassified,93.49
POC_R3_H3,Bacteria,6.21
POC_R72_C1,unclassified,96.19
POC_R72_C1,Bacteria,3.55
POC_R72_C2,unclassified,96.20
POC_R72_C2,Bacteria,3.58
POC_R72_C3,unclassified,94.78
POC_R72_C3,Bacteria,5.00
POC_R72_H1,unclassified,94.24
POC_R72_H1,Bacteria,5.50
POC_R72_H2,unclassified,93.62
POC_R72_H2,Bacteria,6.15
POC_R72_H3,unclassified,88.51
POC_R72_H3,Bacteria,11.27
POR_R0_C1,unclassified,43.10
POR_R0_C1,Bacteria,56.83
POR_R0_C2,unclassified,42.56
POR_R0_C2,Bacteria,57.36
POR_R0_C3,unclassified,66.80
POR_R0_C3,Bacteria,33.07
POR_R0_H1,unclassified,40.31
POR_R0_H1,Bacteria,59.64
POR_R0_H2,unclassified,42.45
POR_R0_H2,Bacteria,57.50
POR_R0_H3,unclassified,46.11
POR_R0_H3,Bacteria,53.82
POR_R120_C1,unclassified,37.32
POR_R120_C1,Bacteria,62.53
POR_R120_C2,unclassified,61.75
POR_R120_C2,Bacteria,38.12
POR_R120_C3,unclassified,31.80
POR_R120_C3,Bacteria,68.17
POR_R120_H1,unclassified,90.89
POR_R120_H1,Bacteria,8.86
POR_R120_H2,unclassified,93.37
POR_R120_H2,Bacteria,6.40
POR_R120_H3,unclassified,43.84
POR_R120_H3,Bacteria,56.09
POR_R12_C1,unclassified,36.12
POR_R12_C1,Bacteria,63.83
POR_R12_C2,unclassified,68.69
POR_R12_C2,Bacteria,31.19
POR_R12_C3,unclassified,37.57
POR_R12_C3,Bacteria,62.38
POR_R12_H1,unclassified,85.45
POR_R12_H1,Bacteria,14.36
POR_R12_H2,unclassified,76.69
POR_R12_H2,Bacteria,23.16
POR_R12_H3,unclassified,62.98
POR_R12_H3,Bacteria,36.90
POR_R1_C1,unclassified,37.50
POR_R1_C1,Bacteria,62.46
POR_R1_C2,unclassified,58.16
POR_R1_C2,Bacteria,41.74
POR_R1_C3,unclassified,55.96
POR_R1_C3,Bacteria,43.95
POR_R1_H1,unclassified,34.68
POR_R1_H1,Bacteria,65.27
POR_R1_H2,unclassified,32.65
POR_R1_H2,Bacteria,67.31
POR_R1_H3,unclassified,49.17
POR_R1_H3,Bacteria,50.74
POR_R24_C1,unclassified,61.27
POR_R24_C1,Bacteria,38.62
POR_R24_C2,unclassified,42.00
POR_R24_C2,Bacteria,57.94
POR_R24_C3,unclassified,41.16
POR_R24_C3,Bacteria,58.78
POR_R24_H1,unclassified,33.47
POR_R24_H1,Bacteria,66.43
POR_R24_H2,unclassified,69.89
POR_R24_H2,Bacteria,29.98
POR_R24_H3,unclassified,72.46
POR_R24_H3,Bacteria,27.39
POR_R3_C1,unclassified,60.52
POR_R3_C1,Bacteria,39.38
POR_R3_C2,unclassified,58.85
POR_R3_C2,Bacteria,41.01
POR_R3_C3,unclassified,40.75
POR_R3_C3,Bacteria,59.18
POR_R3_H1,unclassified,60.38
POR_R3_H1,Bacteria,39.49
POR_R3_H2,unclassified,77.73
POR_R3_H2,Bacteria,22.09
POR_R3_H3,unclassified,50.72
POR_R3_H3,Bacteria,49.18
