"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Porites_compressa_HIv1___RNAseq.g30979.t1",0.0028731346613931,0.0238623228243982,-190.864322982627,-199.893916308673,17,12,86.3943100426111,0,0,0,0,0.172242065518253,0.495623991363725,0.00175839742492964,0.0158872967810957,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g36339.t1",2.17077858520753e-05,0.000482935277593096,-207.768154677124,-222.341132347334,17,12,271.392290101336,0,0,0,0,1.10692840846652e-06,4.86494591574687e-05,0.0134941748359472,0.0834228855025658,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g30983.t1",0.00665313931675702,0.0456974400707197,-218.127030773573,-226.160931666162,17,12,296.079568880802,0,0,0,0,0.120784417880119,0.393590956956168,0.0014076467405908,0.0131359812867688,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g30985.t1",1.64364824291944e-09,1.53928720050177e-07,-269.152339389644,-293.971218571827,17,12,674.313258060336,0,0,0,0,8.00607292043855e-13,2.32624939992803e-10,6.26214150859551e-05,0.000916360837163953,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g30986.t1b",4.89097580944779e-05,0.000936070290397009,-214.78824245196,-228.459648964925,17,12,472.035738525425,0,0,0,0,0.0745291132640531,0.284172344182274,5.89400417179181e-06,0.00011640506488409,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g36345.t1",0.000110296957529926,0.00181007629431902,-126.090977485753,-138.853486102715,17,12,14.9596027570561,0,0,0,0,0.0144067307225917,0.0887324639326585,4.36075359239707e-07,1.17123489693836e-05,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g30996.t1",1.12264184824527e-06,4.06790679264712e-05,-227.196523608204,-245.01496357214,17,12,246.375894084359,0,0,0,0,3.94656721325148e-07,2.07921207276164e-05,2.32873210715446e-06,5.10086757497443e-05,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g36356.t1",2.95845520557934e-16,1.31940222040454e-13,-209.311946798278,-250.393585566479,17,12,199.744637286057,0,0,0,0,0.703986309652953,1,1.00746113858662e-21,4.44139821946567e-19,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g36357.t2",4.21826233341994e-16,1.83849129018169e-13,-227.45322679888,-268.166940901454,17,12,322.194960138472,0,0,0,0,0.794373867524932,1,3.03993406951236e-22,1.45742039127596e-19,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g36358.t1",1.32041773416251e-21,1.63365489600222e-18,-236.652331984331,-290.449571792315,17,12,451.881612729909,0,0,0,0,0.772514525248939,1,7.80425427365578e-29,8.80365789446452e-26,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.20866_t",0.000441722054420123,0.00551850412873921,-227.844244504995,-239.038268345931,17,12,218.540167020242,0,0,0,0,0.0643577480126109,0.257042285460344,1.39570222114551e-07,4.20839331680934e-06,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g36375.t1",1.16712906556191e-08,8.22868900377969e-07,-179.705575071101,-202.437942599545,17,12,73.1131133585383,0,0,0,0,0.000286004593388217,0.00440538962843842,4.31781016671883e-07,1.16295850515684e-05,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g31030.t1",3.7068548016078e-06,0.000111508007106561,-240.588921492503,-257.105486071437,17,12,642.274443005267,0,0,0,0,1.18979168509065e-05,0.000333820665773917,7.74899728823048e-11,4.60783010841538e-09,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g31036.t1",0.000862734103096152,0.00932355699919691,-273.909398356497,-284.336955333975,17,12,1192.85154412652,0,0,0,0,0.000440972667264742,0.00613459038094737,0.00573039971435981,0.041927461015749,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g31145.t1",0.00321602685225774,0.0260776942688147,-147.605899221383,-156.502880097991,17,12,27.7689613234271,0,0,0,0,0.902253365789577,1,0.000207858620753046,0.00258251037912611,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g8358.t1",1.95891740526111e-05,0.000444307026383115,-186.517254801444,-201.203804371019,17,12,83.6898965362057,0,0,0,0,0.00240536254713769,0.0227061961931871,6.31830086566921e-07,1.62639000940857e-05,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g31044.t1",0.00684730594264739,0.04677975990814,-243.20876422811,-251.208198339047,17,12,598.640105476985,0,0,0,0,0.0869129629077745,0.314477337675923,0.00286518969488438,0.0237010427725779,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g31045.t1",0.00655886397245429,0.0451874741870867,-210.054580027768,-218.105570783241,17,12,142.723512625209,0,0,0,0,0.001686907834622,0.0174251718527046,0.000417048882111896,0.00466612976211192,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g36401.t1",0.000148508593387765,0.00229026883425586,-279.582438151539,-292.010696502544,17,12,384.989824924799,0,0,0,0,0.590915384119518,0.994854974784046,0.000206944570363378,0.00257448979945411,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g31048.t1",0.00129935387701434,0.0128050402414,-248.854770982236,-258.80969730681,17,12,226.148652972957,0,0,0,0,0.839350886148429,1,0.00286811347144894,0.0237127881189809,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g36416.t2a",0.00153455033763156,0.0145611439014153,-206.465570803656,-216.227585487188,17,12,155.148904745373,0,0,0,0,0.0450374167442014,0.200939547671419,0.00346500418797827,0.0277041423026305,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g31114.t1",0.00729758884612239,0.0489920746725325,-162.201361500294,-170.124393789291,17,12,61.655640443201,0,0,0,0,0.000317021007051647,0.00479267784960933,0.653250959189127,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.20962_t",0.0064263474748578,0.0444021133220494,-210.681307403235,-218.756729290964,17,12,229.531254453894,0,0,0,0,0.000114803374697768,0.0020987457736693,0.600615800698352,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g31123.t1",0.00245396090426723,0.021074611850037,-139.923419164629,-149.137998881146,17,12,26.6939548548368,0,0,0,0,0.00265916149768708,0.0245172896821705,4.11167614824201e-05,0.000637543957931617,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g36485.t1",0.00602876309398259,0.0424270054507538,-195.105326357996,-203.257108950123,17,12,273.807772365687,0,0,0,0,1.33027844290361e-06,5.61910786333975e-05,0.229013099842302,0.705904398565592,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___TS.g36488.t1",0.000129250918413955,0.00205355829529778,-194.334802102203,-206.919247916452,17,12,95.5212175469837,0,0,0,0,0.000110243018550474,0.00203184081378418,5.97216373189865e-06,0.000117766770063363,FALSE,TRUE,FALSE,"Monotonous"
