"Date","SampleID","TA","Mass","Salinity"
"20250714","JUNK1",1514.40056335603,59.724,35
"20250714","CRM1",2216.09449170784,60.443,33.623
"20250714","CRM2",2216.94915832726,60.378,33.623
"20250714","CRM3",2220.39322354673,60.22,33.623
