"Gene","cluster","membership","response_type"
"Pocillopora_acuta_HIv2___RNAseq.18344_t",1,0.595551206571042,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.18499_t",3,0.546635735309641,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.18550_t",2,0.92017274516069,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.18735_t",4,0.433002439471895,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.18788_t",5,0.90238049238892,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.19049_t",5,0.953097776009968,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.1912_t",6,0.686188678404636,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.19150_t",5,0.815424092675568,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.19192_t",3,0.739796945063914,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.19507_t",2,0.724458815217243,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.19893_t",5,0.872807689564225,"Other"
"Pocillopora_acuta_HIv2___RNAseq.19904_t",5,0.770576033404184,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.199_t",6,0.308109058991947,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.20038_t",3,0.597050511178474,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.20164_t",6,0.380878207397913,"Other"
"Pocillopora_acuta_HIv2___RNAseq.20199_t",2,0.839838953429343,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.20239_t",3,0.7866907681463,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.20293_t",3,0.906749817839233,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.2046_t",1,0.555731183611269,"Other"
"Pocillopora_acuta_HIv2___RNAseq.20490_t",1,0.799178058234639,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.20573_t",3,0.732442334165442,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.20654_t",3,0.313766128305138,"Other"
"Pocillopora_acuta_HIv2___RNAseq.20880_t",5,0.835232227171066,"Other"
"Pocillopora_acuta_HIv2___RNAseq.20930_t",3,0.63969456829064,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.20932_t",4,0.4884488790645,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.20975_t",6,0.405150099357026,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.20978_t",1,0.705746260204264,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.20979_t",3,0.427755318204767,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.20998_t",3,0.725213653278359,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.21073_t",3,0.810631287074533,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.21085_t",3,0.534520611076402,"Other"
"Pocillopora_acuta_HIv2___RNAseq.21139_t",2,0.713494733691789,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.21283_t",4,0.285031890745745,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.21393_t",5,0.368685185693404,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.21443_t",4,0.923374785934322,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.21670_t",2,0.972802617607259,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.21871_t",5,0.546184965641085,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.21954_ta",2,0.947363060357012,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.22067_t",5,0.919327693490854,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.22108_t",5,0.885906788036185,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.22392_t",4,0.965149624674283,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.22529_t",2,0.935912392353107,"Other"
"Pocillopora_acuta_HIv2___RNAseq.22567_t",5,0.668385248121466,"Other"
"Pocillopora_acuta_HIv2___RNAseq.22648_t",1,0.468235052582876,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.22954_t",5,0.955281290009756,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.23104_t",3,0.510795681897815,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.23154_t",6,0.332493822118966,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.23359_t",3,0.482499734322281,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.23425_t",6,0.432530101070339,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.23729_t",2,0.809955811363627,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.23877_t",5,0.80270594605241,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.24025_t",6,0.334447043166025,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.2402_t",5,0.877789063011581,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.24041_t",5,0.900599917860935,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.24255_t",5,0.587537658834955,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.24256_t",2,0.896178755006102,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.24294_t",5,0.815688957197696,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.24379_t",1,0.845425471656713,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.24437_t",5,0.562175135280538,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.24627_t",5,0.468036635948711,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.24666_t",1,0.926900548758485,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.24828_t",4,0.507859009767087,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.25008_t",5,0.76578136250765,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.25023_t",5,0.640164785944932,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.2511_t",5,0.855918182471212,"Other"
"Pocillopora_acuta_HIv2___RNAseq.25216_t",1,0.391108517184216,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.25297_t",1,0.868412174785428,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.25384_t",3,0.847485234951886,"Transient"
