"","MElightcyan","MEroyalblue","MEsalmon","MEviolet","MEdarkolivegreen","MEpurple","MEturquoise","MElightyellow","MEred","MEpaleturquoise","MEyellow","MEblue","MEmidnightblue","MEorange","MEpink","MEtan","MEgrey60","MEsteelblue","MEdarkred","MEgreenyellow","MEgreen","MEsaddlebrown","MEdarkgreen","MEwhite","MEdarkturquoise","MEblack","MEcyan","MEmagenta","MEbrown","MEdarkgrey"
"MON_R0_C1",-0.0139601419814397,0.044719574884012,-0.0838851977911169,0.00588543756088447,0.0177582745641244,-0.058806928729101,-0.0924600602125961,-0.128949412736002,-0.128393944243947,-0.162973789009506,-0.086490654065207,0.10024610748614,0.00799617032131269,0.0273676076671936,0.105044072105906,0.119277299921027,0.0437259443983779,-0.0286245996584476,0.0278253231127799,0.131626717145537,0.157262587577012,0.0095007137356911,-0.0575199355123767,0.0918236627205773,-0.0626173757110788,0.0351474073342483,-0.0302971623970423,-0.0280982821704453,0.102598907591908,0.0574926555352745
"MON_R0_C2",-0.054279021672231,0.0191979799152618,-0.0824314457932331,0.020338639045308,0.0118675056467941,-0.0550545641460605,-0.0930290137593215,-0.134344312848948,-0.135936803327044,-0.142287352347485,-0.0927118655894213,0.0754007274053198,-0.0210026000116091,-0.0122562226207226,0.071934135763619,0.136826030322932,0.0340942377020053,-0.00179320435801111,0.068896342138089,0.134532984771297,0.167279228100147,0.0246647416182404,-0.0555739307246078,0.143108908093774,0.00809374199128832,0.119341081040349,0.147531542930309,0.0112035040846077,0.0575800073582511,-0.0267561285931752
"MON_R0_C3",0.0128971151052965,0.101983497714612,0.301633454563226,0.347770811690378,0.02735028136286,-0.0669386214249117,-0.123200812678216,0.0406130083482074,0.104911986157369,-0.0421151731553573,0.0540987956490094,0.0829159471446402,0.140810377729958,-0.0233892433952852,0.05706212118235,-0.123970425045654,-0.0215052328627819,-0.0990032567598962,-0.0690572073516689,0.037279065448571,-0.0950246289236568,-0.197263614791404,0.531232513015184,0.314337864195643,-0.182170498108678,-0.0383645931957624,-0.0208180612225056,0.0103603229196297,0.0957117109406973,0.306784313143575
"MON_R0_H1",0.000141749309060135,0.0294449048685349,0.248880186170662,0.30824587690105,0.00947968821200317,-0.0742517374917482,-0.0940259662849107,0.0133518301083898,0.0616909361721846,-0.0814280829599154,0.00609479278373728,0.0693084307276056,0.0281807446867948,-0.140881667899286,-0.0834809387301329,-0.157351036642438,-0.135232187969959,-0.133251252417392,-0.0689533794465663,-0.0320857488871457,-0.112392879995057,-0.191055282102971,0.457208196452284,0.270701772940916,0.103311748557165,0.14820079846749,0.18431585627901,0.209741875827607,0.0610669235003835,0.0579073275129174
"MON_R0_H2",-0.0559004457327704,-0.00954058737179362,-0.0956547372824613,0.0155302183905082,0.00708741714005532,-0.0721563392605537,-0.108320529988359,-0.146398242167237,-0.151419610825933,-0.159352383612514,-0.106397109745386,0.111890871270868,-0.0128885415613064,0.106295139933506,0.177058798832062,0.119315576205065,0.0309709585917512,-0.0254672518759992,0.0358152197075028,0.113160617506384,0.147066132558806,0.00027099884241603,-0.0758628752722771,0.0987435166357659,-0.0583384256029443,0.0212090314331959,0.0587819425424928,0.0649192151884384,0.0697249217539757,0.00683948094768058
"MON_R0_H3",0.105326499962309,0.150826345518002,0.33565323259463,0.235791250210361,0.224977608916048,0.433408474484843,-0.0898864036556258,0.137041860581397,0.221805449905927,-0.0620138504380008,-0.0640710528008469,0.115294567916011,0.190077783505221,-0.00189381195932929,0.045090950600338,-0.286145903041637,-0.192000606301772,-0.280426179450566,0.021619690403679,0.133060767227331,-0.155970980799029,-0.184040978406392,-0.00693549817616564,-0.0576844347304853,-0.0994543637625851,-0.00466833385981737,-0.135925711787012,-0.0978170812568668,0.108526032954106,0.196499981146855
"MON_R1_C1",-0.102490450396874,-0.0269415835565191,-0.0710149078736053,0.0397812411089435,-0.00739292127186615,-0.0583814193308924,-0.0979964017199488,-0.129299233937639,-0.123879296460898,-0.110880704233685,-0.0721128896288605,0.126828117702418,0.0187500074782579,0.0980058827023994,0.183232379145128,0.162204136854923,0.0683318463505538,0.0394002851909149,0.0471146651400913,0.141838862347768,0.173082240125465,0.0564801254635915,-0.0280790485488129,0.164813110388776,-0.00921685844058499,0.163349853284636,-0.0661148783642941,0.0214162453195934,0.00358779840860906,-0.0620351892944771
"MON_R1_C2",-0.101220101201094,0.00454912576254829,-0.0817076732187842,0.0473115535720061,0.0071580522375539,-0.0581260535950408,-0.137019101746409,-0.145559285430279,-0.139166994777462,-0.167171040763806,-0.099840180050409,0.129351893259993,-0.00501485174897206,0.0509780251818943,0.159845561449752,0.137536409950969,0.0354068373751936,-0.0472733589491039,0.042766114812324,0.132230577527143,0.160524092665699,0.0247889478058116,-0.0708421836664811,0.116246712936778,-0.0370461197574765,0.114333847608481,0.174994621213453,0.0534237963323005,0.0823695234799595,0.02274034453338
"MON_R1_C3",0.0175032635704534,0.0721413041632879,-0.0938282715340152,-0.0129075872249924,-0.0228972965779914,-0.0736758922903043,-0.079770316539597,-0.136176638822215,-0.143274063714379,-0.162020857475523,-0.101984415267307,0.082634741793523,-0.0522812272371274,-0.130097320991311,-0.0891533891307677,0.0829518467027231,-0.0250033945953857,-0.0481811165178942,0.0178994511097236,0.100021561654557,0.128143131976652,-0.0159189359163752,-0.0625169116321936,0.0941139214405662,0.0111768928612096,0.0365882721179908,0.0686875564165084,0.239227711838188,0.109525409247189,0.0193044018356336
"MON_R1_H1",-0.0946429173242127,-0.165583144535153,-0.118367626208646,-0.017156840428798,-0.0482420229383618,-0.0959707453930052,-0.0382862186843056,-0.146631254567671,-0.174552430478279,-0.144486870596339,-0.11891162973899,0.00662535224670961,-0.155142673031675,-0.110000064140148,-0.0566221825846386,0.0695139828504571,-0.0761625359032975,0.00481773299794395,0.0565306311292525,0.0388438174226194,0.093433350360921,0.0229404682200598,-0.0640252392851447,0.0913653784695945,0.171809037998383,0.114875581203982,0.0350345411333949,0.0937797114477839,0.0760295279984488,-0.0884168555083394
