"","sample_id","total_seq","n_fastqs","total_Mseq"
"235","POC_R24_C3_R1_trim",22674647,1,22.674647
"236","POC_R24_C3_R2_trim",22674647,1,22.674647
"237","POR_R0_C1_R1_trim",22794527,2,22.794527
"238","POR_R0_C1_R2_trim",22794527,2,22.794527
"239","MON_R72_C3_R1_trim",22918766,2,22.918766
"240","MON_R72_C3_R2_trim",22918766,2,22.918766
"241","POC_R72_C2_R1_trim",23233557,1,23.233557
"242","POC_R72_C2_R2_trim",23233557,1,23.233557
"243","POC_R1_C2_R1_trim",25354966,2,25.354966
"244","POC_R1_C2_R2_trim",25354966,2,25.354966
"245","MON_R0_H1_R1_trim",25941298,1,25.941298
"246","MON_R0_H1_R2_trim",25941298,1,25.941298
"247","MON_R120_H2_R1_trim",28172612,1,28.172612
"248","MON_R120_H2_R2_trim",28172612,1,28.172612
"249","POC_R120_H2_R1_trim",30156569,2,30.156569
"250","POC_R120_H2_R2_trim",30156569,2,30.156569
"251","MON_R0_C1_R1_trim",34387353,1,34.387353
"252","MON_R0_C1_R2_trim",34387353,1,34.387353
