"","Date","Treatment","Tank_ID","Time","Initials","Temperature_C","Salinity_psu","pH.total","pH_mv","tris.date","Probe.Set","notes","DateTime","(Intercept)","TTris","mVTris"
"1",2025-07-09,"Control","1","11:03","ZD;PP",25.2,34.9,8.14549249976589,-64.3,"20250708","Probe1","Temp probe broken, temp taken from apex",2025-07-09 11:03:00,-91.5385486150619,1.21806756439204,-60.8432459923826
"2",2025-07-09,"Heat","2","11:03","ZD;PP",31.9,34.94,8.04864818869544,-62.8,"20250708","Probe1","Temp probe broken, temp taken from apex",2025-07-09 11:03:00,-91.5385486150619,1.21806756439204,-52.6821933109559
"3",2025-07-09,"Heat","3","11:03","ZD;PP",32.1,34.98,8.04823597073515,-62.9,"20250708","Probe1","Temp probe broken, temp taken from apex",2025-07-09 11:03:00,-91.5385486150619,1.21806756439204,-52.4385797980775
"4",2025-07-09,"Control","4","11:03","ZD;PP",25.1,35,8.15523007520655,-64.8,"20250708","Probe1","Temp probe broken, temp taken from apex",2025-07-09 11:03:00,-91.5385486150619,1.21806756439204,-60.9650527488218
"5",2025-07-09,"Heat","5","11:03","ZD;PP",32.1,34.93,8.05145071222851,-63.1,"20250708","Probe1","Temp probe broken, temp taken from apex",2025-07-09 11:03:00,-91.5385486150619,1.21806756439204,-52.4385797980775
"6",2025-07-09,"Control","6","11:03","ZD;PP",25.1,34.9,8.16685043196729,-65.5,"20250708","Probe1","Temp probe broken, temp taken from apex",2025-07-09 11:03:00,-91.5385486150619,1.21806756439204,-60.9650527488218
"7",2025-07-09,"Control","1","12:22","NB;JH",25.1,34.82,8.1447172368172,-64.2,"20250708","Probe1","Temp probe broken, temp taken from ATC Orion Probe",2025-07-09 12:22:00,-91.5385486150619,1.21806756439204,-60.9650527488218
"8",2025-07-09,"Heat","2","12:22","NB;JH",31.8,34.85,8.04790394950275,-62.7,"20250708","Probe1","Temp probe broken, temp taken from ATC Orion Probe",2025-07-09 12:22:00,-91.5385486150619,1.21806756439204,-52.8040000673951
"9",2025-07-09,"Heat","3","12:22","NB;JH",31.9,34.83,8.05671608239531,-63.3,"20250708","Probe1","Temp probe broken, temp taken from ATC Orion Probe",2025-07-09 12:22:00,-91.5385486150619,1.21806756439204,-52.6821933109559
"10",2025-07-09,"Control","4","12:22","NB;JH",25.1,34.91,8.15166318299605,-64.6,"20250708","Probe1","Temp probe broken, temp taken from ATC Orion Probe",2025-07-09 12:22:00,-91.5385486150619,1.21806756439204,-60.9650527488218
"11",2025-07-09,"Heat","5","12:22","NB;JH",31.9,34.85,8.05179471128233,-63,"20250708","Probe1","Temp probe broken, temp taken from ATC Orion Probe",2025-07-09 12:22:00,-91.5385486150619,1.21806756439204,-52.6821933109559
"12",2025-07-09,"Control","6","12:22","NB;JH",25.2,34.89,8.16405313333254,-65.4,"20250708","Probe1","Temp probe broken, temp taken from ATC Orion Probe",2025-07-09 12:22:00,-91.5385486150619,1.21806756439204,-60.8432459923826
"13",2025-07-09,"Control","1","14:22","JA;ZD",25.32,34.87,8.13400283166474,-63.7,"20250708","Probe1","From now on: using new Fisher Traceable Thermometer (SN250203753) with old probe from older model from bermuda (probe from this model already rusted)",2025-07-09 14:22:00,-91.5385486150619,1.21806756439204,-60.6970778846555
"14",2025-07-09,"Heat","2","14:22","JA;ZD",32.19,34.9,8.0504372233426,-63.1,"20250708","Probe1","From now on: using new Fisher Traceable Thermometer (SN250203753) with old probe from older model from bermuda (probe from this model already rusted)",2025-07-09 14:22:00,-91.5385486150619,1.21806756439204,-52.3289537172822
"15",2025-07-09,"Heat","3","14:22","JA;ZD",32.36,34.96,8.0569736988752,-63.6,"20250708","Probe1","From now on: using new Fisher Traceable Thermometer (SN250203753) with old probe from older model from bermuda (probe from this model already rusted)",2025-07-09 14:22:00,-91.5385486150619,1.21806756439204,-52.1218822313356
"16",2025-07-09,"Control","4","14:22","JA;ZD",25.25,34.96,8.14845452925067,-64.5,"20250708","Probe1","From now on: using new Fisher Traceable Thermometer (SN250203753) with old probe from older model from bermuda (probe from this model already rusted)",2025-07-09 14:22:00,-91.5385486150619,1.21806756439204,-60.782342614163
"17",2025-07-09,"Heat","5","14:22","JA;ZD",32.16,34.94,8.05082725643388,-63.1,"20250708","Probe1","From now on: using new Fisher Traceable Thermometer (SN250203753) with old probe from older model from bermuda (probe from this model already rusted)",2025-07-09 14:22:00,-91.5385486150619,1.21806756439204,-52.365495744214
"18",2025-07-09,"Control","6","14:22","JA;ZD",25.17,34.84,8.164275508141,-65.4,"20250708","Probe1","From now on: using new Fisher Traceable Thermometer (SN250203753) with old probe from older model from bermuda (probe from this model already rusted)",2025-07-09 14:22:00,-91.5385486150619,1.21806756439204,-60.8797880193143
"19",2025-07-09,"Control","1","20:37","JA;ZD",25.04,35.15,8.16126458587702,-65.1,"20250708","Probe1","",2025-07-09 20:37:00,-91.5385486150619,1.21806756439204,-61.0381368026853
"20",2025-07-09,"Heat","2","20:37","JA;ZD",32.28,35.16,8.06147952852633,-63.8,"20250708","Probe1","",2025-07-09 20:37:00,-91.5385486150619,1.21806756439204,-52.2193276364869
"21",2025-07-09,"Heat","3","20:37","JA;ZD",32.04,35.14,8.07557910427525,-64.5,"20250708","Probe1","",2025-07-09 20:37:00,-91.5385486150619,1.21806756439204,-52.511663851941
"22",2025-07-09,"Control","4","20:37","JA;ZD",25.06,35.3,8.15798232157798,-64.9,"20250708","Probe1","",2025-07-09 20:37:00,-91.5385486150619,1.21806756439204,-61.0137754513975
"23",2025-07-09,"Heat","5","20:37","JA;ZD",31.86,35.28,8.06619958913686,-63.8,"20250708","Probe1","",2025-07-09 20:37:00,-91.5385486150619,1.21806756439204,-52.7309160135316
"24",2025-07-09,"Control","6","20:37","JA;ZD",25.05,35.15,8.1662261387836,-65.4,"20250708","Probe1","",2025-07-09 20:37:00,-91.5385486150619,1.21806756439204,-61.0259561270414
"25",2025-07-09,"Control","1","22:19","JA;ZD",25.14,35.06,8.14647380214584,-64.3,"20250708","Probe1","",2025-07-09 22:19:00,-91.5385486150619,1.21806756439204,-60.9163300462461
"26",2025-07-09,"Heat","2","22:19","JA;ZD",32.1,35.08,8.0599683476034,-63.6,"20250708","Probe1","",2025-07-09 22:19:00,-91.5385486150619,1.21806756439204,-52.4385797980775
"27",2025-07-09,"Heat","3","22:19","JA;ZD",32.16,35.07,8.06921212346519,-64.2,"20250708","Probe1","",2025-07-09 22:19:00,-91.5385486150619,1.21806756439204,-52.365495744214
"28",2025-07-09,"Control","4","22:19","JA;ZD",25.03,35.1,8.15112739544796,-64.5,"20250708","Probe1","",2025-07-09 22:19:00,-91.5385486150619,1.21806756439204,-61.0503174783292
"29",2025-07-09,"Heat","5","22:19","JA;ZD",31.95,35.01,8.06971173446085,-64.1,"20250708","Probe1","",2025-07-09 22:19:00,-91.5385486150619,1.21806756439204,-52.6212899327363
"30",2025-07-09,"Control","6","22:19","JA;ZD",25.06,35.06,8.159168956116,-65,"20250708","Probe1","",2025-07-09 22:19:00,-91.5385486150619,1.21806756439204,-61.0137754513975
