"Timepoint","Estimate (Control-Heat)","SE","t-ratio","p-value","Significant?"
0,0.0022,0.0072,0.3,0.767,""
1,0.0238,0.0072,3.28,0.00307,"**"
6,0.0313,0.0072,4.33,0.000217,"***"
12,0.0243,0.0072,3.35,0.00259,"**"
24,0.0516,0.0072,7.13,1.95e-07,"***"
