"","DateTimeEST","TempC","IntensityLux","Tank","Treatment"
"1",2025-07-09 08:03:27,25.319,0,"Tank1","Control"
"2",2025-07-09 08:08:27,25.319,0,"Tank1","Control"
"3",2025-07-09 08:13:27,25.319,0,"Tank1","Control"
"4",2025-07-09 08:18:27,25.416,0,"Tank1","Control"
"5",2025-07-09 08:23:27,25.513,0,"Tank1","Control"
"6",2025-07-09 08:28:27,25.513,0,"Tank1","Control"
"7",2025-07-09 08:33:27,25.416,0,"Tank1","Control"
"8",2025-07-09 08:38:27,25.416,118.4,"Tank1","Control"
"9",2025-07-09 08:43:27,25.708,129.2,"Tank1","Control"
"10",2025-07-09 08:48:27,25.708,64.6,"Tank1","Control"
"11",2025-07-09 08:53:27,25.708,161.5,"Tank1","Control"
"12",2025-07-09 08:58:27,25.708,161.5,"Tank1","Control"
"13",2025-07-09 09:03:27,25.61,75.3,"Tank1","Control"
"14",2025-07-09 09:08:27,25.61,150.7,"Tank1","Control"
"15",2025-07-09 09:13:27,25.61,161.5,"Tank1","Control"
"16",2025-07-09 09:18:27,25.513,172.2,"Tank1","Control"
"17",2025-07-09 09:23:27,25.513,183,"Tank1","Control"
"18",2025-07-09 09:28:27,25.513,172.2,"Tank1","Control"
"19",2025-07-09 09:33:27,25.513,183,"Tank1","Control"
"20",2025-07-09 09:38:27,25.416,193.8,"Tank1","Control"
"21",2025-07-09 09:43:27,25.416,258.3,"Tank1","Control"
"22",2025-07-09 09:48:27,25.416,258.3,"Tank1","Control"
"23",2025-07-09 09:53:27,25.319,301.4,"Tank1","Control"
"24",2025-07-09 09:58:27,25.319,322.9,"Tank1","Control"
"25",2025-07-09 10:03:27,25.319,344.4,"Tank1","Control"
"26",2025-07-09 10:08:27,25.513,290.6,"Tank1","Control"
"27",2025-07-09 10:13:27,25.513,355.2,"Tank1","Control"
"28",2025-07-09 10:18:27,25.513,430.6,"Tank1","Control"
"29",2025-07-09 10:23:27,25.513,398.3,"Tank1","Control"
"30",2025-07-09 10:28:27,25.416,409,"Tank1","Control"
"31",2025-07-09 10:33:27,25.416,398.3,"Tank1","Control"
"32",2025-07-09 10:38:27,25.416,398.3,"Tank1","Control"
"33",2025-07-09 10:43:27,25.319,484.4,"Tank1","Control"
"34",2025-07-09 10:48:27,25.319,409,"Tank1","Control"
"35",2025-07-09 10:53:27,25.416,462.9,"Tank1","Control"
"36",2025-07-09 10:58:27,25.513,0,"Tank1","Control"
"37",2025-07-09 11:03:27,25.513,0,"Tank1","Control"
"38",2025-07-09 11:08:27,25.513,0,"Tank1","Control"
"39",2025-07-09 11:13:27,25.416,0,"Tank1","Control"
"40",2025-07-09 11:18:27,25.416,0,"Tank1","Control"
"41",2025-07-09 11:23:27,25.416,0,"Tank1","Control"
"42",2025-07-09 11:28:27,25.319,0,"Tank1","Control"
"43",2025-07-09 11:33:27,25.319,0,"Tank1","Control"
"44",2025-07-09 11:38:27,25.319,0,"Tank1","Control"
"45",2025-07-09 11:43:27,25.319,0,"Tank1","Control"
"46",2025-07-09 11:48:27,25.513,0,"Tank1","Control"
"47",2025-07-09 11:53:27,25.513,0,"Tank1","Control"
"48",2025-07-09 11:58:27,25.513,0,"Tank1","Control"
"49",2025-07-09 12:03:27,25.416,0,"Tank1","Control"
"50",2025-07-09 12:08:27,25.416,656.6,"Tank1","Control"
