Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Porites_compressa_HIv1___RNAseq.g9415.t1	0.986242297764689	1	-57.2223786267635	-57.5409221378294	17	12	0.394137436204064	0	0	0	0	1	1	0.75501458721765	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9417.t1	0.99391810882535	1	-15.937139418992	-16.1609153896167	17	12	6.45689156082479e-05	0	0	0	0	0.812666114103451	1	0.884093245177919	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9646.t1	0.688927843749655	1	-83.3841213230784	-84.9199869682774	17	12	7.71391297328597	0	0	0	0	0.405579017648509	0.803770219304611	0.541144260203408	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9653.t1	0.959352228970856	1	-11.5493622675406	-12.068903973231	17	12	3.65691172046877e-05	0	0	0	0	0.721622371397531	1	0.767461800778537	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g18619.t1	0.455121768922067	1	-111.948137638879	-114.292170084036	17	12	4.71022027539628	0	0	0	0	0.165605464596278	0.481253380245479	0.972671542145799	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g33362.t1	0.988882026167558	1	-12.5205128606782	-12.8107243805183	17	12	0.367688968914962	0	0	0	0	0.671467622978313	1	0.992764826234114	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g33376.t1	0.814344774184086	1	-63.2978180077716	-64.4201986173681	17	12	1.61078961318773e-05	0	0	0	0	0.568981574628101	0.951366846541032	0.903238241765049	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g33380.t1	1	1	-3.85084555336864	-3.85081961677322	17	12	1.75927422056048e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g33381.t1	1	1	-9.53969348205582	-9.53955374069132	17	12	1.76286975359461	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g33382.t1	1	1	-3.85105247774537	-3.850908683117	17	12	2.26756397204029e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g33383.t1	0.99601003803793	1	-61.472995305493	-61.6601049065019	17	12	2.49022404633499	0	0	0	0	0.516603776868008	0.910447645028219	0.996514841530047	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g33384.t1	0.435211035451338	1	-99.1869548826462	-101.608966505798	17	12	7.79469806145671	0	0	0	0	0.595520707169367	0.969030239662759	0.744784126261251	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g33385.t1	1	1	-3.85105247774537	-3.850908683117	17	12	2.26756397204029e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g29878.t1	0.987975720649327	1	-18.2976043295137	-18.5979047047443	17	12	8.10197334328172e-05	0	0	0	0	0.980680560629711	1	0.935518825048075	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g29879.t1	0.984794577763277	1	-15.0389375707906	-15.3718203668936	17	12	7.02200446329995e-05	0	0	0	0	0.840290852716699	1	0.913509703140609	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g29880.t1	0.999880011974232	1	-16.1802108938342	-16.2244459713074	17	12	3.0541304541378e-05	0	0	0	0	0.955802821328924	1	0.905509412289479	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g41380.t1	0.627691588479881	1	-77.8550604305376	-79.5908525550642	17	12	2.66471382932288	0	0	0	0	0.103162286659644	0.360109245997791	0.101792755000703	0.500181145471863	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g41409.t1	0.99999990559459	1	-11.3569753235045	-11.359481087337	17	12	2.50274937535588e-05	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g27212.t1	0.997325302507613	1	-9.07757799989306	-9.235726372249	17	12	2.83208969076583e-05	0	0	0	0	0.856074345607605	1	0.889334955827334	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___TS.g28132.t1	0.968732207258377	1	-78.274795350434	-78.7349616820108	17	12	0.249898206998014	0	0	0	0	0.391795642122637	0.789765978641782	0.99522855952167	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g27219.t1	0.97378834752705	1	-26.7424053019469	-27.1670149229121	17	12	7.49113736730974e-05	0	0	0	0	0.840542600848792	1	0.872794212438851	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g27220.t1	1	1	-4.94012319651884	-4.94001018981368	17	12	1.8510655776063e-06	0	0	0	0	0.819296682468699	1	0.95212205588088	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25223.t1	1	1	-57.3185837346058	-57.3178097574928	17	12	0.109655371863846	0	0	0	0	0.773056609409585	1	0.999999969672954	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g17030.t1	1	1	-4.94017583212841	-4.94009272028636	17	12	2.0395619606921e-06	0	0	0	0	0.814869792715007	1	0.8752665734529	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g25336.t1	0.984249612361222	1	-23.6400716424795	-23.9781686423631	17	12	0.0808018082427046	0	0	0	0	0.750954520670957	1	0.998108419411718	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___TS.g17074.t1	0.989796529702805	1	-48.6534958920272	-48.9330777327731	17	12	9.31172830900493e-05	0	0	0	0	0.932858739833503	1	0.646670759864203	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g25340.t1	0.999999999992129	1	-4.94011009198281	-4.9401685765447	17	12	2.40526909058185e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___TS.g17083.t1	1	1	-4.94021272888282	-4.94008400582328	17	12	2.22090292512457e-06	0	0	0	0	0.779089617537892	1	0.866416666363497	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g25345.t1	1	1	-8.38774690916278	-8.387661581154	17	12	2.07017267495679e-06	0	0	0	0	0.631732966785434	0.991554280135051	0.999607564378962	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g17086.t1	0.997259947158877	1	-17.1437012896142	-17.3034567882465	17	12	1.88882164082201e-05	0	0	0	0	0.842285459517108	1	0.912931364615593	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___TS.g17088.t1c	1	1	-6.03612248933039	-6.03594397968769	17	12	1.27071378310888e-06	0	0	0	0	0.803330445858649	1	0.868402532848944	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___TS.g17088.t1a	0.999999999998649	1	-4.94002393522374	-4.94005283753073	17	12	1.82995139560133e-06	0	0	0	0	0.86795118794362	1	0.920434514943206	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g25351.t1	0.868696760743823	1	-132.778544856601	-133.706518525298	17	12	6.72068369580515	0	0	0	0	0.37580825282743	0.771351598102214	0.999506565914894	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g17092.t1	0.974545846860958	1	-58.2180726911949	-58.6370778118174	17	12	0.490749991489139	0	0	0	0	0.716668674387572	1	0.987812350907386	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25353.t1	1	1	-10.7249627592761	-10.7248187233628	17	12	0.300218468147914	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25354.t1	1	1	-4.53682751903775	-4.53682751715775	17	12	2.21482572765143e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g17094.t1	1	1	-4.5368190085281	-4.53681903796584	17	12	2.2063878346623e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___TS.g17097.t1b	0.999362923757429	1	-64.2244814418077	-64.3118010657021	17	12	0.518516201592331	0	0	0	0	0.476791756074304	0.875772072982455	0.648791082592243	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g17097.t1a	0.503207666855102	1	-64.2537106602171	-66.4177581285131	17	12	1.04048266154944	0	0	0	0	0.288755675602758	0.667108578670825	0.974084907042271	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g25360.t1	0.999999999951449	1	-9.54776584429298	-9.54788693862852	17	12	0.410012482303947	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g25364.t1	1	1	-4.94022100198515	-4.94003460525985	17	12	1.81807283411932e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25365.t1	0.965537989362526	1	-14.9032048171719	-15.3844248888487	17	12	4.58575709254603e-05	0	0	0	0	0.713878774988928	1	0.996271739281434	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g17105.t1	0.998721555820688	1	-84.3311934129591	-84.4475213471377	17	12	1.82948619180638	0	0	0	0	0.286471264930235	0.664846676656785	0.96904626248428	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25367.t1	0.99999999983859	1	-5.2266939836711	-5.22688978985644	17	12	1.84188587906509e-06	0	0	0	0	0.865658923709292	1	0.917744670426343	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25368.t1	0.995047063261994	1	-20.4102915330044	-20.6153374702937	17	12	0.219472674373284	0	0	0	0	0.998342075765944	1	0.849400047196348	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25369.t1	1	1	-4.9402458229544	-4.94008280185793	17	12	1.85129564628781e-06	0	0	0	0	0.845282919212686	1	0.913746139465609	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25402.t1	0.764794563231252	1	-118.642729191608	-119.931433979023	17	12	24.7200970936388	0	0	0	0	0.24347372615657	0.605799421881499	0.992366661363822	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25403.t1	0.987008579410646	1	-50.749735973396	-51.0603720911406	17	12	0.712325399798777	0	0	0	0	0.977008499851345	1	0.848374861168092	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g25404.t1	0.679242568368059	1	-78.2478594086389	-79.8151620273505	17	12	16.3587524300989	0	0	0	0	0.567626178008155	0.950338779175298	0.244640599709102	0.894097061724011	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
