gene_id	module	color
Montipora_capitata_HIv3___RNAseq.g2723.t1	ME27	white
Montipora_capitata_HIv3___RNAseq.g2725.t1	ME4	yellow
Montipora_capitata_HIv3___TS.g40290.t1a	ME17	grey60
Montipora_capitata_HIv3___RNAseq.9559_t	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2739.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g2740.t1	ME25	orange
Montipora_capitata_HIv3___RNAseq.g2744.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g2745.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g2749.t1	ME17	grey60
Montipora_capitata_HIv3___TS.g40303.t1	ME17	grey60
Montipora_capitata_HIv3___RNAseq.g2752.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2758.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g2759.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g2764.t2b	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g2764.t2a	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g2765.t1	ME29	saddlebrown
Montipora_capitata_HIv3___TS.g40322.t1	ME3	brown
Montipora_capitata_HIv3___TS.g40323.t1a	ME22	darkgreen
Montipora_capitata_HIv3___RNAseq.g2774.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g2776.t1	ME8	pink
Montipora_capitata_HIv3___TS.g40328.t2	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2780.t1	ME17	grey60
Montipora_capitata_HIv3___RNAseq.g2781.t1	ME22	darkgreen
Montipora_capitata_HIv3___RNAseq.g2783.t1	ME21	darkred
Montipora_capitata_HIv3___RNAseq.g2787.t1	ME22	darkgreen
Montipora_capitata_HIv3___RNAseq.g2788.t1	ME29	saddlebrown
Montipora_capitata_HIv3___RNAseq.g2789.t1	ME22	darkgreen
Montipora_capitata_HIv3___RNAseq.g2791.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2792.t1	ME24	darkgrey
Montipora_capitata_HIv3___RNAseq.g2793.t2	ME3	brown
Montipora_capitata_HIv3___RNAseq.g2794.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g2795.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2797.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g2798.t2a	ME26	darkorange
Montipora_capitata_HIv3___RNAseq.g2798.t2b	ME10	purple
Montipora_capitata_HIv3___RNAseq.g2799.t1	ME17	grey60
Montipora_capitata_HIv3___RNAseq.g2800.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2801.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g2804.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g2805.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g2806.t1	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g2807.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2808.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2809.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2810.t1	ME9	magenta
Montipora_capitata_HIv3___RNAseq.g2811.t1	ME0	grey
