"gene_id","module","color","kME_own","kME_25","kME_5","kME_10","kME_9","kME_26","kME_23","kME_12","kME_22","kME_27","kME_7","kME_21","kME_8","kME_3","kME_29","kME_6","kME_17","kME_31","kME_4","kME_11","kME_15","kME_1","kME_16","kME_18","kME_19","kME_20","kME_2","kME_30","kME_28","kME_13","kME_14","kME_24","kME_0"
"Montipora_capitata_HIv3___RNAseq.g3768.t1","ME0","grey",0.871748579493665,0.0803203650321016,-0.482634888600168,-0.0707526792466276,0.00540822387547911,-0.0682204667671781,0.239402255999111,0.630720159721028,0.746501335463859,0.824918268076726,0.16294952696225,0.0351157989848215,0.367987281513198,-0.0434652177271679,0.326634994989061,0.355012402802507,0.101083531325232,0.688179579225928,0.509131527204505,0.482756754739053,-0.248924632181978,-0.0393955392367185,-0.153501910685034,0.0611907075671516,0.0600889981204527,-0.017875677876445,-0.520070132520402,-0.183248077904169,-0.442733456698652,-0.754202410716068,-0.892592143082478,-0.843866934488479,0.871748579493665
"Montipora_capitata_HIv3___RNAseq.g44919.t1","ME0","grey",0.869718263734595,0.257898870051232,-0.184949013722174,0.0425880565049255,0.180574013386428,-0.0412807377486669,0.321702062481669,0.823019604900506,0.754194383013001,0.628418147069696,0.261787727628462,0.0285045613871519,0.150958056542698,0.147299962232457,0.430446198518813,0.320892294338201,0.328973124904863,0.0866705842880021,-0.154430824305361,-0.294495378830764,-0.373206446161777,-0.252112883172365,-0.260958928647646,-0.107954374710085,-0.140659730303706,-0.12162398688092,0.203014029793235,0.217470712371618,-0.65820399145246,-0.621336968402274,-0.546359057054472,-0.660581761093658,0.869718263734595
"Montipora_capitata_HIv3___RNAseq.g34854.t1","ME0","grey",0.869408954784346,-0.0125801483634801,-0.517839992074179,-0.13640972084636,-0.090096928240949,-0.127967642798518,0.241335285066569,0.649545522027549,0.7187661854638,0.835038651832628,0.17719702448953,-0.0362799274286939,0.253516675741243,-0.108062157161126,0.317089834519498,0.352794242036636,0.123405545629423,0.719548569439191,0.504917305644583,0.52117021969024,-0.172379024052014,0.0189580949497989,-0.166689040078744,0.0668784422269848,0.0958913633825162,0.0386204895559454,-0.529403899947882,-0.144266960764104,-0.423019399054604,-0.740190710222754,-0.91918943009826,-0.820355083000049,0.869408954784346
"Montipora_capitata_HIv3___RNAseq.g9816.t1","ME0","grey",0.86098167301886,0.221227107414514,-0.180604712199318,0.194453347930946,0.0347155705368267,-0.0697782348844585,0.430963897509166,0.628528813058396,0.744176144448674,0.807188019772665,0.361320924098206,0.127701460365662,0.444881729077826,0.411582061544219,0.682558392762481,0.695329130765118,0.596552595211943,0.226923942285383,0.301888346463406,0.265123899565226,-0.491437040362185,-0.506810564288573,-0.494813813582958,-0.321497019355105,-0.294216466739233,-0.209144797533541,-0.244959914770183,-0.271382020644543,-0.420220061169291,-0.894396232390185,-0.624492488477367,-0.612471347912204,0.86098167301886
"Montipora_capitata_HIv3___RNAseq.g46427.t1","ME0","grey",0.856089638360211,0.200269774654472,-0.408109407011866,0.0229782284776264,0.139493143739951,0.0540068457558302,0.191148215070171,0.601402377872264,0.706792423765427,0.769392377421015,0.0776111059703304,-0.0233378735070061,0.461341726477574,0.0748905930344055,0.345400484104463,0.34167791716915,0.158042398702161,0.571992079748859,0.455144890827643,0.395266960352528,-0.338032827708156,-0.139060707817526,-0.10558468092817,0.0624473926898092,-0.104414147920137,-0.0782203875468754,-0.461147394935975,-0.227676889104387,-0.40751397886306,-0.761955720320649,-0.825278402131406,-0.812824844041652,0.856089638360211
"Montipora_capitata_HIv3___TS.g49554.t1","ME0","grey",0.855918305355237,0.422945403328288,-0.136982327161499,0.283671214197581,0.347428666010039,0.20560096035992,0.308319452657779,0.621132643265804,0.73452079623551,0.733355013175651,0.0888296603527952,0.146198722806254,0.582887756483922,0.322371565305847,0.504081292265979,0.414722800353143,0.275470778933025,0.326960482116713,0.286688603308169,0.17701663953295,-0.45729602871923,-0.377655719004224,-0.206167797149275,-0.116911629373343,-0.283823723180227,-0.331933084781873,-0.241011392850391,-0.22410714619485,-0.46605820170263,-0.79062170445149,-0.665799671885061,-0.723020401880946,0.855918305355237
"Montipora_capitata_HIv3___RNAseq.g21856.t1c","ME0","grey",0.854813907291203,0.151241867641868,-0.195864004996393,0.0826307182084306,0.106382819268575,-0.125645121654592,0.355642156705158,0.806830768997044,0.768004976903241,0.675597968098999,0.316236584720308,0.136609491789308,0.213005495313963,0.180065333361599,0.421513400255486,0.410393373723279,0.307975197687861,0.141545944282329,-0.0206706505654134,-0.158582271004025,-0.343448740034238,-0.290881359469575,-0.371526908511853,-0.210659520229583,-0.0930636181678439,-0.123383892925102,0.115294836814652,0.0998505051207584,-0.591085855948866,-0.651744874699568,-0.540294254987275,-0.647377035740478,0.854813907291203
"Montipora_capitata_HIv3___RNAseq.g14143.t1","ME0","grey",0.854168494391592,0.0399834589113558,-0.477609690047123,-0.0832844620877804,0.0202173471211655,-0.151175339672053,0.276714876097932,0.643406752760741,0.776131394443613,0.798787246515167,0.184815617181587,0.0547123549399897,0.266399555453089,-0.140869452759705,0.325011685507206,0.297410130746782,0.0413535916276104,0.685758104574357,0.451409017217526,0.377742010154446,-0.177825417851738,0.0317406696153352,-0.180648414574594,0.0485814035190564,0.138142088595201,-0.0362615163058915,-0.437592042908049,-0.0636699011251383,-0.550772163906132,-0.701241491515393,-0.835149046671913,-0.848187371986791,0.854168494391592
"Montipora_capitata_HIv3___RNAseq.g29757.t1","ME0","grey",0.847524905615076,0.0654040688467301,-0.446406471941987,-0.0774763111818111,-0.0804492958481976,-0.105073495857322,0.194669746609022,0.69134825228529,0.621597615462767,0.759606962397885,0.161827759541182,0.00103097654874342,0.167022175841124,-0.135659942949055,0.281138087670754,0.261595921457592,0.0769595881951627,0.63629771576023,0.353521540117913,0.402513857418516,-0.110073406061138,0.0437727872724702,-0.140807418407375,0.0809625131223138,0.124451214775297,-0.0539629255454567,-0.39934948937266,-0.0132591990208483,-0.524711502903612,-0.646683049446961,-0.868613367337185,-0.760717815626149,0.847524905615076
"Montipora_capitata_HIv3___TS.g14152.t1a","ME0","grey",0.846490775899139,0.21123763889785,-0.378072490194304,0.0642611685045404,0.138402769819897,0.0634094989987873,0.217881572172557,0.605977152329201,0.693107772363073,0.781844905568066,0.0508456971745236,-0.00361371878420253,0.451751903302593,0.0893338196076304,0.380065508854368,0.354549462009733,0.159448027862581,0.577545609457828,0.467971183196174,0.415503333165915,-0.295485541010614,-0.152711278783136,-0.140067781858632,-0.00291373839985158,-0.129760011389411,-0.138656451723744,-0.45386623503648,-0.236858140804192,-0.387364585473999,-0.764403363843195,-0.80188330494208,-0.776390609669881,0.846490775899139
"Montipora_capitata_HIv3___TS.g23828.t1c","ME0","grey",0.843051068386055,0.0195875514435446,-0.507282302397265,-0.099622489990271,-0.0644665832280014,-0.075687787816572,0.214721375570073,0.600651947288719,0.65985912546322,0.820230951407551,0.146844960581224,-0.0492069969888314,0.303593744703137,-0.0449510237371048,0.345354275601565,0.376954603307219,0.167091138980874,0.720439257619443,0.556163536207265,0.605402133591341,-0.198724465099297,-0.0238577341249571,-0.146613540619894,0.0799415227862344,0.0488631553130939,0.025263645586624,-0.596444389778739,-0.255262041676909,-0.342003116595552,-0.76533158096543,-0.923064561230758,-0.778883895589394,0.843051068386055
"Montipora_capitata_HIv3___RNAseq.g15795.t1","ME0","grey",0.840555201093751,0.00557706858640533,-0.483419895154424,-0.186724781021235,-0.062291094791485,-0.0145581687204459,0.165521838909538,0.699501208892689,0.619380382529827,0.733621178309579,0.138493037843382,-0.131658890317082,0.181686333607741,-0.0731027507926763,0.245312978931627,0.264807944470608,0.146014981642577,0.568009063009764,0.307115040280573,0.353683012452863,-0.224256221465519,0.0152517348080804,-0.0887324415623538,0.0794495667169475,0.0400901745480712,0.0974415220462996,-0.356006464383896,-0.0638815486779958,-0.355967327327918,-0.657297469825021,-0.87056263515674,-0.736452324366845,0.840555201093751
"Montipora_capitata_HIv3___RNAseq.g49596.t4","ME0","grey",0.839976235459404,0.116855287254877,-0.411044271236196,-0.0780153175065286,-0.00352050602384159,-0.0420231588075894,0.0310981209517335,0.699431227369902,0.629476808968174,0.847229335669437,0.188557438308224,0.0501703182905284,0.313670760671208,0.0295976154033338,0.35876308028434,0.383015384709755,0.164684264913056,0.55240024060784,0.365671949061796,0.437736691199335,-0.314079533204705,-0.0937515255293804,-0.199828363481071,0.0013117638767329,0.0206864551928761,-0.0684303289248644,-0.37287162158184,-0.113955327970784,-0.39203689336381,-0.708197227860638,-0.815713219475607,-0.667639803647256,0.839976235459404
"Montipora_capitata_HIv3___TS.g15222.t1c","ME0","grey",0.838184248178578,0.0175054344304259,-0.497241569127247,-0.100508994023254,-0.068885623890892,-0.0539065163927223,0.204066533562249,0.589720830029677,0.659124028848637,0.822110459311845,0.124398412386495,-0.0672442298322358,0.315311265528016,-0.0442029084399344,0.328747709167349,0.370817624375845,0.156353758269553,0.728659795522852,0.567918543946474,0.61589601757054,-0.194739299919052,-0.0207190221881111,-0.133741622310309,0.0816176794379969,0.0307398556932182,0.0269424103606829,-0.608917273378964,-0.26309629820804,-0.320349040274594,-0.762509205743832,-0.92711100032294,-0.782673498792914,0.838184248178578
"Montipora_capitata_HIv3___RNAseq.g42374.t1","ME0","grey",0.837397566975259,-0.0136200313284397,-0.518652434221311,-0.129109331625067,-0.11987859275871,-0.102898161031262,0.216948597508696,0.589936855364819,0.670399663266678,0.827660056752469,0.162211589276183,-0.0639682733998367,0.281315317129958,-0.0609776529279391,0.34369902453995,0.389054093376249,0.177089432393256,0.73457917179137,0.572503232541352,0.617460456169063,-0.182838632506748,-0.00979800935275185,-0.161402659758101,0.0682141961448073,0.0644392202097957,0.0429387583452018,-0.610915875534904,-0.257886991145151,-0.325439769540824,-0.766995811553652,-0.924815402675789,-0.782617183937939,0.837397566975259
"Montipora_capitata_HIv3___RNAseq.g30738.t1","ME0","grey",0.836882410897007,0.0280186112903705,-0.498914607775302,-0.0995223501934589,-0.0633504582803326,-0.0492795984686216,0.195114052640951,0.589266865528309,0.657065897263165,0.82178199754653,0.121679623595863,-0.0652584251757329,0.323701764589399,-0.0440045317344147,0.321995111650917,0.368299670281325,0.148824946291107,0.728945927028347,0.566618847965479,0.614857521198299,-0.203489811431913,-0.0202819313297267,-0.126802625908197,0.0917092818281619,0.0296870046618523,0.0263505058895779,-0.607931724512874,-0.263029733389147,-0.322436214908048,-0.760167304907202,-0.925069252572441,-0.781420524358599,0.836882410897007
"Montipora_capitata_HIv3___RNAseq.g23102.t1","ME0","grey",0.836354330319513,0.0195935955148892,-0.477946204428709,-0.0824982632618139,-0.0415772741476642,-0.0465791170139049,0.213061258675657,0.588410957070259,0.658534897245031,0.814377156972317,0.126382499031472,-0.0414101665697316,0.319453793013188,-0.0437036321501162,0.329817406168389,0.364907624790547,0.144021491611045,0.723981340664706,0.566170292329942,0.612292008310856,-0.190419914698559,-0.025188754084254,-0.138009978258539,0.0764213276524416,0.0373623422656165,0.0210255359510249,-0.605359858523867,-0.264341419877731,-0.33561897113099,-0.759412251654001,-0.922907452696947,-0.782916269442025,0.836354330319513
"Montipora_capitata_HIv3___TS.g20042.t1","ME0","grey",0.834910977820887,0.199313000322347,-0.409678718073715,-0.00402492677417528,0.07475528024904,0.0604707261175973,0.104665014077128,0.645337329530053,0.623291582168331,0.804178246496278,0.14331853747833,0.0519642714848367,0.428956174745128,0.112572332438948,0.340135643777287,0.386094968053781,0.183750404042325,0.532626296072115,0.398316356353121,0.459864824957686,-0.366894113255658,-0.164107675042,-0.131451450910218,0.0476790371142584,-0.0562436419344193,-0.0634229106797847,-0.426369172230432,-0.235209422253154,-0.34356775837447,-0.736436739889588,-0.834223423799514,-0.690260130627311,0.834910977820887
"Montipora_capitata_HIv3___TS.g47198.t1","ME0","grey",0.834862244274026,0.0208368208667061,-0.471446795146337,-0.07984911496503,-0.0361463061167292,-0.0411969184495139,0.206929417092938,0.589780909099816,0.660666363141049,0.817687364310599,0.128393199424248,-0.0389237592414188,0.33503752875049,-0.0288759416060874,0.318670185392655,0.375970597278045,0.144283264924712,0.714740903652712,0.566404586446089,0.613556732273341,-0.205478632493857,-0.03913613447292,-0.142729582562259,0.0737877242095211,0.025346891963717,0.0255833731463814,-0.600991113783311,-0.270777038414247,-0.321064047495542,-0.758917975097192,-0.917018048545773,-0.777432881931703,0.834862244274026
"Montipora_capitata_HIv3___RNAseq.g15135.t1","ME0","grey",0.833740770195392,0.0947451329081139,-0.480324666418343,-0.0907270723716685,-0.0535290921571985,-0.129330512860532,0.137568994035928,0.660752240118877,0.649866767781779,0.840414433624505,0.212564876924375,0.0471129839143463,0.269680409367854,-0.0364129177915456,0.384173673476448,0.385410691736025,0.166199295086219,0.620067805428392,0.430637419585713,0.487538752855849,-0.252306617147423,-0.0416480069419464,-0.221002362652168,0.0236918862566558,0.0891864761243205,-0.0456993161041421,-0.444660087989371,-0.140383786153606,-0.435234090667939,-0.723369334615514,-0.837979874918266,-0.704467144554769,0.833740770195392
"Montipora_capitata_HIv3___TS.g15222.t1b","ME0","grey",0.833022393190686,0.00328890959198019,-0.508743244263832,-0.115119017296213,-0.104149199772201,-0.0828036711824051,0.204857060911203,0.591273569038579,0.66168690798671,0.819407737117873,0.156630869788082,-0.0482910854480651,0.309860313217275,-0.0379013996181735,0.326934788658528,0.388781213336537,0.168261750904136,0.713147115324345,0.565185871919285,0.611203156253195,-0.206869613106737,-0.029383785066576,-0.158840716440086,0.0622301749065908,0.0503545482681506,0.0405573943454352,-0.601245899968888,-0.265000799191927,-0.315259317528547,-0.75870667698468,-0.917422514555554,-0.774586086300155,0.833022393190686
"Montipora_capitata_HIv3___TS.g20048.t1","ME0","grey",0.832509371031537,-0.00747671265028464,-0.498022587619648,-0.111433905549908,-0.0915051957790606,-0.0901702606908815,0.211379878451942,0.590864146763297,0.655813980723931,0.81077443799499,0.154120431935013,-0.0469273334763058,0.27929562823905,-0.0662173723246473,0.330897214293709,0.372470308535393,0.156627325054354,0.730178249153339,0.564197644239123,0.610046428319442,-0.166791028661205,-0.00698957172059302,-0.151576642696582,0.0760884166721281,0.0675365048706854,0.0394209105640183,-0.603287059882173,-0.250793784074601,-0.3406523478544,-0.756526697608719,-0.917994685815569,-0.779831511515632,0.832509371031537
