task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_2,MON_R3_H1,DNA/RNA shield,1617,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,LCM,Tank_2,MON_R3_H1,PAXgene,1617,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,spatial,Tank_2,MON_S3_H1,Formalin,1037,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,phys,Tank_4,MON_P3_C2,LN2,1723,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_4,MON_R3_C2,DNA/RNA shield,1741,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,LCM,Tank_4,MON_R3_C2,PAXgene,1741,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,spatial,Tank_4,MON_S3_C2,Formalin,1576,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,phys,Tank_5,MON_P3_H3,LN2,1628,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_5,MON_R3_H3,DNA/RNA shield,1416,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,LCM,Tank_5,MON_R3_H3,PAXgene,1416,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,spatial,Tank_5,MON_S3_H3,Formalin,2865,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,phys,Tank_6,MON_P3_C3,LN2,2518,Yes,Time: 12:45
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_6,MON_R3_C3,DNA/RNA shield,1467,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,LCM,Tank_6,MON_R3_C3,PAXgene,1467,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,spatial,Tank_6,MON_S3_C3,Formalin,2071,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,phys,Tank_3,MON_P3_H2,LN2,1536,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_3,MON_R3_H2,DNA/RNA shield,2063,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,LCM,Tank_3,MON_R3_H2,PAXgene,2063,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,spatial,Tank_3,MON_S3_H2,Formalin,1650,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,phys,Tank_1,MON_P3_C1,LN2,1057,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_1,MON_R3_C1,DNA/RNA shield,1767,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,LCM,Tank_1,MON_R3_C1,PAXgene,1767,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,spatial,Tank_1,MON_S3_C1,Formalin,2979,Yes,Time: 12:53
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,phys,Tank_1,MON_P12_C1,LN2,2526,Yes,Time: 21:28
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_1,MON_R12_C1,DNA/RNA shield,1728,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,LCM,Tank_1,MON_R12_C1,PAXgene,1728,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,spatial,Tank_1,MON_S12_C1,Formalin,2743,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,phys,Tank_5,MON_P12_H3,LN2,1499,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_5,MON_R12_H3,DNA/RNA shield,1409,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,LCM,Tank_5,MON_R12_H3,PAXgene,1409,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,spatial,Tank_5,MON_S12_H3,Formalin,1826,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,phys,Tank_2,MON_P12_H1,LN2,1716,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_2,MON_R12_H1,DNA/RNA shield,1105,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,LCM,Tank_2,MON_R12_H1,PAXgene,1105,Yes,
sampling,MON,12,heat,"Wed, Jul 2",9:00 PM,spatial,Tank_2,MON_S12_H1,Formalin,2297,Yes,
sampling,MON,12,control,"Wed, Jul 2",9:00 PM,phys,Tank_4,MON_P12_C2,LN2,1573,Yes,Time: 21:41
