Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POC_R24_H2	16733336.0	277.0	6021.0	0.04	218.87	383.0	0.0	214.0	119.0	0.0	50.0	4.05	0.02	2.47	0.14	1.6	39161.0	0.23	8859.0	0.05	0.0	99.64	0.03	0	16674275	5020
POC_R24_H3	18033331.0	277.0	7600.0	0.04	217.84	486.0	0.0	205.0	188.0	1.0	92.0	4.01	0.01	2.57	0.15	1.63	52802.0	0.29	11635.0	0.06	0.0	99.58	0.02	0	17957687	3607
POC_R3_C1	20389362.0	276.0	5291.0	0.03	216.92	401.0	0.0	176.0	146.0	1.0	78.0	4.04	0.01	2.56	0.14	1.59	35328.0	0.17	7910.0	0.04	0.0	99.74	0.02	0	20336755	4078
POC_R3_C2	18647667.0	275.0	9204.0	0.05	216.68	229.0	0.0	119.0	43.0	0.0	67.0	4.1	0.01	2.58	0.13	1.64	62151.0	0.33	13655.0	0.07	0.0	99.52	0.03	0	18557063	5594
POC_R3_C3	22206991.0	276.0	17620.0	0.08	215.97	173.0	0.0	69.0	26.0	0.0	78.0	4.1	0.01	1.5	0.16	1.6	133006.0	0.6	28060.0	0.13	0.0	99.18	0.02	0	22023864	4441
POC_R3_H1	15404553.0	278.0	6760.0	0.04	221.06	302.0	0.0	153.0	106.0	0.0	43.0	4.0	0.01	2.66	0.14	1.61	47841.0	0.31	10433.0	0.07	0.0	99.55	0.03	0	15334898	4621
POC_R3_H2	31036781.0	266.0	2673.0	0.01	191.0	217.0	0.0	95.0	52.0	0.0	70.0	4.6	0.05	3.72	0.07	1.89	6424.0	0.02	1823.0	0.01	0.0	99.94	0.02	0	31019653	6208
POC_R3_H3	16987689.0	277.0	7807.0	0.05	217.28	188.0	0.0	108.0	48.0	0.0	32.0	4.07	0.01	2.11	0.15	1.61	58468.0	0.34	12477.0	0.07	0.0	99.52	0.02	0	16905540	3397
POC_R72_C1	18783520.0	275.0	4818.0	0.03	213.59	224.0	0.0	125.0	50.0	0.0	49.0	4.16	0.02	2.53	0.12	1.66	29573.0	0.16	6293.0	0.03	0.0	99.76	0.02	0	18739079	3757
POC_R72_C2	23233557.0	277.0	5652.0	0.02	218.52	264.0	0.0	130.0	80.0	0.0	54.0	4.04	0.02	2.93	0.14	1.6	36343.0	0.16	8517.0	0.04	0.0	99.76	0.02	0	23178398	4647
POC_R72_C3	17855369.0	277.0	7025.0	0.04	217.52	452.0	0.0	251.0	142.0	0.0	59.0	4.1	0.02	2.83	0.12	1.58	44209.0	0.25	10369.0	0.06	0.0	99.62	0.04	0	17786624	7142
POC_R72_H1	22264917.0	277.0	9331.0	0.04	218.47	335.0	0.0	147.0	114.0	0.0	74.0	4.04	0.01	1.82	0.14	1.59	67633.0	0.3	14751.0	0.07	0.0	99.57	0.02	0	22168749	4453
POC_R72_H2	17132924.0	277.0	8805.0	0.05	217.48	410.0	0.0	201.0	134.0	0.0	75.0	4.05	0.02	3.13	0.14	1.64	60705.0	0.35	12918.0	0.08	0.0	99.48	0.03	0	17045356	5140
POC_R72_H3	15415216.0	277.0	15276.0	0.1	218.07	163.0	0.0	61.0	34.0	0.0	68.0	4.09	0.01	1.56	0.16	1.57	114761.0	0.74	24910.0	0.16	0.0	98.98	0.02	0	15257186	3083
