"Timepoint","Estimate (Control-Heat)","SE","t-ratio","p-value","Significant?"
0,0.0104,0.0088,1.19,0.242,""
1,0.0157,0.0088,1.78,0.0825,"."
3,0.0118,0.0088,1.34,0.188,""
6,-0.01,0.0088,-1.14,0.263,""
12,0.0219,0.0088,2.49,0.017,"*"
24,0.0358,0.0088,4.06,0.000206,"***"
36,0.0211,0.009,2.34,0.0239,"*"
48,0.0279,0.0088,3.17,0.00286,"**"
72,0.028,0.0088,3.18,0.00276,"**"
120,0.0246,0.0088,2.79,0.00791,"**"
170,0.0363,0.0088,4.13,0.00017,"***"
