biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	assembly	fasta_file
SAMN56252329	POC_R1_H2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R1_H2_S70_R1_001.fastq.gz	POC_R1_H2_S70_R2_001.fastq.gz						
SAMN56252330	POC_R1_H3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R1_H3_S93_R1_001.fastq.gz	POC_R1_H3_S93_R2_001.fastq.gz						
SAMN56252331	POC_R3_C1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R3_C1_S125_R1_001.fastq.gz	POC_R3_C1_S125_R2_001.fastq.gz	run-2-POC_R3_C1_S64_R1_001.fastq.gz	run-2-POC_R3_C1_S64_R2_001.fastq.gz				
SAMN56252332	POC_R3_C2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R3_C2_S28_R1_001.fastq.gz	POC_R3_C2_S28_R2_001.fastq.gz	run-2-POC_R3_C2_S21_R1_001.fastq.gz	run-2-POC_R3_C2_S21_R2_001.fastq.gz				
SAMN56252333	POC_R3_C3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R3_C3_S74_R1_001.fastq.gz	POC_R3_C3_S74_R2_001.fastq.gz						
SAMN56252334	POC_R3_H1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R3_H1_S106_R1_001.fastq.gz	POC_R3_H1_S106_R2_001.fastq.gz	run-2-POC_R3_H1_S39_R1_001.fastq.gz	run-2-POC_R3_H1_S39_R2_001.fastq.gz				
SAMN56252335	POC_R3_H2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R3_H2_S57_R1_001.fastq.gz	POC_R3_H2_S57_R2_001.fastq.gz	run-2-POC_R3_H2_S59_R1_001.fastq.gz	run-2-POC_R3_H2_S59_R2_001.fastq.gz	run-3_POC_R3_H2_S11_R1_001.fastq.gz	run-3_POC_R3_H2_S11_R2_001.fastq.gz		
SAMN56252336	POC_R3_H3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R3_H3_S59_R1_001.fastq.gz	POC_R3_H3_S59_R2_001.fastq.gz						
SAMN56252337	POC_R12_C1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R12_C1_S18_R1_001.fastq.gz	POC_R12_C1_S18_R2_001.fastq.gz						
SAMN56252338	POC_R12_C2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R12_C2_S83_R1_001.fastq.gz	POC_R12_C2_S83_R2_001.fastq.gz						
SAMN56252339	POC_R12_C3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R12_C3_S103_R1_001.fastq.gz	POC_R12_C3_S103_R2_001.fastq.gz	run-2-POC_R12_C3_S37_R1_001.fastq.gz	run-2-POC_R12_C3_S37_R2_001.fastq.gz	run-3_POC_R12_C3_S6_R1_001.fastq.gz	run-3_POC_R12_C3_S6_R2_001.fastq.gz		
SAMN56252340	POC_R12_H1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R12_H1_S85_R1_001.fastq.gz	POC_R12_H1_S85_R2_001.fastq.gz						
SAMN56252341	POC_R12_H2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R12_H2_S14_R1_001.fastq.gz	POC_R12_H2_S14_R2_001.fastq.gz						
SAMN56252342	POC_R12_H3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R12_H3_S124_R1_001.fastq.gz	POC_R12_H3_S124_R2_001.fastq.gz	run-2-POC_R12_H3_S53_R1_001.fastq.gz	run-2-POC_R12_H3_S53_R2_001.fastq.gz				
SAMN56252343	POC_R24_C1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R24_C1_S81_R1_001.fastq.gz	POC_R24_C1_S81_R2_001.fastq.gz						
SAMN56252344	POC_R24_C2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R24_C2_S9_R1_001.fastq.gz	POC_R24_C2_S9_R2_001.fastq.gz						
SAMN56252345	POC_R24_C3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R24_C3_S63_R1_001.fastq.gz	POC_R24_C3_S63_R2_001.fastq.gz						
SAMN56252346	POC_R24_H1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R24_H1_S53_R1_001.fastq.gz	POC_R24_H1_S53_R2_001.fastq.gz	run-2-POC_R24_H1_S30_R1_001.fastq.gz	run-2-POC_R24_H1_S30_R2_001.fastq.gz				
SAMN56252347	POC_R24_H2	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R24_H2_S78_R1_001.fastq.gz	POC_R24_H2_S78_R2_001.fastq.gz						
SAMN56252348	POC_R24_H3	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R24_H3_S56_R1_001.fastq.gz	POC_R24_H3_S56_R2_001.fastq.gz						
SAMN56252349	POC_R72_C1	RNA-seq of Pocillopora acuta	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	POC_R72_C1_S112_R1_001.fastq.gz	POC_R72_C1_S112_R2_001.fastq.gz	run-2-POC_R72_C1_S45_R1_001.fastq.gz	run-2-POC_R72_C1_S45_R2_001.fastq.gz				
