accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description	treatment	timepoint	replicate
SAMN56252404	Successfully loaded	POR_R0_C2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	2
SAMN56252405	Successfully loaded	POR_R0_C3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	3
SAMN56252406	Successfully loaded	POR_R0_H1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	1
SAMN56252407	Successfully loaded	POR_R0_H2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	2
SAMN56252408	Successfully loaded	POR_R0_H3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	3
SAMN56252409	Successfully loaded	POR_R1_C1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	1
SAMN56252410	Successfully loaded	POR_R1_C2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	2
SAMN56252411	Successfully loaded	POR_R1_C3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	3
SAMN56252412	Successfully loaded	POR_R1_H1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	1
SAMN56252413	Successfully loaded	POR_R1_H2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	2
SAMN56252414	Successfully loaded	POR_R1_H3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	3
SAMN56252415	Successfully loaded	POR_R3_C1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	3 hr	1
SAMN56252416	Successfully loaded	POR_R3_C2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	3 hr	2
SAMN56252417	Successfully loaded	POR_R3_C3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	3 hr	3
SAMN56252418	Successfully loaded	POR_R3_H1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	3 hr	1
SAMN56252419	Successfully loaded	POR_R3_H2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	3 hr	2
SAMN56252420	Successfully loaded	POR_R3_H3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	3 hr	3
SAMN56252421	Successfully loaded	POR_R12_C1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	1
SAMN56252422	Successfully loaded	POR_R12_C2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	2
SAMN56252423	Successfully loaded	POR_R12_C3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	3
SAMN56252424	Successfully loaded	POR_R12_H1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	1
SAMN56252425	Successfully loaded	POR_R12_H2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	2
SAMN56252426	Successfully loaded	POR_R12_H3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	3
SAMN56252427	Successfully loaded	POR_R24_C1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-26	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	1
SAMN56252428	Successfully loaded	POR_R24_C2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-26	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	2
SAMN56252429	Successfully loaded	POR_R24_C3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-26	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	3
SAMN56252430	Successfully loaded	POR_R24_H1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-26	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	1
SAMN56252431	Successfully loaded	POR_R24_H2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-26	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	2
SAMN56252432	Successfully loaded	POR_R24_H3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-26	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	3
SAMN56252433	Successfully loaded	POR_R72_C1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-28	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	1
SAMN56252434	Successfully loaded	POR_R72_C2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-28	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	2
SAMN56252435	Successfully loaded	POR_R72_C3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-28	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	3
SAMN56252436	Successfully loaded	POR_R72_H1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-28	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	1
SAMN56252437	Successfully loaded	POR_R72_H2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-28	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	2
SAMN56252438	Successfully loaded	POR_R72_H3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-28	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	3
SAMN56252439	Successfully loaded	POR_R120_C1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-30	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	1
SAMN56252440	Successfully loaded	POR_R120_C2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-30	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	2
SAMN56252441	Successfully loaded	POR_R120_C3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-30	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	3
SAMN56252442	Successfully loaded	POR_R120_H1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-30	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	1
SAMN56252443	Successfully loaded	POR_R120_H2			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-30	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	2
SAMN56252444	Successfully loaded	POR_R120_H3			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-30	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	3
