accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description	treatment	timepoint	replicate
SAMN56252336	Successfully loaded	POC_R3_H3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	3 hr	3
SAMN56252337	Successfully loaded	POC_R12_C1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	1
SAMN56252338	Successfully loaded	POC_R12_C2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	2
SAMN56252339	Successfully loaded	POC_R12_C3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	3
SAMN56252340	Successfully loaded	POC_R12_H1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	1
SAMN56252341	Successfully loaded	POC_R12_H2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	2
SAMN56252342	Successfully loaded	POC_R12_H3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	3
SAMN56252343	Successfully loaded	POC_R24_C1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-10	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	1
SAMN56252344	Successfully loaded	POC_R24_C2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-10	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	2
SAMN56252345	Successfully loaded	POC_R24_C3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-10	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	3
SAMN56252346	Successfully loaded	POC_R24_H1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-10	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	1
SAMN56252347	Successfully loaded	POC_R24_H2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-10	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	2
SAMN56252348	Successfully loaded	POC_R24_H3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-10	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	3
SAMN56252349	Successfully loaded	POC_R72_C1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-12	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	1
SAMN56252350	Successfully loaded	POC_R72_C2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-12	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	2
SAMN56252351	Successfully loaded	POC_R72_C3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-12	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	3
SAMN56252352	Successfully loaded	POC_R72_H1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-12	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	1
SAMN56252353	Successfully loaded	POC_R72_H2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-12	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	2
SAMN56252354	Successfully loaded	POC_R72_H3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-12	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	3
