Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R1_H2	16676138.0	277.0	400280.0	2.4	262.87	1047089.0	0.0	456511.0	440564.0	272.0	149742.0	0.75	0.07	4.47	0.04	3.61	91609.0	0.55	20278.0	0.12	0.0	96.91	0.02	0	16160636	3335
MON_R1_H3	16190302.0	276.0	1766.0	0.01	217.8	242.0	0.0	150.0	59.0	0.0	33.0	4.22	0.02	3.55	0.01	2.19	8657.0	0.05	931.0	0.01	0.0	99.91	0.02	0	16175710	3238
MON_R24_C1	16411293.0	277.0	4723.0	0.03	229.19	3512.0	0.0	1636.0	1353.0	1.0	522.0	3.24	0.03	3.49	0.01	2.91	16246.0	0.1	1977.0	0.01	0.0	99.84	0.02	0	16385065	3282
MON_R24_C2	18340435.0	276.0	4262.0	0.02	218.43	309.0	0.0	220.0	58.0	0.0	31.0	4.13	0.04	3.41	0.02	1.45	18945.0	0.1	3105.0	0.02	0.0	99.83	0.03	0	18308621	5502
MON_R24_C3	20015554.0	275.0	3785.0	0.02	214.36	236.0	0.0	192.0	30.0	0.0	14.0	4.3	0.01	3.2	0.01	1.42	19117.0	0.1	2197.0	0.01	0.0	99.86	0.02	0	19986452	4003
MON_R24_H1	18542272.0	277.0	2202.0	0.01	217.97	102.0	0.0	61.0	25.0	0.0	16.0	4.21	0.02	4.0	0.01	1.56	12775.0	0.07	1380.0	0.01	0.0	99.89	0.02	0	18522206	3709
MON_R24_H2	15431326.0	277.0	1727.0	0.01	213.72	62.0	0.0	34.0	17.0	0.0	11.0	4.35	0.0	2.0	0.0	1.0	11649.0	0.08	1100.0	0.01	0.0	99.89	0.01	0	15415307	1543
MON_R24_H3	18939741.0	278.0	4416.0	0.02	225.61	397.0	0.0	281.0	86.0	0.0	30.0	3.99	0.04	3.78	0.02	1.7	26954.0	0.14	3942.0	0.02	0.0	99.78	0.03	0	18898747	5682
MON_R3_C1	16862764.0	277.0	1606.0	0.01	212.82	148.0	0.0	106.0	36.0	0.0	6.0	4.35	0.01	2.42	0.0	2.2	11976.0	0.07	1012.0	0.01	0.0	99.9	0.01	0	16846484	1686
MON_R3_C2	15798960.0	277.0	2434.0	0.02	217.04	229.0	0.0	123.0	61.0	0.0	45.0	4.24	0.03	3.43	0.01	2.58	12184.0	0.08	1407.0	0.01	0.0	99.87	0.03	0	15778195	4740
MON_R3_C3	18440310.0	275.0	2357.0	0.01	216.56	286.0	0.0	191.0	67.0	0.0	28.0	4.16	0.05	3.16	0.03	3.1	7716.0	0.04	1495.0	0.01	0.0	99.91	0.03	0	18423210	5532
MON_R3_H1	19375429.0	275.0	4897.0	0.03	217.03	266.0	0.0	186.0	50.0	0.0	30.0	4.25	0.02	3.25	0.01	1.72	19952.0	0.1	2662.0	0.01	0.0	99.83	0.03	0	19342105	5813
MON_R3_H2	32390672.0	268.0	2134.0	0.01	203.64	277.0	0.0	171.0	47.0	0.0	59.0	3.86	0.04	3.49	0.03	4.68	4690.0	0.01	703.0	0.0	0.0	99.95	0.03	0	32373428	9717
MON_R3_H3	15288598.0	277.0	3222.0	0.02	216.64	211.0	0.0	173.0	15.0	0.0	23.0	4.32	0.01	2.82	0.01	1.41	23764.0	0.16	2490.0	0.02	0.0	99.79	0.02	0	15256064	3058
MON_R72_C1	18759165.0	274.0	2652.0	0.01	213.82	166.0	0.0	107.0	29.0	0.0	30.0	4.35	0.02	2.91	0.01	1.67	10238.0	0.05	1220.0	0.01	0.0	99.9	0.02	0	18741303	3752
MON_R72_C2	15855701.0	275.0	1995.0	0.01	213.83	81.0	0.0	60.0	14.0	0.0	7.0	4.35	0.01	2.29	0.02	2.75	11439.0	0.07	1046.0	0.01	0.0	99.89	0.02	0	15838050	3171
MON_R72_C3	22918766.0	275.0	3905.0	0.02	219.1	1065.0	0.0	543.0	381.0	0.0	141.0	3.95	0.03	3.32	0.01	1.82	15333.0	0.07	1668.0	0.01	0.0	99.89	0.02	0	22893276	4584
MON_R72_H1	15327535.0	277.0	19628.0	0.13	234.41	1341.0	0.0	484.0	441.0	2.0	414.0	3.29	0.01	2.88	0.09	1.05	47086.0	0.31	19396.0	0.13	0.0	99.42	0.01	0	15239892	1533
MON_R72_H2	20858703.0	271.0	37009.0	0.18	225.57	1116.0	0.0	526.0	377.0	0.0	213.0	3.88	0.01	1.22	0.23	1.01	119508.0	0.57	29506.0	0.14	0.0	99.09	0.01	0	20670594	2086
MON_R72_H3	16724285.0	274.0	1583.0	0.01	211.27	115.0	0.0	71.0	29.0	0.0	15.0	4.32	0.03	3.52	0.01	1.12	7403.0	0.04	684.0	0.0	0.0	99.92	0.02	0	16711270	3345
