Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
MON_R1_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R1_H1_Aligned.sortedByCoord.out.bam	37217.0	140208.0	98368.0	1916.0	0.0	30192348.0		1916.0	7446.0	32454.0	1762.0
MON_R1_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R1_H2_Aligned.sortedByCoord.out.bam	39433.0	140120.0	90116.0	3436.0	0.0	33273410.0	11.44	3436.0	11830.0	34694.0	2728.0
MON_R1_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R1_H3_Aligned.sortedByCoord.out.bam	43688.0	154740.0	99582.0	3140.0	0.0	32293228.0	6.28	3140.0	11016.0	40956.0	2927.0
MON_R24_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R24_C1_Aligned.sortedByCoord.out.bam	58504.0	222021.0	155796.0	3474.0	0.0	32705577.0		3474.0	10762.0	51941.0	2616.0
MON_R24_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R24_C2_Aligned.sortedByCoord.out.bam	57134.0	213936.0	148948.0	2614.0	0.0	36566602.0	2.74	2614.0	9496.0	52814.0	2284.0
MON_R24_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R24_C3_Aligned.sortedByCoord.out.bam	69816.0	254667.0	171425.0	4044.0	0.0	39891475.0	2.35	4044.0	12610.0	66544.0	3272.0
MON_R24_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R24_H1_Aligned.sortedByCoord.out.bam	52069.0	196736.0	138320.0	3228.0	0.0	36980406.0	3.76	3228.0	11336.0	43786.0	2477.0
MON_R24_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R24_H2_Aligned.sortedByCoord.out.bam	43788.0	167654.0	119894.0	2552.0	0.0	30775076.0	2.81	2552.0	9416.0	35730.0	2248.0
MON_R24_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R24_H3_Aligned.sortedByCoord.out.bam	63023.0	263868.0	205824.0	3734.0	0.0	37753436.0		3734.0	9726.0	44528.0	2540.0
MON_R3_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R3_C1_Aligned.sortedByCoord.out.bam	45835.0	173649.0	121770.0	3448.0	0.0	33633857.0	3.14	3448.0	11122.0	37253.0	2970.0
MON_R3_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R3_C2_Aligned.sortedByCoord.out.bam	45788.0	174572.0	123456.0	2832.0	0.0	31506344.0	2.76	2832.0	10182.0	38084.0	2318.0
MON_R3_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R3_C3_Aligned.sortedByCoord.out.bam	36848.0	125999.0	77732.0	2587.0	0.0	36806923.0		2587.0	10498.0	35138.0	2735.0
MON_R3_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R3_H1_Aligned.sortedByCoord.out.bam	63142.0	227266.0	152026.0	2928.0	0.0	38624574.0	1.2	2928.0	10014.0	62242.0	2364.0
MON_R3_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R3_H2_Aligned.sortedByCoord.out.bam	61372.0	200744.0	114774.0	7780.0	0.0	64658600.0		7780.0	25326.0	52774.0	6861.0
MON_R3_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R3_H3_Aligned.sortedByCoord.out.bam	63679.0	257986.0	195446.0	3314.0	0.0	30449838.0		3314.0	9286.0	49892.0	2425.0
MON_R72_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R72_C1_Aligned.sortedByCoord.out.bam	49358.0	167168.0	101942.0	3656.0	0.0	37419614.0	42.87	3656.0	11952.0	49512.0	2955.0
MON_R72_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R72_C2_Aligned.sortedByCoord.out.bam	49710.0	182495.0	123458.0	3347.0	0.0	31611981.0		3347.0	11278.0	44354.0	2746.0
MON_R72_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R72_C3_Aligned.sortedByCoord.out.bam	65414.0	241490.0	163828.0	5428.0	2.0	45706704.0		5428.0	16198.0	55986.0	4413.0
MON_R72_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R72_H1_Aligned.sortedByCoord.out.bam	55792.0	240268.0	192018.0	62.0	0.0	30543486.0		62.0	5444.0	42710.0	4.0
MON_R72_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R72_H2_Aligned.sortedByCoord.out.bam	120986.0	463388.0	331246.0	76.0	0.0	41475433.0		76.0	1730.0	130330.0	175.0
MON_R72_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R72_H3_Aligned.sortedByCoord.out.bam	44593.0	153708.0	96856.0	3328.0	0.0	33359384.0		3328.0	12314.0	41162.0	2839.0
