"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Montipora_capitata_HIv3___RNAseq.g4585.t1",0.000281052185794812,0.00269464280686042,-269.818106440333,-281.525993500703,17,12,1004.3732657647,0,0,0,0,0.00147393056989719,0.00972354679185194,0.999849890248192,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4586.t1",0.470444853544142,0.704555034507476,-224.003877236315,-226.289360571057,17,12,188.531561969554,0,0,0,0,0.012653423926707,0.0518280523455876,0.903896974930227,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4588.t1",0.977821181563576,1,-103.723480058705,-104.11725072184,17,12,5.54356514097459,0,0,0,0,0.926145308120962,0.9583258963975,0.83694993338192,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4589.t1",0.00428499287899188,0.0241942485899769,-322.497639514343,-331.055634199688,17,12,4210.68476075812,0,0,0,0,1.44670934246386e-05,0.000223230961053308,0.0373151868769437,0.140610727356338,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4590.t1",0.429711222258965,0.667471011643694,-272.67693798735,-275.12089827182,17,12,672.208352466432,0,0,0,0,0.895812922094993,0.935841782269156,0.61571959451557,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4591.t1b",0.641853854027082,0.840666119874977,-143.044449183065,-144.733674945409,17,12,12.3067200067279,0,0,0,0,0.704554064289908,0.794994696567763,0.983662221868274,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4591.t1a",0.773590564524231,0.925970167123267,-210.923644402257,-212.183278246443,17,12,133.305869288636,0,0,0,0,0.379492447607348,0.542165531364014,0.999997360278541,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4592.t1",0.139644873526686,0.323155592269359,-126.513563295453,-130.671701909131,17,12,11.5080794220377,0,0,0,0,0.368400758195099,0.532530413815239,0.746777849723349,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4593.t1",0.755644587648586,0.915505939108448,-102.366782490456,-103.685581979056,17,12,8.58539078728266,0,0,0,0,0.675335401896213,0.774632773240895,0.296858379711075,0.669578094986996,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4594.t1",0.208061932387252,0.422484510973142,-317.288328600697,-320.875018151045,17,12,3684.13225079739,0,0,0,0,0.00145321038291629,0.00960159139472291,0.240854141919651,0.579579356703486,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26285.t1",0.447152330828525,0.683622096555027,-169.840189245394,-172.215164141311,17,12,25.003013017123,0,0,0,0,0.0911183535074049,0.216972154058587,0.763797187278726,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4597.t1",0.256718383517582,0.48439238737093,-157.314368832442,-160.586976386206,17,12,19.9663291997221,0,0,0,0,0.14652929448269,0.298040961379684,0.86008593320623,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4598.t1",0.95424225212876,1,-123.989836890757,-124.539053575735,17,12,6.82972430057414,0,0,0,0,0.227104463447222,0.394878178741336,0.945146563094486,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4599.t1",0.0618177497066886,0.181981633003087,-252.898944964787,-258.157991258967,17,12,715.416540624349,0,0,0,0,0.0229133948981764,0.0808444112442811,0.479080766190072,0.900153688890538,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26291.t1",0.000324453007211083,0.00302899985540623,-197.416463836962,-208.961457306899,17,12,89.1540416634085,0,0,0,0,0.000548164471668825,0.00448198934457698,0.00615670777364784,0.0319450215901517,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4604.t1",0.0202638937869868,0.080875487485959,-280.156436567569,-286.834292362528,17,12,1306.50156560161,0,0,0,0,0.0684530707629221,0.178096363699573,2.11657219496271e-06,2.81794428204571e-05,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.g4605.t1",0.399423902308574,0.6388349838151,-212.969938320543,-215.538297651689,17,12,253.105741367253,0,0,0,0,0.0249690214607322,0.0858960550566677,0.351683929548444,0.747779514081251,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4606.t1",3.92613016362801e-05,0.00052927119396686,-245.511744989941,-259.427622934265,17,12,429.761297368951,0,0,0,0,0.000169939900108348,0.00174745172948132,0.584723552269367,0.99583765814102,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4607.t1",0.00149857312661884,0.010508172175911,-240.037476878053,-249.827033617286,17,12,446.696540841251,0,0,0,0,8.05395662152257e-09,3.84049922004743e-07,0.537672306259953,0.955696007978244,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___TS.g26295.t1",0.0718776614804787,0.203152245301533,-289.261020312824,-294.321535195325,17,12,2693.85629948494,0,0,0,0,0.837864942524706,0.891377832815331,0.25748450302349,0.607547930636276,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4609.t1",0.0538186543684999,0.165054478778289,-234.561539020243,-240.001374281052,17,12,182.48183055115,0,0,0,0,0.188243187458275,0.350802010865356,0.000436523607269289,0.00326162374450599,FALSE,FALSE,FALSE,"Other"
