tris.date,mVTris,TTris
20250513,-63.3,21
20250513,-63.1,21.5
20250513,-62.7,22
20250513,-61.9,22.5
20250513,-61.2,23
20250513,-60.8,23.5
20250513,-60.3,24
20250513,-59.4,24.5
20250513,-58.9,25
20250513,-58.4,25.5
20250513,-57.5,26
20250513,-56.9,26.5
20250513,-56.3,27
