"","DateTimeEST","TempC","IntensityLux","Tank","Treatment"
"95",2025-06-25 15:54:41,25.61,1270.1,"Tank1","Control"
"96",2025-06-25 15:59:41,25.61,1248.6,"Tank1","Control"
"97",2025-06-25 16:04:41,25.513,1227.1,"Tank1","Control"
"98",2025-06-25 16:09:41,25.513,1248.6,"Tank1","Control"
"99",2025-06-25 16:14:41,25.513,1227.1,"Tank1","Control"
"100",2025-06-25 16:19:41,25.513,1151.7,"Tank1","Control"
"101",2025-06-25 16:24:41,25.416,1097.9,"Tank1","Control"
"102",2025-06-25 16:29:41,25.416,1119.5,"Tank1","Control"
"103",2025-06-25 16:34:41,25.61,1076.4,"Tank1","Control"
"104",2025-06-25 16:39:41,25.61,1011.8,"Tank1","Control"
"105",2025-06-25 16:44:41,25.61,1033.3,"Tank1","Control"
"106",2025-06-25 16:49:41,25.61,968.8,"Tank1","Control"
"107",2025-06-25 16:54:41,25.513,914.9,"Tank1","Control"
"108",2025-06-25 16:59:41,25.513,904.2,"Tank1","Control"
"109",2025-06-25 17:04:41,25.513,861.1,"Tank1","Control"
"110",2025-06-25 17:09:41,25.513,904.2,"Tank1","Control"
"111",2025-06-25 17:14:41,25.513,775,"Tank1","Control"
"112",2025-06-25 17:19:41,25.416,807.3,"Tank1","Control"
"113",2025-06-25 17:24:41,25.416,710.4,"Tank1","Control"
"114",2025-06-25 17:29:41,25.513,742.7,"Tank1","Control"
"115",2025-06-25 17:34:41,25.61,753.5,"Tank1","Control"
"116",2025-06-25 17:39:41,25.61,645.8,"Tank1","Control"
"117",2025-06-25 17:44:41,25.61,581.3,"Tank1","Control"
"118",2025-06-25 17:49:41,25.513,581.3,"Tank1","Control"
"119",2025-06-25 17:54:41,25.513,656.6,"Tank1","Control"
"120",2025-06-25 17:59:41,25.513,527.4,"Tank1","Control"
"121",2025-06-25 18:04:41,25.513,581.3,"Tank1","Control"
"122",2025-06-25 18:09:41,25.416,495.1,"Tank1","Control"
"123",2025-06-25 18:14:41,25.416,495.1,"Tank1","Control"
