"Gene","cluster","membership","response_type"
"Montipora_capitata_HIv3___RNAseq.37201_t",5,0.709975704113269,"Transient"
"Montipora_capitata_HIv3___RNAseq.37562_t",6,0.970563549061675,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.37943_t",1,0.793350942428537,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.37974_t",6,0.439941678626355,"Other"
"Montipora_capitata_HIv3___RNAseq.38369_t",3,0.92549869357665,"Transient"
"Montipora_capitata_HIv3___RNAseq.3837_t",2,0.597048195241959,"Other"
"Montipora_capitata_HIv3___RNAseq.38880_t",4,0.742191479245233,"Transient"
"Montipora_capitata_HIv3___RNAseq.38949_t",4,0.903819505276364,"Transient"
"Montipora_capitata_HIv3___RNAseq.3938_t",6,0.911142149800897,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.39395_t",5,0.568755270139675,"Other"
"Montipora_capitata_HIv3___RNAseq.39538_t",1,0.676612729650421,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.39776_t",6,0.835754427702521,"Other"
"Montipora_capitata_HIv3___RNAseq.39849_t",6,0.595907349701161,"Other"
"Montipora_capitata_HIv3___RNAseq.401_t",6,0.840721983896037,"Transient"
"Montipora_capitata_HIv3___RNAseq.41126_t",6,0.759140180919864,"Other"
"Montipora_capitata_HIv3___RNAseq.41837_t",6,0.987084116977711,"Other"
"Montipora_capitata_HIv3___RNAseq.42056_t",3,0.97715449962823,"Transient"
"Montipora_capitata_HIv3___RNAseq.42070_t",1,0.975891547497025,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.42110_t",3,0.823858941744234,"Transient"
"Montipora_capitata_HIv3___RNAseq.42396_t",2,0.612343604636413,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.42542_t",6,0.913260809188012,"Other"
"Montipora_capitata_HIv3___RNAseq.42581_t",6,0.53967310178974,"Other"
"Montipora_capitata_HIv3___RNAseq.42845_t",4,0.838683261816887,"Transient"
"Montipora_capitata_HIv3___RNAseq.4398_t",6,0.935498404414268,"Other"
"Montipora_capitata_HIv3___RNAseq.4407_t",6,0.515772566586164,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.45031_t",1,0.937031126762406,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.45034_t",6,0.743864336795947,"Other"
"Montipora_capitata_HIv3___RNAseq.45050_t",2,0.732949501869364,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.45055_t",6,0.946615851369007,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.46875_t",6,0.896238063403197,"Transient"
"Montipora_capitata_HIv3___RNAseq.47221_ta",1,0.901315188468405,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.47221_tb",1,0.949683514036571,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.47221_tc",1,0.973445541258935,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.47346_t",3,0.875556567871517,"Transient"
"Montipora_capitata_HIv3___RNAseq.47452_t",5,0.736954236902423,"Transient"
"Montipora_capitata_HIv3___RNAseq.476_t",3,0.966205951946674,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.4946_t",6,0.976509190179721,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.4947_t",6,0.96757887074392,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.5004_t",1,0.966573557972227,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.5043_t",1,0.975153167615881,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.51211_t",1,0.492672931645697,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.51955_t",6,0.351289166743996,"Other"
"Montipora_capitata_HIv3___RNAseq.53422_t",6,0.918125201384485,"Monotonous"
