"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type","classification"
"Pocillopora_acuta_HIv2___RNAseq.g24742.t1",0.0890427969856651,0.168396754596563,-242.145757349989,-246.920674759172,17,12,807.838227692399,0,0,0,0,1.6248158428057e-05,7.86120891084714e-05,0.42790984801645,0.606861461201254,TRUE,FALSE,FALSE,"Transient",NA
"Pocillopora_acuta_HIv2___RNAseq.g24743.t1",0.0507780427699947,0.106648855976963,-254.053076454098,-259.568340678563,17,12,837.373303627769,0,0,0,0,0.781183972965593,0.83300191209074,0.020534889773425,0.049576898497401,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24744.t1",8.37316548424709e-08,9.36900495031883e-07,-318.990860203187,-339.613207416989,17,12,4841.68072368957,0,0,0,0,9.03889453151999e-17,2.10101648192582e-15,0.338476531378863,0.506810540260564,TRUE,FALSE,FALSE,"Transient","transient_up"
"Pocillopora_acuta_HIv2___TS.g21149.t1",0.251988988426151,0.381872485134076,-131.358707802609,-134.659544672511,17,12,14.3836132071972,0,0,0,0,0.170003795512339,0.250594838290381,0.0758013826438695,0.151027503157114,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24746.t1",3.37098905563152e-05,0.000205514148219276,-273.197448759241,-287.282672418422,17,12,1073.63555794776,0,0,0,0,0.0414091360523579,0.07906792698529,1.87979126501718e-08,1.55812143372528e-07,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24747.t1",0.00650069246817695,0.0195200783588733,-344.883489921749,-352.945145571848,17,12,8897.08559024152,0,0,0,0,3.21816946056998e-15,6.34500905265423e-14,0.000117724250739005,0.000502337132195297,TRUE,FALSE,FALSE,"Transient","transient_up"
"Pocillopora_acuta_HIv2___RNAseq.g24748.t1",0.111502044669695,0.201140785195058,-221.421269078375,-225.891015686012,17,12,304.742148775908,0,0,0,0,0.0704188881920483,0.122699279753939,8.990123137118e-05,0.000392340614458198,FALSE,TRUE,FALSE,"Monotonous",NA
"Pocillopora_acuta_HIv2___RNAseq.g24750.t1",1.26825214357622e-08,1.70061702757712e-07,-227.21366486992,-249.857327476593,17,12,369.785726451777,0,0,0,0,1.13059662126339e-17,2.89806889320969e-16,0.00110192720331534,0.00376889498614669,TRUE,FALSE,FALSE,"Transient","transient_down"
"Pocillopora_acuta_HIv2___TS.g21155.t1",2.21816283728896e-08,2.82405305384502e-07,-253.586750240659,-275.633021029577,17,12,559.841163405317,0,0,0,0,2.05418986924377e-20,6.85857423411095e-19,0.013713430327975,0.0350473066717928,TRUE,FALSE,FALSE,"Transient","transient_down"
"Pocillopora_acuta_HIv2___RNAseq.g24752.t1",0.630863227042239,0.756465943352009,-106.243507167849,-107.968846944501,17,12,5.14518450453781,0,0,0,0,0.679897457599506,0.744815753782074,0.606907225687981,0.782348207353936,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24754.t1",0.00180835906132006,0.00657084547616313,-199.722048679843,-209.293145078229,17,12,210.876677542461,0,0,0,0,0.000152140149422984,0.000594380868853172,0.175088395106809,0.300894347299588,TRUE,FALSE,FALSE,"Transient","transient_down"
"Pocillopora_acuta_HIv2___RNAseq.g24755.t1",0.175096032598402,0.287723688828353,-252.964562730219,-256.801931386735,17,12,560.598173202079,0,0,0,0,0.192781482052324,0.27637977244064,0.0949143444399005,0.181914905454204,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24756.t1",0.00323943150028223,0.0108043141279137,-250.056415582561,-258.94485678129,17,12,1095.35416601223,0,0,0,0,0.345559549655752,0.436429042331583,0.000241590487278558,0.000958407562146414,FALSE,TRUE,FALSE,"Monotonous","transition_down"
"Pocillopora_acuta_HIv2___TS.g21161.t1",0.13651787372248,0.236368780875556,-159.792991904506,-163.982801937321,17,12,35.0993379279629,0,0,0,0,0.116871215165251,0.185107320596718,0.00311293509987054,0.00952050451574139,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24758.t1",1.72396848441796e-06,1.43420606970875e-05,-247.065871998319,-264.417764089298,17,12,785.147416543125,0,0,0,0,0.000600788439570623,0.00203756655851658,0.0332985077690692,0.075431251795491,FALSE,FALSE,FALSE,"Other","unclassified"
"Pocillopora_acuta_HIv2___RNAseq.g24759.t1",3.92956463607125e-06,3.02865486984712e-05,-223.587824381899,-240.040578519175,17,12,286.518493397618,0,0,0,0,6.33158068346282e-09,5.49655251744679e-08,0.795187414535113,0.929022358343651,TRUE,FALSE,FALSE,"Transient","transient_down"
"Pocillopora_acuta_HIv2___RNAseq.g24760.t1",0.00204411591404364,0.00730091579724509,-330.717788469593,-340.146017327837,17,12,2207.63854531071,0,0,0,0,1,1,1.43306312841915e-10,1.63504242844931e-09,FALSE,TRUE,FALSE,"Monotonous","transition_down"
"Pocillopora_acuta_HIv2___RNAseq.g24761.t1",0.190062218226366,0.306543628565978,-286.142266651093,-289.861170593354,17,12,1782.11138019401,0,0,0,0,0.938990272323876,0.966543804458514,0.000429686300178768,0.00161787530385849,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24762.t1",0.0341876441472144,0.0775087749000704,-162.837797612477,-168.859878614373,17,12,26.4474214924562,0,0,0,0,0.00184962615046934,0.00549797366661595,0.249716944284773,0.399422196332105,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24763.t1",0.578592081724704,0.712238542534714,-213.927890577769,-215.827765726546,17,12,96.0003987870599,0,0,0,0,0.167071201529054,0.247104479471989,0.198094146146998,0.332346703824315,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24764.t1",0.716298642125313,0.824459109015065,-269.503643031888,-270.950724564094,17,12,927.122736606461,0,0,0,0,0.217717716658045,0.303679747842308,0.0545037922542199,0.114425848704756,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24765.t1",0.961654922736821,0.994759048897974,-179.572307602402,-180.07792258425,17,12,72.3934794332695,0,0,0,0,0.352623165880703,0.442660276838666,0.521467595495586,0.701452114269574,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24766.t1",0.0875542117032536,0.166047417997935,-311.987729939105,-316.785296537658,17,12,1604.47195964318,0,0,0,0,0.170372749989348,0.25100380582689,0.00602144600551224,0.0170597506762276,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24767.t1",0.000108751787515532,0.000571823699656905,-178.050654703713,-190.828991288008,17,12,38.7022278639448,0,0,0,0,0.0347738859889929,0.0682641078670975,2.75542651933356e-08,2.23271906493496e-07,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___TS.g21173.t1",0.000341282639827419,0.00155611157585661,-174.423669163065,-185.911230633388,17,12,32.1231911806928,0,0,0,0,0.0331134420868559,0.0654734706745104,3.47814215062405e-08,2.77151256801004e-07,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24769.t1",9.78026631600445e-06,6.82590491072138e-05,-203.038041601076,-218.490581251825,17,12,49.6350924490138,0,0,0,0,0.081408667328529,0.137870141362181,1.33935267676324e-10,1.53233005097028e-09,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___TS.g21175.t1",0.321046642788055,0.461059729243789,-206.786407347006,-209.711618669377,17,12,80.3062908265441,0,0,0,0,0.350318661235877,0.440654515326004,9.42388558785014e-05,0.000409979296086814,FALSE,TRUE,FALSE,"Monotonous",NA
"Pocillopora_acuta_HIv2___RNAseq.g24771.t1",0.0272192710260214,0.0641958554544239,-170.299465626465,-176.609144083425,17,12,42.0084976142159,0,0,0,0,0.561786990592108,0.639971194498847,0.000792775544734096,0.0027998605014462,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24772.t1",7.75704667591187e-06,5.53557943187176e-05,-187.598729975294,-203.306044012806,17,12,44.8328390486382,0,0,0,0,0.00533894523843622,0.0138114647864996,2.6131090387411e-10,2.86099879434775e-09,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24773.t1",7.4259200108036e-07,6.70321646722593e-06,-196.297311558299,-214.564333746237,17,12,43.1316451757764,0,0,0,0,0.0327448297231274,0.0648577508040438,4.9358924379484e-15,9.39741170189856e-14,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24774.t1",0.00184157092004526,0.00667596225535593,-262.712416478916,-272.262315874796,17,12,496.743697441049,0,0,0,0,0.41298673745571,0.500870109772172,1.23315949486231e-09,1.22681415880976e-08,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24775.t1",0.209929363390833,0.33144573351464,-172.037382113409,-175.610923686638,17,12,64.4770166633336,0,0,0,0,0.256364777554387,0.345244783365129,0.00459495084951628,0.0134210878484349,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24776.t1",0.547241623432172,0.683394418687252,-220.904384150464,-222.911942326528,17,12,181.124376400754,0,0,0,0,0.0440812315058827,0.0832712258568674,0.482244369394479,0.66293649435417,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24777.t1",0.0211562647597219,0.0520219263898475,-233.762437825219,-240.386794066137,17,12,213.322584755847,0,0,0,0,1.55811529290573e-09,1.45710361906119e-08,0.0533092266539057,0.112248663737869,TRUE,FALSE,FALSE,"Transient",NA
"Pocillopora_acuta_HIv2___TS.g21184.t2",6.48988638317046e-05,0.000364805626059622,-282.880717622867,-296.236750587511,17,12,3864.86200669627,0,0,0,0,5.10563991991241e-08,3.87050958183998e-07,0.000159478041230537,0.000658969818808951,TRUE,FALSE,FALSE,"Transient","transient_up"
"Pocillopora_acuta_HIv2___RNAseq.g24780.t1",0.00174987476451442,0.00638624912229356,-179.238354802808,-188.847724741506,17,12,76.0689624548193,0,0,0,0,0.0021343201224881,0.00620927075410891,0.000400097868883781,0.00151908067404938,FALSE,FALSE,FALSE,"Other","unclassified"
"Pocillopora_acuta_HIv2___RNAseq.g24781.t1",0.103163202782789,0.189232436611424,-197.874316804733,-202.450180005842,17,12,89.3795876422893,0,0,0,0,0.00784820663377801,0.0192676530850267,0.00898973495677457,0.0242444830835764,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24783.t1",0.0817952469806455,0.157011872157645,-105.598368179219,-110.487045975944,17,12,10.4916315452699,0,0,0,0,0.44540277917974,0.531063711421833,0.181996924651662,0.310313699318275,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g21189.t1b",0.224281880942027,0.349046199461818,-291.466531935933,-294.942218923919,17,12,1845.96155902797,0,0,0,0,0.0531901383840823,0.0973305386234333,0.000451922941880656,0.00169085606192579,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g21189.t1a",1.04036617867177e-31,2.40257156131968e-29,-271.793664863255,-349.396213762877,17,12,576.049635939026,0,0,0,0,2.69352382095139e-54,6.33765826588195e-52,2.46179002855073e-17,5.94956444787633e-16,TRUE,FALSE,FALSE,"Transient","transient_up"
"Pocillopora_acuta_HIv2___RNAseq.g24786.t1",1.43669663495755e-20,1.06963136634258e-18,-258.868060387135,-310.209553050262,17,12,776.23798213913,0,0,0,0,1.85291928396996e-45,2.92491518110727e-43,1.30904204676046e-20,4.29347695783177e-19,TRUE,FALSE,FALSE,"Transient","transient_up"
"Pocillopora_acuta_HIv2___RNAseq.g24787.t1",0.000327676324601058,0.00150248122131979,-235.803376751858,-247.33714607226,17,12,302.579558984389,0,0,0,0,0.10904891727909,0.174906047965131,2.68184939600336e-12,3.82654495341647e-11,FALSE,TRUE,FALSE,"Monotonous","transition_down"
"Pocillopora_acuta_HIv2___RNAseq.g24788.t2",0.00450590731110296,0.0143453962530277,-260.840003590118,-269.338393730964,17,12,1189.39961635603,0,0,0,0,0.20613725641085,0.29082867474505,0.00133331810399821,0.00445820887489271,FALSE,FALSE,FALSE,"Other","unclassified"
"Pocillopora_acuta_HIv2___RNAseq.g24789.t1",0.0178791659622684,0.0451843427160742,-300.315811557932,-307.148605133628,17,12,1265.77905210323,0,0,0,0,0.0286094698761665,0.0580026652724328,0.0259028051134306,0.0606270516454648,FALSE,FALSE,FALSE,"Other","unclassified"
"Pocillopora_acuta_HIv2___RNAseq.g24790.t1",0.339897690164482,0.481013861234245,-242.820033187191,-245.65392770574,17,12,993.982552477646,0,0,0,0,0.0325424735847728,0.064497920667341,0.145143308737892,0.258381014344427,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24791.t1",0.840502897408879,0.915814013292916,-242.850924973411,-243.881919533589,17,12,707.544690544169,0,0,0,0,0.138342694780159,0.212340555251489,0.519530368666403,0.699544565531598,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24792.t1",0.388572810462549,0.530977123917732,-134.080586837873,-136.695104220477,17,12,15.3067175243875,0,0,0,0,0.351428668673873,0.441627572197061,0.370451390211735,0.543431838799605,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24793.t1",0.671612475394026,0.790771831880796,-149.762702856314,-151.354800568974,17,12,26.2248218494839,0,0,0,0,0.174581481620155,0.255545321502921,0.578135188416484,0.756599314424155,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24794.t1",0.891234587201168,0.950901858289884,-181.266868655606,-182.107568947004,17,12,99.0483279938266,0,0,0,0,0.0400196193120735,0.0768560349012417,0.942807521043618,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24795.t1",6.68124483569912e-05,0.000373793018051081,-254.187983945562,-267.511571703105,17,12,552.159901063243,0,0,0,0,0.000439126562510448,0.00154126873002717,0.000185423126288535,0.000756401405424004,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24796.t1",0.0243347753341469,0.0585273791158075,-124.414764304231,-130.864730477233,17,12,12.7301819342982,0,0,0,0,0.43995939441723,0.525931137661049,0.0742979823081414,0.148578093068261,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24797.t1",0.906823866511628,0.961161618914051,-190.691241674435,-191.467952459043,17,12,100.625915732071,0,0,0,0,0.211769203397992,0.297219486512103,0.85575612483343,0.965993974385644,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24798.t1",0.585024193136599,0.717853409476528,-143.690660910762,-145.568757653799,17,12,44.8888967985831,0,0,0,0,0.144987777475165,0.220469464577983,0.300765252109884,0.462249578067082,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24799.t2",7.88713180369732e-08,8.87659032562386e-07,-235.730897552703,-256.417489829284,17,12,294.617269671017,0,0,0,0,8.96589252699336e-07,5.51599224261819e-06,7.66124410439502e-10,7.82469652775251e-09,TRUE,FALSE,FALSE,"Transient","transient_down"
"Pocillopora_acuta_HIv2___RNAseq.g24800.t1",0.000385286410421333,0.00173111662084642,-216.590456177682,-227.940139736072,17,12,128.047596980507,0,0,0,0,1.84039543202821e-11,2.27572149083865e-10,0.134150292352973,0.242469921122943,TRUE,FALSE,FALSE,"Transient","transient_down"
"Pocillopora_acuta_HIv2___RNAseq.g24802.t1",0.389221911460914,0.531660205583364,-132.181807624739,-134.793538412664,17,12,12.8727327057735,0,0,0,0,0.126670268354876,0.197877175633354,0.557574527924064,0.737313307934578,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g21207.t2",2.72879810434676e-13,8.1507728767081e-12,-278.280521479182,-312.257941300761,17,12,763.421053336021,0,0,0,0,0.0151006623300037,0.0337387457827306,1.76449971557724e-20,5.71537498781973e-19,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24807.t1",0.16548218194234,0.274925574739663,-247.528554625127,-251.446782485382,17,12,1127.44638135727,0,0,0,0,0.0370807463708138,0.0720217191211328,0.0585879116049343,0.121554501442008,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g21209.t3",0.313221493601352,0.452494865652072,-325.170546562578,-328.134882312368,17,12,6360.73506367363,0,0,0,0,0.152027982917087,0.22898302566188,0.00296195891460829,0.00911802237586342,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g21212.t1",0.477275158876265,0.61898599851973,-257.601764995576,-259.8615280928,17,12,506.007701377447,0,0,0,0,0.00120947986857443,0.00377400693132927,0.0127408390768909,0.0328172330286828,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24812.t1",0.146751575696683,0.250282484234885,-208.018313864819,-212.10676823821,17,12,282.314957330961,0,0,0,0,0.0423212371232319,0.0805277950200174,0.511598520852953,0.69233742314669,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24813.t1",0.992571167297122,1,-231.739134389798,-231.982922117164,17,12,350.240835853701,0,0,0,0,0.736530222080597,0.795229448870657,0.99931376728563,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24814.t1",0.000220338027997864,0.00106151260504051,-280.585565584144,-292.568901961258,17,12,1512.89992112573,0,0,0,0,3.78162690217911e-16,8.24454165797632e-15,0.00715372887506376,0.019870937952218,TRUE,FALSE,FALSE,"Transient","transient_up"
"Pocillopora_acuta_HIv2___RNAseq.g24815.t1",0.918596903006289,0.968495322872838,-247.767372240116,-248.493126781625,17,12,543.894814401632,0,0,0,0,0.0973332894241583,0.159594344325023,0.593786328723002,0.770732491526432,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24816.t1",0.00241972324852846,0.0084429655206419,-280.256963473724,-289.487996609728,17,12,1448.30959117495,0,0,0,0,1.03642008953708e-05,5.19584994033052e-05,0.000548197895445641,0.00200919966352825,TRUE,FALSE,FALSE,"Transient","transient_up"
"Pocillopora_acuta_HIv2___RNAseq.g24817.t1",0.000544458495531362,0.00233402188673903,-194.277452088954,-205.232813740365,17,12,59.8784456927628,0,0,0,0,0.812652252033162,0.860140885162073,6.72917610431098e-10,6.938089343432e-09,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Pocillopora_acuta_HIv2___RNAseq.g24818.t1",0.0185081416770116,0.0464959268298093,-149.110777885,-155.900858227858,17,12,22.1917491045599,0,0,0,0,0.000759761847791242,0.0025055163619941,0.00370126548525985,0.0110926775375951,FALSE,FALSE,FALSE,"Other","unclassified"
"Pocillopora_acuta_HIv2___RNAseq.g24819.t1",0.355276283651724,0.496168521803458,-168.286049244992,-171.048255969427,17,12,66.1745466583175,0,0,0,0,0.000183511272169338,0.000702310056648069,0.109364673088742,0.204964255448326,TRUE,FALSE,FALSE,"Transient",NA
"Pocillopora_acuta_HIv2___TS.g21222.t1",0.236152656199185,0.363079977700892,-107.397049913354,-110.795728102334,17,12,4.13943736244808,0,0,0,0,0.0715865517788057,0.124316960584542,0.895935551675264,0.987891776808546,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g24824.t1",3.53144215641808e-21,2.84121609107172e-19,-191.989246789551,-244.77478018497,17,12,91.1347928857807,0,0,0,0,7.27814978369686e-47,1.2265157686161e-44,1.52705104218297e-32,1.23256246094128e-30,TRUE,FALSE,FALSE,"Transient","transient_up"
