"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Pocillopora_acuta_HIv2___TS.g13061.t1",5.21687818110081e-06,4.66366657303384e-05,-395.207995420115,-411.350519857068,17,12,22689.9856832023,0,0,0,0,0.0701569591930447,0.146670617099341,2.25254413542923e-14,4.89077568397512e-13,FALSE,TRUE,FALSE,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g4091.t1",0.000760891933918001,0.00374856653046772,-245.137465880535,-255.709402420478,17,12,830.689396622112,0,0,0,0,0.994931199325247,1,6.28868411127078e-06,4.15300845685235e-05,FALSE,TRUE,FALSE,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g4092.t1",0.015678415809721,0.0489828767222961,-269.277886878908,-276.272467209058,17,12,1152.23090166184,0,0,0,0,1.92041997217402e-08,1.86601013394115e-07,0.389118018192159,0.674082319093237,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g4093.t1",1.2091543475163e-06,1.25144986996028e-05,-220.212020874885,-237.9497891335,17,12,217.959330195515,0,0,0,0,0.000150988481406554,0.000710561729120505,5.23743185814756e-07,4.20835179656265e-06,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g4097.t1",0.000412487787872338,0.00220959911927355,-375.259018991523,-386.53105169723,17,12,8954.08163923431,0,0,0,0,2.4404619830896e-12,4.10552634613402e-11,0.0244286375403981,0.0696378842891486,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g4102.t1",5.38722641780104e-19,3.90912055934059e-17,-218.512435921238,-266.118623050518,17,12,157.256235506391,0,0,0,0,2.94962121389775e-58,9.89106313727044e-56,0.513849887376043,0.825068610396307,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g4106.t1",0.000132332938797877,0.000820083797314157,-354.970080884254,-367.528041640654,17,12,4977.53653271487,0,0,0,0,0.893968533723967,0.96626209969878,2.78405627616365e-12,4.79308718851221e-11,FALSE,TRUE,FALSE,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g29449.t1",4.11962312777737e-06,3.79866257245099e-05,-169.361537780885,-185.762618250947,17,12,11.2480232731666,0,0,0,0,1.16861809038936e-08,1.17406437975869e-07,0.0364026642254569,0.0981366845413555,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g29414.t1",0.00249740933944898,0.0104861190530768,-321.269809385707,-330.463830395087,17,12,1155.95245489075,0,0,0,0,0.00019146954661799,0.000881414111795443,0.623109526317341,0.939192204178063,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g29425.t1",0.0116529794238756,0.0383435367436289,-275.38026535002,-282.737673992952,17,12,440.414424661783,0,0,0,0,0.000612457176029092,0.00250256669002951,1.98848441850076e-09,2.31440261281731e-08,FALSE,TRUE,FALSE,"Monotonous"
"Pocillopora_acuta_HIv2___TS.g7365.t1",1.42084638989011e-06,1.44770911704536e-05,-201.616935423265,-219.179282978016,17,12,202.870249210465,0,0,0,0,8.39907191775546e-15,1.88885238806155e-13,0.433777358144631,0.731649285687418,TRUE,FALSE,FALSE,"Transient"
