"","DateTimeGMTmin10","TempC","IntensityLux","Tank","Treatment","DateTimeEST"
"62",2025-05-21 23:07:36,25.513,0,"Tank1","Heated",2025-05-22 05:07:36
"63",2025-05-21 23:12:36,25.61,0,"Tank1","Heated",2025-05-22 05:12:36
"64",2025-05-21 23:17:36,25.61,0,"Tank1","Heated",2025-05-22 05:17:36
"65",2025-05-21 23:22:36,25.61,0,"Tank1","Heated",2025-05-22 05:22:36
"66",2025-05-21 23:27:36,25.513,0,"Tank1","Heated",2025-05-22 05:27:36
"67",2025-05-21 23:32:36,25.513,0,"Tank1","Heated",2025-05-22 05:32:36
"68",2025-05-21 23:37:36,25.513,0,"Tank1","Heated",2025-05-22 05:37:36
"69",2025-05-21 23:42:36,25.513,0,"Tank1","Heated",2025-05-22 05:42:36
"70",2025-05-21 23:47:36,25.513,0,"Tank1","Heated",2025-05-22 05:47:36
"71",2025-05-21 23:52:36,25.416,0,"Tank1","Heated",2025-05-22 05:52:36
"72",2025-05-21 23:57:36,25.416,0,"Tank1","Heated",2025-05-22 05:57:36
"73",2025-05-22 00:02:36,25.416,0,"Tank1","Heated",2025-05-22 06:02:36
"74",2025-05-22 00:07:36,25.416,0,"Tank1","Heated",2025-05-22 06:07:36
"75",2025-05-22 00:12:36,25.416,0,"Tank1","Heated",2025-05-22 06:12:36
"76",2025-05-22 00:17:36,25.319,0,"Tank1","Heated",2025-05-22 06:17:36
"77",2025-05-22 00:22:36,25.319,0,"Tank1","Heated",2025-05-22 06:22:36
"78",2025-05-22 00:27:36,25.319,0,"Tank1","Heated",2025-05-22 06:27:36
"79",2025-05-22 00:32:36,25.319,0,"Tank1","Heated",2025-05-22 06:32:36
"80",2025-05-22 00:37:36,25.319,0,"Tank1","Heated",2025-05-22 06:37:36
"81",2025-05-22 00:42:36,25.319,0,"Tank1","Heated",2025-05-22 06:42:36
"82",2025-05-22 00:47:36,25.222,0,"Tank1","Heated",2025-05-22 06:47:36
"83",2025-05-22 00:52:36,25.222,0,"Tank1","Heated",2025-05-22 06:52:36
"84",2025-05-22 00:57:36,25.222,0,"Tank1","Heated",2025-05-22 06:57:36
"85",2025-05-22 01:02:36,25.222,0,"Tank1","Heated",2025-05-22 07:02:36
"86",2025-05-22 01:07:36,25.222,0,"Tank1","Heated",2025-05-22 07:07:36
"87",2025-05-22 01:12:36,25.125,0,"Tank1","Heated",2025-05-22 07:12:36
"88",2025-05-22 01:17:36,25.125,0,"Tank1","Heated",2025-05-22 07:17:36
"89",2025-05-22 01:22:36,25.125,0,"Tank1","Heated",2025-05-22 07:22:36
"90",2025-05-22 01:27:36,25.319,0,"Tank1","Heated",2025-05-22 07:27:36
"91",2025-05-22 01:32:36,25.61,0,"Tank1","Heated",2025-05-22 07:32:36
"92",2025-05-22 01:37:36,25.61,0,"Tank1","Heated",2025-05-22 07:37:36
"93",2025-05-22 01:42:36,25.61,0,"Tank1","Heated",2025-05-22 07:42:36
"94",2025-05-22 01:47:36,25.513,0,"Tank1","Heated",2025-05-22 07:47:36
"95",2025-05-22 01:52:36,25.513,0,"Tank1","Heated",2025-05-22 07:52:36
"96",2025-05-22 01:57:36,25.513,0,"Tank1","Heated",2025-05-22 07:57:36
"97",2025-05-22 02:02:36,25.513,0,"Tank1","Heated",2025-05-22 08:02:36
