"module","treatmentH.time_factor1","treatmentH.time_factor3","treatmentH.time_factor12","treatmentH.time_factor24","treatmentH.time_factor72","treatmentH.time_factor120","AveExpr","F","P.Value","adj.P.Val"
"ME12",0.0494227588319012,0.21318430309298,0.116623165424362,0.0580683168225317,-0.179852115902006,-0.413338274112117,8.9293778923678e-18,4.14043767497751,0.00102387361304637,0.0152100962616024
"ME4",-0.19218562213683,-0.381085700383839,-0.429228311050177,-0.463844261827612,-0.589983189118137,-0.617813167686565,9.07393818203253e-18,4.10230243570104,0.00110537530199516,0.0152100962616024
"ME19",-0.55094658731509,-0.152297777614693,-0.320286942165656,-0.306931108542054,-0.335027427711471,-0.584412943662206,-8.40673684511837e-18,3.80660078842473,0.00200443061680046,0.0152100962616024
"ME1",0.116386605194518,0.450615793367833,0.526634433169241,0.405885470680586,0.460188425018691,0.456203555336179,-4.80384962578193e-18,3.74915967593846,0.00225058643916468,0.0152100962616024
"ME2",-0.083602196544565,-0.136919788370194,-0.385706575878475,-0.398798046307568,-0.45438674323545,-0.519809217572184,1.06307413014989e-17,3.67336955100829,0.00262243038993145,0.0152100962616024
"ME18",-0.303766872588828,0.243701703795679,0.133027889154197,0.160483508604063,0.110439493230007,-0.0185667667442794,-1.25211450894223e-17,3.13525110917876,0.00777204713265512,0.0343379424279342
"ME3",-0.153501051033,-0.465066238600226,-0.548011524256477,-0.365737106266989,-0.359620807671747,-0.318831361738354,-1.33440267382831e-19,3.10335087316757,0.00828846886191514,0.0343379424279342
"ME14",-0.445835416162894,-0.203924274493549,-0.321324241649025,-0.200862104966556,-0.450334651778198,-0.572041173721509,-1.49453099468771e-17,2.82766431247646,0.0144344279784446,0.0523248014218617
"ME26",-0.468772349318682,-0.0682909965235122,-0.220902139824311,-0.0690221583684211,-0.357718293810509,-0.411734036931617,1.56569913729189e-17,2.55728936599183,0.0247841334873274,0.0727760956481616
"ME17",-0.332914448174872,0.0854252435715369,0.0441603298572018,0.113670886556267,0.13703496066175,0.216654203316269,3.02464606067751e-17,2.46384985555286,0.0298388928002779,0.0727760956481616
"ME20",0.314442614664909,-0.0950828190270504,-0.0223638467445437,-0.135835943643134,-0.10742530084935,-0.229117022298406,1.03193806776056e-17,2.4398414132469,0.0312924799741776,0.0727760956481616
"ME5",0.207787602869262,-0.0864599663538667,-0.135477474762012,-0.23927831613535,-0.198398152663527,-0.288909373400746,1.3477467005666e-17,2.34495386437405,0.0377431476581365,0.0727760956481616
