"module","treatment_time","correlation","pvalue","label"
"ME27","0hr-Control",0.149746710519908,0.362882140532522,""
"ME27","1hr-Control",0.152581062914041,0.353764612625854,""
"ME27","3hr-Control",-0.150342579186981,0.360953742823144,""
"ME27","12hr-Control",-0.106345074046091,0.519349582103973,""
"ME27","24hr-Control",-0.0645317710163178,0.696317521646445,""
"ME27","72hr-Control",-0.0436813645607456,0.791748593977487,""
"ME27","120hr-Control",-0.256174111343369,0.115452130480353,""
"ME27","0hr-Heat",0.459394423256345,0.00326120845131345,"0.46"
"ME27","1hr-Heat",-0.304355312972444,0.059588725375005,""
"ME27","3hr-Heat",0.207569366919624,0.204812724428942,""
"ME27","12hr-Heat",-0.0201673559523888,0.903010149461203,""
"ME27","24hr-Heat",0.0806463095577368,0.625517084086131,""
"ME27","72hr-Heat",0.00493377370046395,0.976219311783391,""
"ME27","120hr-Heat",-0.0933762855017585,0.571801829784784,""
"ME7","0hr-Control",-0.0617580020055726,0.708785855236329,""
"ME7","1hr-Control",-0.142163204789231,0.387961247003678,""
"ME7","3hr-Control",-0.134912825654116,0.412859534934353,""
"ME7","12hr-Control",-0.0839502175309057,0.611376139488386,""
"ME7","24hr-Control",-0.0544088623890005,0.742176822136565,""
"ME7","72hr-Control",-0.118798082438618,0.471332423212664,""
"ME7","120hr-Control",-0.260451493526824,0.109293753723391,""
"ME7","0hr-Heat",0.0718514629273389,0.663797790175294,""
"ME7","1hr-Heat",-0.325295514452281,0.0433103564814452,"-0.33"
"ME7","3hr-Heat",0.132457017186237,0.421494171545712,""
"ME7","12hr-Heat",0.223834872732468,0.170742471077519,""
"ME7","24hr-Heat",0.239279146950291,0.142352096215336,""
"ME7","72hr-Heat",0.279182455337029,0.0852183864491338,""
"ME7","120hr-Heat",0.389926410170114,0.0141329875167254,"0.39"
"ME17","0hr-Control",0.0564163937376777,0.733006295644294,""
"ME17","1hr-Control",0.0726249121885486,0.660395477479122,""
"ME17","3hr-Control",-0.189034842901703,0.249098706542795,""
"ME17","12hr-Control",-0.150790457442213,0.359508349044049,""
"ME17","24hr-Control",-0.115650064554294,0.483244267968678,""
"ME17","72hr-Control",-0.0942302560819291,0.568275041995087,""
"ME17","120hr-Control",-0.277254431602122,0.0874878008205807,""
"ME17","0hr-Heat",0.231663319931032,0.155882899328005,""
"ME17","1hr-Heat",-0.352298218236747,0.0278368720754543,"-0.35"
"ME17","3hr-Heat",0.14021463124974,0.394564966207243,""
"ME17","12hr-Heat",0.104067635571914,0.528385266328171,""
"ME17","24hr-Heat",0.213041012804225,0.192860921141589,""
"ME17","72hr-Heat",0.184353781605512,0.261227725467703,""
"ME17","120hr-Heat",0.288571414142036,0.0748124132182201,""
"ME1","0hr-Control",0.129521721516502,0.431946656944755,""
"ME1","1hr-Control",-0.0895284256998368,0.587815387719368,""
"ME1","3hr-Control",-0.0857280539043473,0.603823550891504,""
"ME1","12hr-Control",-0.053874346585235,0.744624510353093,""
"ME1","24hr-Control",-0.0763026986418898,0.644310246746893,""
"ME1","72hr-Control",-0.267893475389962,0.0991769725694237,""
"ME1","120hr-Control",-0.29868424279863,0.0647458651994082,""
"ME1","0hr-Heat",-0.25004790930754,0.124723164972708,""
"ME1","1hr-Heat",-0.25927912012087,0.110956341148897,""
"ME1","3hr-Heat",0.347061489532414,0.0304132089254541,"0.35"
"ME1","12hr-Heat",0.515959748699027,0.000773736311000129,"0.52"
"ME1","24hr-Heat",0.222164554237604,0.174040385250357,""
"ME1","72hr-Heat",0.102361360032907,0.535204793373199,""
"ME1","120hr-Heat",0.14417878178411,0.381198873101424,""
"ME23","0hr-Control",0.153980493164671,0.349314601193059,""
"ME23","1hr-Control",0.0529637908621008,0.748799872334146,""
"ME23","3hr-Control",0.0388340882901824,0.814428568348138,""
"ME23","12hr-Control",-0.252799598404025,0.12049238796902,""
"ME23","24hr-Control",0.0467095261844215,0.777664130175092,""
"ME23","72hr-Control",0.0558319991343448,0.7356721422747,""
"ME23","120hr-Control",-0.263629587910804,0.10488175714576,""
"ME23","0hr-Heat",-0.309349178093133,0.0553229159788037,""
"ME23","1hr-Heat",0.162031865324492,0.324379197679437,""
"ME23","3hr-Heat",-0.0223485658607559,0.892578185980923,""
"ME23","12hr-Heat",0.0610202506252013,0.712114905501347,""
"ME23","24hr-Heat",0.145518031979907,0.376744235595686,""
"ME23","72hr-Heat",0.106681210725286,0.518022475647359,""
"ME23","120hr-Heat",0.0930208344982099,0.573272730830722,""
"ME6","0hr-Control",0.10161947923409,0.538183101070972,""
"ME6","1hr-Control",-0.204108411735623,0.212633859206338,""
"ME6","3hr-Control",-0.076939940070305,0.641539097100339,""
"ME6","12hr-Control",-0.135558705424111,0.410605427216252,""
"ME6","24hr-Control",0.0825832105289537,0.617210572608932,""
"ME6","72hr-Control",-0.0928164730006438,0.574119182602725,""
"ME6","120hr-Control",-0.283910830974005,0.0798459094409159,""
"ME6","0hr-Heat",-0.154881019165441,0.346469146488262,""
"ME6","1hr-Heat",0.16508440898571,0.315223624810346,""
"ME6","3hr-Heat",-0.0738639164370823,0.654959267664709,""
"ME6","12hr-Heat",0.140260713206167,0.394408045875226,""
"ME6","24hr-Heat",0.0291480793878717,0.860180376278153,""
"ME6","72hr-Heat",0.254925872058574,0.117297669297008,""
"ME6","120hr-Heat",0.357189257853892,0.0255961541257837,"0.36"
"ME8","0hr-Control",0.115217141647537,0.484894576614627,""
"ME8","1hr-Control",-0.115184142023521,0.485020491628632,""
"ME8","3hr-Control",-0.139230433357891,0.39792503768641,""
"ME8","12hr-Control",-0.243862018753891,0.134638186627783,""
"ME8","24hr-Control",0.0270534560238403,0.870139158548285,""
"ME8","72hr-Control",0.00158555002638249,0.992356708225056,""
"ME8","120hr-Control",-0.41856833857538,0.00800389204318658,"-0.42"
"ME8","0hr-Heat",0.0722748427110764,0.661934563465264,""
"ME8","1hr-Heat",0.272517311451188,0.0932621982684851,""
"ME8","3hr-Heat",0.0222429204893538,0.893083054566797,""
"ME8","12hr-Heat",0.0444329566987492,0.788246544610171,""
"ME8","24hr-Heat",0.13793471159876,0.402373772103272,""
"ME8","72hr-Heat",0.132104726794199,0.422741098768145,""
"ME8","120hr-Heat",0.16898334138871,0.303768730703404,""
"ME25","0hr-Control",0.394777526177407,0.0128782397837292,"0.39"
"ME25","1hr-Control",0.066987935067495,0.685342032416534,""
"ME25","3hr-Control",0.183489695333605,0.263508714067308,""
"ME25","12hr-Control",0.258277043990065,0.112392536282207,""
"ME25","24hr-Control",0.116470893675531,0.480123300100898,""
"ME25","72hr-Control",-0.111620522582864,0.498717350437693,""
"ME25","120hr-Control",-0.17630173159504,0.282993183388031,""
"ME25","0hr-Heat",-0.178221155487908,0.277700981319036,""
"ME25","1hr-Heat",-0.151758524124981,0.356396135424222,""
"ME25","3hr-Heat",-0.275531653725886,0.0895549175494352,""
"ME25","12hr-Heat",0.16918524461263,0.303182863737089,""
"ME25","24hr-Heat",-0.0898614306676346,0.586421699501817,""
"ME25","72hr-Heat",0.0172694417591177,0.916894441006056,""
"ME25","120hr-Heat",-0.231614863521462,0.155971883096972,""
"ME22","0hr-Control",0.190504607575814,0.24536960548142,""
"ME22","1hr-Control",-0.000607119271621979,0.997073288303089,""
"ME22","3hr-Control",-0.0901564017680395,0.585188418425189,""
"ME22","12hr-Control",-0.186642870031254,0.255248481925272,""
"ME22","24hr-Control",0.0814433016491913,0.622093538608107,""
"ME22","72hr-Control",0.158897902324575,0.333949818833187,""
"ME22","120hr-Control",-0.24070199056444,0.139923142305638,""
"ME22","0hr-Heat",0.324788315310522,0.043656812615033,"0.32"
"ME22","1hr-Heat",0.461377551675947,0.00311325574310686,"0.46"
"ME22","3hr-Heat",0.0148684922788639,0.928416326569971,""
"ME22","12hr-Heat",-0.159857932120568,0.330999674170598,""
"ME22","24hr-Heat",-0.185823587823431,0.257377925417417,""
"ME22","72hr-Heat",-0.118465839773419,0.472582225585676,""
"ME22","120hr-Heat",-0.329826182480563,0.0403133182855485,"-0.33"
"ME9","0hr-Control",0.0439362569024347,0.790560465824,""
"ME9","1hr-Control",0.0886038258299368,0.591692689211128,""
"ME9","3hr-Control",0.0119842651007166,0.94227625219199,""
"ME9","12hr-Control",-0.230387486775897,0.158238134729174,""
"ME9","24hr-Control",0.0199945033360557,0.903837553172841,""
"ME9","72hr-Control",0.249021860198599,0.12632883576672,""
"ME9","120hr-Control",-0.146083878667891,0.37487139785633,""
"ME9","0hr-Heat",0.150940908178122,0.35902359744363,""
"ME9","1hr-Heat",0.427891868544512,0.00658168509060036,"0.43"
"ME9","3hr-Heat",0.00220759245902426,0.989358241134156,""
"ME9","12hr-Heat",-0.26933114936309,0.0973079721320952,""
"ME9","24hr-Heat",-0.00040922731909585,0.998027254540165,""
"ME9","72hr-Heat",-0.132497662619288,0.421350440789589,""
"ME9","120hr-Heat",-0.269846051202203,0.0966451968017656,""
"ME0","0hr-Control",0.1742977623732,0.288587944013775,""
"ME0","1hr-Control",-0.046200896578936,0.780025091253366,""
