"gene_id","module","color"
"Porites_compressa_HIv1___RNAseq.g24420.t1","ME3","brown"
"Porites_compressa_HIv1___TS.g27892.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24421.t1b","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24422.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g24423.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g24424.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g24426.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27899.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g24429.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g24430.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24431.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24434.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24435.t3","ME2","blue"
"Porites_compressa_HIv1___TS.g27907.t1d","ME4","yellow"
"Porites_compressa_HIv1___TS.g27907.t1c","ME1","turquoise"
"Porites_compressa_HIv1___TS.g27907.t1b","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24440.t1a","ME1","turquoise"
"Porites_compressa_HIv1___TS.g27909.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24442.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24443.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g24444.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g24445.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g24446.t2","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24447.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27919.t1b","ME3","brown"
"Porites_compressa_HIv1___TS.g27919.t1a","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24450.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24457.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24458.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24459.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24460.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24462.t1","ME4","yellow"
"Porites_compressa_HIv1___TS.g27935.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24464.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24465.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24466.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24467.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24469.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24470.t1","ME11","greenyellow"
"Porites_compressa_HIv1___RNAseq.g24471.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g24472.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24473.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24475.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27948.t1b","ME1","turquoise"
"Porites_compressa_HIv1___TS.g27948.t1a","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24478.t1","ME1","turquoise"
"Porites_compressa_HIv1___TS.g27950.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27951.t1","ME5","green"
"Porites_compressa_HIv1___RNAseq.g24481.t1","ME23","darkturquoise"
"Porites_compressa_HIv1___RNAseq.g24482.t1","ME5","green"
"Porites_compressa_HIv1___RNAseq.g24484.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g24487.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g24489.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24490.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27964.t2b","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24493.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g27967.t2","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g24496.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24497.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24501.t2","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g24504.t1","ME1","turquoise"
"Porites_compressa_HIv1___TS.g27982.t1","ME6","red"
"Porites_compressa_HIv1___TS.g27983.t1b","ME15","midnightblue"
"Porites_compressa_HIv1___TS.g27983.t1a","ME3","brown"
