Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Montipora_capitata_HIv3___RNAseq.g7626.t1	0.929955867562654	1	-82.6106291877509	-83.2844406785358	17	12	1.45931477574451	0	0	0	0	0.579798179141359	0.973761494625847	0.861357602677519	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g45782.t1	0.996070012615712	1	-12.3474197773096	-12.5333366530821	17	12	0.268289460246476	0	0	0	0	0.864906776644596	1	0.871692231905695	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g45777.t1	0.0744358857105756	0.325842589039198	-227.565326686947	-232.57950256985	17	12	161.239773994655	0	0	0	0	0.0003519224761526	0.00496464540962332	0.0333987359070382	0.200958856640346	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g45778.t1	0.587598782937044	1	-222.865729238735	-224.735135642602	17	12	125.599925799961	0	0	0	0	0.864571146273391	1	0.677331918203326	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g45779.t1	0.98602866580071	1	-8.98435409166073	-9.30506108022642	17	12	0.135730636239694	0	0	0	0	0.815296277191157	1	0.895872106610082	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g45780.t1	0.000476553159518152	0.0065883858282637	-178.176652545458	-189.284128474421	17	12	36.8450432982477	0	0	0	0	0.213144118880167	0.566287549622455	3.51761481534289e-15	3.93314348488043e-13	FALSE	TRUE	FALSE
Montipora_capitata_HIv3___TS.g26121.t1	0.967518747750217	1	-159.862809573104	-160.33108894251	17	12	23.2853836303589	0	0	0	0	0.969682462169362	1	0.811585842187959	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g45783.t1	0.00461765434463268	0.0400890561640282	-221.359715237151	-229.82903413891	17	12	173.881525145328	0	0	0	0	0.000351803201888634	0.00496464540962332	0.000546182018067673	0.00620802082735463	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g45838.t1	0.958985597595981	1	-54.8186124486898	-55.3403377694401	17	12	1.92253701729921	0	0	0	0	0.450881969280093	0.866734527844911	0.869724546378526	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___RNAseq.g45839.t1	1	1	-4.49205321062437	-4.49205036376704	17	12	0.268629582845142	0	0	0	0	1	1	0.99999999999998	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___RNAseq.g7927.t1	0.875148953773408	1	-82.5938951845769	-83.4974120552195	17	12	4.37423527329685	0	0	0	0	0.754416934335335	1	0.581429441338921	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g7932.t1	1	1	-25.3588322658167	-25.358751375419	17	12	1.21636190437999	0	0	0	0	1	1	0.99999999999998	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g7933.t1	0.954707664726919	1	-51.234694750926	-51.7812728298436	17	12	1.84991341036243	0	0	0	0	0.565703885002728	0.964836413058056	0.995612734705687	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g45461.t1a	0.848488169106548	1	-77.3935239817585	-78.395896180865	17	12	0.986677284790658	0	0	0	0	1	1	0.600089208422376	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___TS.g13967.t1	0.987880401033855	1	-49.1346716362762	-49.4360095503894	17	12	0.230691393069793	0	0	0	0	0.811921232128604	1	0.992201570340263	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___RNAseq.g3744.t1	0.00686976521307142	0.054829139306288	-182.175967740788	-190.171476664627	17	12	85.1568666210124	0	0	0	0	0.000258466138697394	0.00383996371361352	0.874187658672677	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g3745.t1	0.179798427861362	0.589356639016213	-151.531852705008	-155.331078857607	17	12	30.6878517253703	0	0	0	0	0.00437798341200333	0.0361521229727362	0.846496416725477	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g20224.t1	0.72124271844283	1	-80.045510165145	-81.4765377327787	17	12	3.01709183536978	0	0	0	0	0.522399018291821	0.931693104695801	0.772453349318699	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g29431.t1	0.0473733003390011	0.236311011083465	-91.2137074899256	-96.8186629219038	17	12	3.23664623712172	0	0	0	0	0.32731932893997	0.72775759111449	0.732770065614905	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4095.t1	0.275351897643748	0.774652950770347	-77.241848490556	-80.4072269555912	17	12	2.49390577941064	0	0	0	0	0.0560841270205029	0.237658691824197	0.928299292300061	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4096.t1	0.991947966947632	1	-12.872553472571	-13.1249334349186	17	12	0.135764070723763	0	0	0	0	0.974704650509431	1	0.879662791405812	1	FALSE	FALSE	FALSE
