tris.date,mVTris,TTris
20250708,-64,22.55
20250708,-63.3,23.06
20250708,-62.8,23.52
20250708,-62.5,23.99
20250708,-61.7,24.51
20250708,-61.1,25.15
20250708,-60.3,25.65
20250708,-60,25.96
20250708,-59.2,26.45
20250708,-58.7,26.99
20250708,-58.1,27.48
20250708,-57.5,27.98
20250708,-56.7,28.54
20250708,-56.1,29.02
