"Gene","cluster","membership","response_type"
"Porites_compressa_HIv1___RNAseq.33623_t",2,0.959863761126434,"Monotonous"
"Porites_compressa_HIv1___RNAseq.33676_t",2,0.495629466947657,"Monotonous"
"Porites_compressa_HIv1___RNAseq.33903_t",5,0.845652247284474,"Other"
"Porites_compressa_HIv1___RNAseq.34236_t",6,0.505753342920604,"Other"
"Porites_compressa_HIv1___RNAseq.3489_t",3,0.406993798178948,"Other"
"Porites_compressa_HIv1___RNAseq.3490_t",2,0.724363395295558,"Monotonous"
"Porites_compressa_HIv1___RNAseq.35718_t",1,0.199127034983022,"Other"
"Porites_compressa_HIv1___RNAseq.36189_t",1,0.551490646107384,"Other"
"Porites_compressa_HIv1___RNAseq.37026_t",2,0.613240759795823,"Monotonous"
"Porites_compressa_HIv1___RNAseq.37390_t",1,0.862310208715183,"Monotonous"
"Porites_compressa_HIv1___RNAseq.37463_t",2,0.809569190795552,"Other"
"Porites_compressa_HIv1___RNAseq.37565_t",1,0.550873401735833,"Monotonous"
"Porites_compressa_HIv1___RNAseq.37716_t",2,0.717739412631426,"Other"
"Porites_compressa_HIv1___RNAseq.37833_t",4,0.590496691538722,"Transient"
"Porites_compressa_HIv1___RNAseq.38136_t",6,0.929632411648325,"Monotonous"
"Porites_compressa_HIv1___RNAseq.38169_t",3,0.756709119509384,"Other"
"Porites_compressa_HIv1___RNAseq.38388_t",3,0.969136585283368,"Other"
"Porites_compressa_HIv1___RNAseq.38615_t",6,0.815388964322404,"Other"
"Porites_compressa_HIv1___RNAseq.39516_t",1,0.596844685219802,"Other"
"Porites_compressa_HIv1___RNAseq.39518_t",1,0.612739531888328,"Other"
"Porites_compressa_HIv1___RNAseq.40614_t",6,0.719316547401238,"Other"
"Porites_compressa_HIv1___RNAseq.4146_t",1,0.68722297948407,"Other"
"Porites_compressa_HIv1___RNAseq.4480_t",1,0.794578828708231,"Other"
"Porites_compressa_HIv1___RNAseq.5035_ta",4,0.738759956243954,"Transient"
"Porites_compressa_HIv1___RNAseq.5042_t",1,0.375250114082146,"Monotonous"
"Porites_compressa_HIv1___RNAseq.5222_t",3,0.604184360834367,"Other"
"Porites_compressa_HIv1___RNAseq.5650_t",1,0.445660839744501,"Other"
"Porites_compressa_HIv1___RNAseq.5651_t",2,0.53768960439562,"Monotonous"
"Porites_compressa_HIv1___RNAseq.8006_t",6,0.350917476004004,"Other"
"Porites_compressa_HIv1___RNAseq.8154_t",3,0.878187140421252,"Other"
"Porites_compressa_HIv1___RNAseq.950_t",3,0.562375360633664,"Transient"
"Porites_compressa_HIv1___RNAseq.9555_t",1,0.72530131715812,"Monotonous"
"Porites_compressa_HIv1___RNAseq.9574_t",1,0.593736049377944,"Monotonous"
"Porites_compressa_HIv1___RNAseq.9732_t",1,0.911765591445371,"Other"
"Porites_compressa_HIv1___RNAseq.9864_ta",1,0.821999987179974,"Monotonous"
"Porites_compressa_HIv1___RNAseq.996_t",5,0.855020718994636,"Transient"
"Porites_compressa_HIv1___RNAseq.9993_t",2,0.665956256789096,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10006.t1",3,0.518208397707827,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10010.t1",5,0.706908436846824,"Transient"
"Porites_compressa_HIv1___RNAseq.g10011.t1",3,0.537404341983348,"Other"
"Porites_compressa_HIv1___RNAseq.g10016.t1",6,0.403836599427282,"Other"
"Porites_compressa_HIv1___RNAseq.g10031.t1",2,0.973714860603842,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10032.t1",2,0.774984633320731,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10034.t1",1,0.641801785290612,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g1004.t1",2,0.586463064403102,"Other"
"Porites_compressa_HIv1___RNAseq.g10043.t1",2,0.513308739027471,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10046.t1",2,0.594719099494931,"Other"
"Porites_compressa_HIv1___RNAseq.g10047.t1",2,0.66974426912639,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10048.t1",2,0.986993145030636,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10049.t1",2,0.936115359447555,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10062.t1",2,0.763597358834046,"Other"
"Porites_compressa_HIv1___RNAseq.g10063.t1",6,0.806205195817938,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10068.t1",4,0.808761473274171,"Transient"
"Porites_compressa_HIv1___RNAseq.g1007.t1",1,0.709944517780359,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10072.t1",6,0.803415921639683,"Other"
"Porites_compressa_HIv1___RNAseq.g10075.t1",1,0.947639693760331,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10079.t1",5,0.709328536703179,"Other"
"Porites_compressa_HIv1___RNAseq.g10080.t1",6,0.975284833376826,"Other"
"Porites_compressa_HIv1___RNAseq.g10083.t1",4,0.887800549729327,"Transient"
"Porites_compressa_HIv1___RNAseq.g10086.t1",3,0.799701906756302,"Other"
"Porites_compressa_HIv1___RNAseq.g1010.t1",1,0.822718789065575,"Other"
"Porites_compressa_HIv1___RNAseq.g10105.t1",3,0.694736995893014,"Other"
"Porites_compressa_HIv1___RNAseq.g10115.t1",3,0.462276646891202,"Transient"
"Porites_compressa_HIv1___RNAseq.g10119.t1",3,0.4031145718865,"Other"
"Porites_compressa_HIv1___RNAseq.g10125.t1",6,0.757165371108816,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10126.t1",1,0.620675335549439,"Other"
"Porites_compressa_HIv1___RNAseq.g10127.t1",6,0.94242985137605,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g10128.t1",1,0.809699713093265,"Other"
"Porites_compressa_HIv1___RNAseq.g10129.t1",6,0.920143586060183,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g1013.t1",1,0.865418152816916,"Monotonous"
