"gene_id","module","color","kME_own","kME_20","kME_16","kME_23","kME_2","kME_4","kME_18","kME_7","kME_13","kME_12","kME_17","kME_19","kME_8","kME_22","kME_9","kME_24","kME_1","kME_5","kME_15","kME_11","kME_14","kME_21","kME_10","kME_3","kME_6","kME_0"
"Pocillopora_acuta_HIv2___TS.g10153.t1","ME2","blue",0.592690476305038,0.470582219748136,0.263418067668912,0.138741435897957,0.592690476305038,0.528078687618716,-0.0854722255061162,-0.040436378855984,-0.337668837713371,0.0613668464018897,-0.192046382287135,-0.154873141775717,-0.490000751351077,-0.0737392951510364,-0.347798766701524,-0.613382186804322,-0.581939476256895,-0.511677624989792,-0.0147656348944098,-0.17823010117775,-0.0287327982654523,0.189284288251644,0.388209649072777,0.51366867060871,0.276022933213507,-0.269680777846994
"Pocillopora_acuta_HIv2___TS.g28292.t1a","ME2","blue",0.351297306314256,0.132480103180238,0.313311198391763,0.290913328430373,0.351297306314256,0.315922914144554,-0.0329749541713283,0.107850535610417,-0.110496070822784,0.12919673197945,0.00809722214703868,-0.187892008690608,-0.312271714092357,-0.148793914401409,-0.177380508923353,-0.18876583452096,-0.302689580519011,-0.357092855501958,0.147938176864618,-0.0106517365726709,-0.161115228162451,-0.0694607042306991,0.0755513677442855,0.184226555122282,0.00613808818968128,-0.219771446118551
"Pocillopora_acuta_HIv2___TS.g28295.t1","ME1","turquoise",0.631036537086243,-0.439779205151204,-0.400807194219774,-0.224081827540925,-0.660794719386467,-0.435334388298929,-0.317245213021585,-0.288916039434267,-0.122006205747836,-0.0158662323141995,0.327313900254837,0.350372729697151,0.208912609399395,0.013421813299338,0.5882070602171,0.469004893913912,0.631036537086243,0.518597127891151,0.00815088853694208,0.0977374748812939,0.116045376172984,-0.313769430399025,-0.184463372577719,-0.31826324976119,-0.0916555904704963,0.61804238311512
"Pocillopora_acuta_HIv2___RNAseq.g10157.t1","ME1","turquoise",0.644434859144924,-0.397340623625454,-0.366608351732628,-0.324583727383414,-0.593883280627675,-0.583191336365406,0.128056057657185,0.0257544308190687,0.37699792095475,0.0028528700221275,0.21278424562593,0.376667856046177,0.528068146586706,0.264185768025938,0.375227468591853,0.283695131523385,0.644434859144924,0.554632639897652,-0.193650779034243,-0.230552672798056,0.087734314615832,-0.225023562328698,-0.0710718528530574,-0.510719625836469,-0.417514148673786,0.366734053787185
"Pocillopora_acuta_HIv2___TS.g28301.t1","ME9","magenta",0.638580103751726,-0.419117664013189,-0.153468844747928,-0.176059179987287,-0.220554933969472,-0.296428135953319,0.0245172851553134,0.0935199361481542,0.075043709354002,-0.0360769024668294,-0.111400384953264,-0.171107107574733,0.107250704823881,-0.0456553576475435,0.638580103751726,0.185769438338015,0.293576608494937,0.13221310285793,-0.282113057420111,-0.166006740407966,-0.122974312793243,-0.309277316807421,-0.0381143739286375,-0.276929284955964,-0.103822689418333,0.00844365628066684
"Pocillopora_acuta_HIv2___TS.g10172.t1","ME17","grey60",0.63929778631523,-0.108038051701562,0.228978025801068,0.156641241349038,-0.231423853200098,-0.00489026727841208,-0.0785659850446982,0.0776106424947742,0.131421037551688,0.211590611615149,0.63929778631523,0.188371357886929,0.0712663902793941,-0.187344897063713,0.0200302258055274,0.419002443468306,0.223289061546174,0.136946217564049,-0.265980260413823,0.287501936184266,-0.101798782385807,-0.176028996903068,-0.523768453042189,-0.27108085381055,-0.146181331029407,0.0892589634591374
"Pocillopora_acuta_HIv2___RNAseq.g27421.t1","ME3","brown",0.623657393676954,0.199248870357712,-0.0414824100594215,0.0919640224236398,0.27577932516364,0.255741902474031,-0.35620368165707,-0.494654700334601,-0.59207760234695,-0.298245642568845,-0.267785078085276,-0.109918067621337,-0.352876814669551,0.0302126534250682,-0.0467975382893316,-0.380546659789246,-0.387802939343062,-0.168816552490535,0.352773230859358,0.12445149039305,0.276633448128072,0.35359173407133,0.398413230452615,0.623657393676954,0.487587035628008,0.201829961150959
"Pocillopora_acuta_HIv2___RNAseq.g27422.t1","ME3","brown",0.681546411873281,0.360376373138228,0.0999008439705483,0.12439971509969,0.412763945542168,0.596523517982942,-0.44186062623608,-0.346220412343079,-0.458768924977531,-0.0680287293171064,-0.255917068934337,-0.156825128753988,-0.613705838086624,-0.227241040412899,-0.382182546419537,-0.563165816595075,-0.549488759227935,-0.328442822625635,0.241361288157004,-0.0475951279995188,0.191513952358581,0.260771868675941,0.319491797815806,0.681546411873281,0.568940669569912,-0.101747261698563
"Pocillopora_acuta_HIv2___RNAseq.g27424.t1","ME3","brown",0.510437763708176,0.195690261703754,0.34974636898005,0.143915987324242,0.415018010827675,0.363497001714215,-0.201858311857856,-0.22463279093474,-0.354752081513391,-0.154093507697175,-0.0511589986515832,-0.203440245144649,-0.378056057022489,0.0808654337870662,-0.224246965358142,-0.343462493276259,-0.490942526799719,-0.279685283025471,0.182750475015045,0.170344009213141,0.118780329741084,0.368488004691416,0.235878927635432,0.510437763708176,0.314734476040497,-0.0811795728719854
"Pocillopora_acuta_HIv2___TS.g10211.t1","ME1","turquoise",0.621471430991588,-0.431594201465683,-0.536424955438477,-0.45680687271618,-0.582309541340531,-0.362537935366668,-0.344663434491121,-0.0999337075233168,-0.0287110622544329,0.0617548564325013,-0.0723732706021017,0.300643597133114,0.102618897345831,-0.149417462868376,0.426301127765902,0.267148613210755,0.621471430991588,0.404402022700746,0.0028578254272514,-0.280451253061278,-0.0595295359993414,-0.476266626424754,-0.133209621578988,-0.36537599719271,-0.0620854145408892,0.426941396042498
"Pocillopora_acuta_HIv2___RNAseq.g27465.t1","ME0","grey",0.0933191381477124,-0.287086684503467,-0.0605801698185162,-0.182227306046483,-0.15098670336039,0.020712891014845,-0.287917484755617,-0.102917125094645,-0.0214491237389436,-0.0558600826875712,0.0252038249588792,-0.0866736383860253,-0.140657503271664,-0.178825851146228,0.104092691858363,0.0237742831826178,0.100004057926885,0.162745238669959,0.00698731110622227,-0.0604304258514753,0.0491490987472435,-0.116608117364305,-0.0751416891652592,0.018962502227985,0.150528863162128,0.0933191381477124
"Pocillopora_acuta_HIv2___RNAseq.g27471.t1","ME0","grey",0.38224051263277,-0.16179196009527,-0.235451409659183,-0.1425481794017,-0.370762991092905,-0.0564678157911411,-0.351167546980178,-0.20409532381005,-0.125581792170036,0.150996409361307,0.21508657549576,0.371254712272831,-0.0714184463056443,-0.0395810882053416,0.111192197463749,-0.0661412714459801,0.322880981909631,0.24517089530611,0.027763915767111,-0.273926112148638,0.060157030007809,-0.264004070693318,0.0151212473562255,-0.0658190859194842,0.0768081249445546,0.38224051263277
"Pocillopora_acuta_HIv2___RNAseq.g27479.t1","ME0","grey",0.569893737347996,-0.0689784360399211,-0.279377561641726,-0.0871592065822347,-0.312284272999511,-0.148056142856078,-0.406195551473044,-0.421160668754281,-0.331713542235398,-0.0670156791759418,0.0229711375084758,0.331229828637473,-0.0462404337501912,0.0410166706021204,0.322720370133221,0.00131261984672768,0.263952111888613,0.258880273847379,-0.0227659426861186,-0.0302333221940911,0.173341166845612,-0.0897873994080138,0.129324179853119,0.0923419459308883,0.0846229175050851,0.569893737347996
"Pocillopora_acuta_HIv2___TS.g10294.t1","ME0","grey",0.0492427936076116,0.400453002766295,0.0707655627145475,0.155813093569401,0.136372416548585,0.184235429899789,-0.0806811555254201,-0.0644408658458359,-0.0618150738187395,0.160746379003531,0.185309835121881,0.257452612664208,-0.168846558420203,-0.146275205621823,-0.305263046340967,-0.27440833122203,-0.14071140420109,-0.116483550462603,0.188046074977794,-0.125094769310002,0.0381913576679001,0.032516240905795,0.0658927795464465,0.17866398278126,-0.0583743251825614,0.0492427936076116
"Pocillopora_acuta_HIv2___TS.g10396.t1","ME0","grey",0.35812863965504,-0.361434625217704,-0.338907911454672,-0.278499721673342,-0.524042232550324,-0.417508596878737,-0.084929097277963,-0.0804340771728736,0.119241136421882,-0.0194533467270471,0.114520854184462,0.249791543662096,0.290092613416658,0.109520933875036,0.341407866702507,0.317356380738142,0.524475432330903,0.433700888811096,-0.115683852452542,-0.120768177522604,0.0778757198441185,-0.233233125333803,-0.0901382019001922,-0.340685862859235,-0.219915742755516,0.35812863965504
