gene_id	module	color
Pocillopora_acuta_HIv2___RNAseq.g10968.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g10969.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g10971.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g10972.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g10973.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g10974.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g29149.t2	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g10976.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g10977.t1	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.g10978.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g10979.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g29154.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g10981.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29156.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29157.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g10984.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g10985.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g29160.t3	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g10987.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g10988.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g10990.t2	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g10991.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29166.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g10993.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g10994.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g10995.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g10996.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g10997.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g29172.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.2136_t	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.2137_t	ME6	red
Pocillopora_acuta_HIv2___TS.g29179.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11005.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g11006.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11007.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11008.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11009.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11010.t1	ME9	magenta
Pocillopora_acuta_HIv2___TS.g29187.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11012.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11013.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11014.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11016.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29194.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11019.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11020.t1	ME9	magenta
Pocillopora_acuta_HIv2___TS.g29197.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11022.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g11023.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11024.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29202.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11027.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g11028.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g29206.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g11031.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29209.t1a	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11035.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11036.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11037.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11038.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g11039.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11040.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11041.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11042.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11043.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11044.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11045.t1c	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11045.t1b	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11045.t1a	ME6	red
Pocillopora_acuta_HIv2___TS.g29221.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___TS.g29223.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11050.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11051.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11053.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11054.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11055.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11056.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g11057.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g29233.t1	ME20	royalblue
Pocillopora_acuta_HIv2___TS.g29234.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29235.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g29236.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11061.t1	ME23	darkturquoise
Pocillopora_acuta_HIv2___RNAseq.g11062.t1	ME23	darkturquoise
Pocillopora_acuta_HIv2___TS.g29238.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11064.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11065.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g29241.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g29242.t2	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11068.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g29244.t2b	ME6	red
Pocillopora_acuta_HIv2___TS.g29244.t2a	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11070.t1a	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g11071.t3	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11072.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g11073.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11074.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g11075.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g11076.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11077.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11078.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29256.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g29257.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g29262.t1a	ME7	black
Pocillopora_acuta_HIv2___TS.g29262.t1b	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11089.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11090.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11091.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11092.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11093.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11094.t1	ME16	lightcyan
Pocillopora_acuta_HIv2___RNAseq.g11095.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g29272.t2	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11097.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11098.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11101.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11102.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g11103.t1	ME16	lightcyan
Pocillopora_acuta_HIv2___RNAseq.g11104.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11105.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g29281.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g11107.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11108.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11109.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11110.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11111.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11112.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11113.t1	ME4	yellow
